Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.80833,22461943,21963065,498878,9.9776,1.82532,12360096,12119311,240785,4.8157,4.2804,1.0936,5686473,5380136,306337,6.1267,11.3635,60.6612,68.4904,189.997
client_004,1.47362,14180938,13652545,528393,10.5679,9.31652,12390286,11862227,528059,10.5612,4.8759,1.7725,3170170,2881511,288659,5.7732,14.8045,30.8562,74.7758,150.833
client_008,1.51205,18252855,17522529,730326,14.6065,5.73364,12207001,11337747,869254,17.3851,6.3895,2.8923,4467609,4096660,370949,7.419,9.98332,42.8709,93.822,163.146
server_003,1.36679,15258424,14364573,893851,17.877,7.8075,11402420,10674501,727919,14.5584,14.6167,3.1461,4037477,3547061,490416,9.8083,15.6659,52.9015,62.767,198.813
server_004,1.05118,27576116,26496728,1079388,21.5878,4.2307,12760848,10758710,2002138,40.0428,15.7049,1.9354,5326218,4768687,557531,11.1506,14.4912,20.4009,40.4112,165.997
server_010,1.29887,24884552,23684492,1200060,24.0012,2.85786,11943219,10332493,1610726,32.2145,19.1829,1.2238,5549657,4942284,607373,12.1475,13.0357,21.9183,29.7754,154.104
server_011,1.62885,16500800,15261182,1239618,24.7924,5.23882,10923668,10290991,632677,12.6535,17.0304,1.9045,4859725,4237694,622031,12.4406,14.0977,38.3904,37.5316,157.271
server_012,1.84834,18321129,16950981,1370148,27.403,3.21634,10713633,10077544,636089,12.7218,18.8289,1.3024,5529454,4835102,694352,13.887,12.8464,36.3913,30.3998,150.85
server_013,1.77143,18037230,16604852,1432378,28.6476,3.31504,10688288,10041227,647061,12.9412,20.458,1.5691,5510929,4796775,714154,14.2831,13.2915,38.7748,31.6301,152.339
server_016,1.83935,19432039,17179524,2252515,45.0503,1.7222,11529643,10701224,828419,16.5684,8.239,0.4996,4803051,3574347,1228704,24.5741,10.2663,20.3412,30.8968,184.222
server_023,1.64963,21736121,19145678,2590443,51.8089,2.1307,12626639,11667801,958838,19.1768,9.0166,0.6675,5494203,4083787,1410416,28.2083,10.1197,22.2986,35.2396,208.989
server_024,1.61968,22157417,19450539,2706878,54.1376,2.10964,12869059,11879281,989778,19.7956,10.2297,0.7525,5607688,4125984,1481704,29.6341,10.1309,24.6926,37.7578,246.562
server_025,1.60963,24709642,22087196,2622446,52.4489,2.03224,13228464,12327764,900700,18.014,9.2972,0.3986,6244693,4833545,1411148,28.223,10.2119,19.3759,27.8036,191.758
server_026,1.60382,23026280,20056033,2970247,59.4049,2.31562,12992808,11928911,1063897,21.2779,12.8938,0.392,5890592,4317926,1572666,31.4533,10.3821,19.9045,25.9558,210.996
server_027,1.59632,23135079,20150740,2984339,59.6868,2.38494,13041831,12023316,1018515,20.3703,11.4324,0.4636,5925754,4318742,1607012,32.1402,10.3026,19.7153,27.5951,194.765
server_033,1.72633,28767817,25286353,3481464,69.6293,1.40536,12153316,11517193,636123,12.7225,3.7548,0.3623,6789788,4558594,2231194,44.6239,10.0492,20.6358,34.652,153.857
server_034,1.83098,28416451,24918480,3497971,69.9594,1.37618,12155454,11549682,605772,12.1154,1.1308,0.096,6800894,4574469,2226425,44.5285,10.0669,13.2088,27.8717,98.899
spec_gcc_001,1.49453,20989901,20762630,227271,4.5454,5.33104,11721750,10949818,771932,15.4386,3.4508,1.0365,4803776,4664160,139616,2.7923,13.6135,24.2523,74.6696,182.123
spec_gobmk_001,1.42632,14141451,13775341,366110,7.3222,6.32284,9893932,9657293,236639,4.7328,1.7596,0.2867,3460482,3291752,168730,3.3746,8.29884,26.8422,45.3456,155.632
spec_gobmk_002,1.691,16434556,15979430,455126,9.1025,6.9532,9987944,9914808,73136,1.4627,0.4804,0.369,4744806,4534111,210695,4.2139,8.0815,55.6448,146.766,165.17
