Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.77704,21724388,21231802,492586,9.8517,2.476,12386783,12146005,240778,4.8156,4.2963,1.1024,5622769,5329213,293556,5.8711,10.9011,60.9405,68.6264,189.687
client_004,1.43737,13971199,13442368,528831,10.5766,10.138,12418760,11890720,528040,10.5608,4.8417,1.7866,3154562,2867653,286909,5.7382,16.6186,30.8795,75.3582,150.152
client_008,1.50667,18063384,17333726,729658,14.5932,5.91396,12213107,11343732,869375,17.3875,6.4125,2.888,4441134,4072033,369101,7.382,10.0906,42.6673,92.9708,162.088
server_003,1.30701,14573749,13690569,883180,17.6636,9.3651,11465562,10737623,727939,14.5588,14.6143,3.1381,4014168,3540907,473261,9.4652,15.9245,52.5459,62.0282,195.861
server_004,1.00656,26277492,25216280,1061212,21.2242,6.32862,12849469,10847299,2002170,40.0434,15.6399,1.949,5281511,4741529,539982,10.7996,14.0528,20.3433,40.3994,164.051
server_010,1.23785,23732856,22551860,1180996,23.6199,4.74568,12031136,10369430,1661706,33.2341,19.824,1.2536,5509074,4927942,581132,11.6226,12.293,21.9507,29.6021,152.701
server_011,1.54096,15301113,14081388,1219725,24.3945,7.25296,11007882,10375193,632689,12.6538,16.8917,1.8863,4825111,4228631,596480,11.9296,13.5443,38.0421,37.2641,155.127
server_012,1.7244,16853992,15503939,1350053,27.0011,5.31622,10806626,10170488,636138,12.7228,18.8266,1.3388,5473380,4810938,662442,13.2488,12.1329,36.4196,30.6067,149.682
server_013,1.65756,16541185,15134169,1407016,28.1403,5.54214,10787260,10140195,647065,12.9413,20.2594,1.544,5472286,4797053,675233,13.5047,12.4307,38.4431,31.466,151.045
server_016,1.80077,17201840,14999402,2202438,44.0488,3.24782,11593775,10765291,828484,16.5697,8.3268,0.5006,4737867,3621078,1116789,22.3358,9.53548,20.4343,30.9377,186.434
server_023,1.61245,19147624,16605756,2541868,50.8374,3.93718,12701790,11742941,958849,19.177,9.2593,0.6646,5414703,4133167,1281536,25.6307,9.43387,22.2541,34.7096,208.293
server_024,1.58855,19358445,16708329,2650116,53.0023,4.02736,12944105,11954354,989751,19.795,9.9191,0.7572,5529610,4203908,1325702,26.514,9.36249,24.5161,38.312,244.724
server_025,1.56646,22014917,19442664,2572253,51.4451,3.958,13317359,12416413,900946,18.0189,9.1651,0.3917,6171940,4911310,1260630,25.2126,9.43151,19.1776,27.7305,190.576
server_026,1.54968,20011234,17099171,2912063,58.2413,4.50682,13091503,12027470,1064033,21.2807,13.0109,0.411,5794059,4386604,1407455,28.1491,9.60884,20.1464,26.359,215.254
server_027,1.54629,20033465,17113467,2919998,58.4,4.68964,13151635,12132888,1018747,20.3749,10.8394,0.4711,5843850,4428019,1415831,28.3166,9.5055,19.5278,28.0552,191.816
server_033,1.72577,27572374,24098825,3473549,69.471,1.58896,12159403,11523341,636062,12.7212,3.7577,0.3641,6785801,4586269,2199532,43.9906,9.94964,20.6385,34.6578,153.326
server_034,1.82876,27101019,23608389,3492630,69.8526,1.62842,12158091,11552319,605772,12.1154,1.1335,0.097,6795554,4623141,2172413,43.4483,10.0413,13.2262,28.1057,100.897
spec_gcc_001,1.47141,19723629,19493065,230564,4.6113,6.36972,11769303,10997364,771939,15.4388,3.379,1.0496,4674147,4537991,136156,2.7231,14.9871,24.2358,76.5192,182.054
spec_gobmk_001,1.39791,13477600,13109866,367734,7.3547,7.21196,9950865,9714224,236641,4.7328,1.7731,0.291,3399854,3232311,167543,3.3509,8.06211,27.0624,45.6408,156.311
spec_gobmk_002,1.62694,15623066,15165018,458048,9.161,8.30976,10101655,10028519,73136,1.4627,0.4846,0.3692,4672188,4463334,208854,4.1771,7.88715,55.806,146.027,165.585
