Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79247,22252351,21752375,499976,9.9995,2.0987,12372307,12131525,240782,4.8156,4.2761,1.1003,5664957,5364129,300828,6.0166,11.4134,60.9438,69.0282,190.743
client_004,1.44226,14099109,13569337,529772,10.5954,9.9051,12406316,11878264,528052,10.561,4.8337,1.7891,3167745,2878464,289281,5.7856,16.8693,30.6004,75.0964,149.016
client_008,1.50862,18231585,17501795,729790,14.5958,5.76384,12207433,11338075,869358,17.3872,6.3945,2.8911,4467556,4096447,371109,7.4222,10.1547,42.717,93.346,162.29
server_003,1.33227,15029779,14137300,892479,17.8496,8.6254,11431235,10703312,727923,14.5585,14.6376,3.0926,4041002,3553293,487709,9.7542,16.4442,52.4486,61.6076,197.052
server_004,1.02337,27128634,26052592,1076042,21.5208,5.27472,12799708,10797569,2002139,40.0428,15.744,1.9692,5324895,4774219,550676,11.0135,14.8484,20.4088,40.4471,163.806
server_010,1.30164,23714556,22516380,1198176,23.9635,3.81842,11988509,10370218,1618291,32.3658,17.143,1.2342,5542666,4941313,601353,12.0271,12.8817,20.5066,30.9213,152.573
server_011,1.5787,16012733,14776479,1236254,24.7251,6.24882,10961526,10328847,632679,12.6536,17.0123,1.9028,4861328,4245267,616061,12.3212,14.2454,38.2202,37.3477,155.619
server_012,1.77379,17689002,16321209,1367793,27.3559,4.2957,10759828,10123722,636106,12.7221,19.0148,1.3412,5517696,4827664,690032,13.8006,12.7321,36.4875,30.5712,150.462
server_013,1.69921,17377852,15951414,1426438,28.5288,4.4573,10739346,10092312,647034,12.9407,20.569,1.5907,5506836,4799033,707803,14.1561,13.1594,38.8145,31.6627,151.494
server_016,1.81455,18379710,16140269,2239441,44.7888,2.5236,11562316,10733865,828451,16.569,8.1488,0.4998,4783030,3598185,1184845,23.6969,9.86869,20.4831,31.2132,186.902
server_023,1.62775,20490069,17910681,2579388,51.5878,3.08676,12668076,11709228,958848,19.177,9.2405,0.6701,5466017,4118298,1347719,26.9544,9.83335,22.3171,34.8136,207.277
server_024,1.59869,20742670,18051967,2690703,53.8141,3.13314,12904002,11914209,989793,19.7959,10.4975,0.7556,5571646,4148428,1423218,28.4644,9.76964,24.813,37.3359,245.76
server_025,1.58326,23584311,20965556,2618755,52.3751,3.03182,13270171,12369411,900760,18.0152,9.5165,0.3942,6214464,4851244,1363220,27.2644,9.91524,19.2638,27.3453,187.806
server_026,1.57052,21819892,18856847,2963045,59.2609,3.4605,13044281,11980354,1063927,21.2785,13.0122,0.3939,5852417,4334641,1517776,30.3555,10.0552,19.9209,25.9152,210.177
server_027,1.5642,21869032,18890126,2978906,59.5781,3.5698,13099802,12081218,1018584,20.3717,11.2824,0.4733,5889864,4363688,1526176,30.5235,10.0106,19.747,27.8582,195.064
server_033,1.7262,28387061,24905910,3481151,69.623,1.43652,12153668,11517544,636124,12.7225,3.7566,0.3623,6794010,4581718,2212292,44.2458,10.0295,20.6329,34.6042,153.431
server_034,1.83099,28112169,24615004,3497165,69.9433,1.41634,12159928,11554154,605774,12.1155,1.1317,0.0958,6795550,4573406,2222144,44.4429,10.0767,13.21,27.8407,98.8672
spec_gcc_001,1.48359,20969798,20741643,228155,4.5631,5.53582,11723418,10951479,771939,15.4388,3.5903,1.0494,4798880,4659100,139780,2.7956,15.6323,24.4113,72.7837,180.716
spec_gobmk_001,1.42467,14135599,13771869,363730,7.2746,6.33156,9894158,9657522,236636,4.7327,1.7638,0.2903,3460356,3292113,168243,3.3649,8.28517,26.948,45.5185,155.141
spec_gobmk_002,1.691,16435616,15980347,455269,9.1054,6.95554,9987856,9914720,73136,1.4627,0.48,0.3691,4744982,4534142,210840,4.2168,8.0772,55.6741,146.929,165.218
