Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.80956,22486454,21984385,502069,10.0414,1.80878,12358642,12117859,240783,4.8157,4.2957,1.0954,5682676,5374067,308609,6.1722,11.4635,60.9411,68.705,191.208
client_004,1.44309,14130776,13600839,529937,10.5987,9.79096,12400137,11872065,528072,10.5614,4.8522,1.7994,3168652,2877329,291323,5.8265,16.8938,30.5787,74.9874,148.428
client_008,1.5108,18246940,17517185,729755,14.5951,5.74336,12205899,11336550,869349,17.387,6.3894,2.8925,4467458,4095899,371559,7.4312,10.1122,42.8482,93.6864,162.831
server_003,1.34829,15185190,14289872,895318,17.9064,8.21382,11410348,10682402,727946,14.5589,14.7073,3.1187,4038079,3544515,493564,9.8713,16.438,52.4431,61.3097,194.931
server_004,1.03981,27489035,26408007,1081028,21.6206,4.5986,12770178,10768044,2002134,40.0427,15.7486,1.9467,5322678,4762822,559856,11.1971,14.9951,20.3314,40.2065,163.819
server_010,1.3252,24181225,22979127,1202098,24.042,3.01222,11954419,10338701,1615718,32.3144,17.0757,1.2723,5543810,4931438,612372,12.2474,12.9635,20.5859,31.3737,153.593
server_011,1.61202,16384747,15144275,1240472,24.8094,5.52532,10928369,10295669,632700,12.654,17.0522,1.9098,4854666,4228153,626513,12.5303,14.3585,38.3234,37.4375,156.204
server_012,1.83325,18216948,16845788,1371160,27.4232,3.39292,10718298,10082156,636142,12.7228,18.8684,1.3386,5520149,4823108,697041,13.9408,12.9019,36.4898,30.6603,150.762
server_013,1.75869,17887631,16453311,1434320,28.6864,3.51982,10694099,10047075,647024,12.9405,20.5305,1.579,5500940,4782437,718503,14.3701,13.3027,38.8056,31.6477,152.158
server_016,1.85016,20263445,17988916,2274529,45.4906,1.31422,11519960,10691556,828404,16.5681,7.9654,0.4988,4812265,3540716,1271549,25.431,10.3949,20.2824,31.2179,183.676
server_023,1.65865,22786930,20170004,2616926,52.3385,1.62294,12613932,11655090,958842,19.1768,8.9725,0.6677,5514313,4062810,1451503,29.0301,10.3346,22.2074,35.1179,206.231
server_024,1.63106,23115150,20388405,2726745,54.5349,1.59806,12858623,11868841,989782,19.7956,10.0982,0.7492,5620537,4093873,1526664,30.5333,10.2414,24.598,37.8425,245.588
server_025,1.62117,25914842,23270851,2643991,52.8798,1.49344,13218308,12317593,900715,18.0143,9.0956,0.393,6259509,4780651,1478858,29.5772,10.4527,19.2169,27.7037,188.167
server_026,1.6149,24352785,21362517,2990268,59.8054,1.69374,12975325,11911316,1064009,21.2802,12.6186,0.3937,5908834,4247851,1660983,33.2197,10.547,19.777,26.0088,207.162
server_027,1.60963,24457604,21444859,3012745,60.2549,1.75358,13032645,12014054,1018591,20.3718,10.8703,0.4645,5940542,4277255,1663287,33.2657,10.5311,19.5884,28.0011,194.006
server_033,1.72664,28815390,25316193,3499197,69.9839,1.36174,12152931,11516806,636125,12.7225,3.7535,0.3613,6797088,4556045,2241043,44.8209,10.0871,20.6264,34.6439,154.145
server_034,1.83105,28393736,24886507,3507229,70.1446,1.34206,12155394,11549621,605773,12.1155,1.13,0.0957,6800054,4567639,2232415,44.6483,10.083,13.2088,27.857,98.9889
spec_gcc_001,1.48925,20955792,20727986,227806,4.5561,5.51086,11724373,10952441,771932,15.4386,3.3242,1.041,4797996,4657778,140218,2.8044,15.4093,24.1802,77.2456,182.882
spec_gobmk_001,1.42676,14141229,13779308,361921,7.2384,6.31342,9893098,9656460,236638,4.7328,1.7588,0.2864,3460887,3292649,168238,3.3648,8.26787,26.8178,45.3046,155.469
spec_gobmk_002,1.69142,16437554,15982380,455174,9.1035,6.948,9987650,9914514,73136,1.4627,0.48,0.369,4745171,4534279,210892,4.2178,8.07762,55.7577,147.175,165.54
