Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.78984,22202623,21701913,500710,10.0142,2.14434,12374546,12133757,240789,4.8158,4.2703,1.0937,5657138,5356731,300407,6.0081,11.3623,61.3623,69.4717,193.35
client_004,1.43933,14100148,13570622,529526,10.5905,9.91538,12405457,11877412,528045,10.5609,4.8449,1.7955,3167877,2878644,289233,5.7847,16.842,30.9298,75.5766,150.099
client_008,1.5091,18228428,17498475,729953,14.5991,5.76502,12208013,11338661,869352,17.387,6.4137,2.8886,4467150,4095995,371155,7.4231,10.1675,42.6873,92.965,162.069
server_003,1.33339,14981853,14090206,891647,17.8329,8.70992,11435846,10707921,727925,14.5585,14.6451,3.0608,4033734,3548607,485127,9.7025,16.4149,52.1533,61.0744,196.682
server_004,1.01911,26961136,25885780,1075356,21.5071,5.54122,12813554,10811447,2002107,40.0421,15.8318,1.9414,5315540,4766463,549077,10.9815,14.8441,20.3612,40.1048,164.323
server_010,1.28821,23546273,22347846,1198427,23.9685,4.08358,12002620,10386837,1615783,32.3157,17.1802,1.2748,5526878,4927380,599498,11.99,12.9392,20.6116,31.234,152.269
server_011,1.55649,15903944,14669646,1234298,24.686,6.44908,10974744,10342064,632680,12.6536,17.0675,1.9447,4852176,4236674,615502,12.31,14.2163,38.2991,37.5806,154.794
server_012,1.75359,17533033,16164326,1368707,27.3741,4.57694,10773447,10137359,636088,12.7218,19.0119,1.3363,5501708,4817357,684351,13.687,12.7869,36.461,30.5095,150.053
server_013,1.68619,17176831,15754004,1422827,28.4565,4.7817,10752167,10105121,647046,12.9409,20.4117,1.5559,5493654,4793944,699710,13.9942,13.0442,38.5846,31.4712,151.083
server_016,1.80658,17822845,15603540,2219305,44.3861,2.88602,11579202,10750704,828498,16.57,8.1565,0.5028,4755369,3602727,1152642,23.0528,9.71711,20.3925,31.084,183.966
server_023,1.61917,19974150,17410359,2563791,51.2758,3.48822,12685479,11726629,958850,19.177,9.1535,0.6686,5444114,4125351,1318763,26.3753,9.65956,22.2562,34.9283,207.386
server_024,1.58859,20132484,17460302,2672182,53.4436,3.60618,12928552,11938730,989822,19.7964,10.4063,0.7523,5547405,4158956,1388449,27.769,9.60991,24.7326,37.3805,245.151
server_025,1.56816,22687475,20097692,2589783,51.7957,3.61386,13299359,12398567,900792,18.0158,9.2747,0.3937,6193023,4887713,1305310,26.1062,9.67241,19.2616,27.7038,191.597
server_026,1.55301,20684105,17761691,2922414,58.4483,4.19542,13075683,12011679,1064004,21.2801,12.5017,0.4018,5824995,4372473,1452522,29.0504,9.70698,19.9052,26.2812,210.241
server_027,1.54893,20802962,17865529,2937433,58.7487,4.25376,13129465,12110882,1018583,20.3717,10.9574,0.475,5864188,4390558,1473630,29.4726,9.74786,19.57,28.0842,192.719
server_033,1.72639,28045557,24557046,3488511,69.7702,1.51382,12160398,11524333,636065,12.7213,3.7599,0.3626,6792041,4569836,2222205,44.4441,9.99316,20.6409,34.6098,153.519
server_034,1.83108,27700519,24197612,3502907,70.0581,1.48584,12162172,11556398,605774,12.1155,1.1311,0.0957,6791637,4564867,2226770,44.5354,10.0195,13.2112,27.8315,98.78
spec_gcc_001,1.4866,20948660,20720895,227765,4.5553,5.53368,11725556,10953621,771935,15.4387,3.4019,1.0502,4797794,4657821,139973,2.7995,15.5425,24.2927,76.27,182.369
spec_gobmk_001,1.42475,14137975,13771934,366041,7.3208,6.33218,9894359,9657723,236636,4.7327,1.7705,0.292,3460462,3291834,168628,3.3726,8.32733,26.9041,45.3904,154.049
spec_gobmk_002,1.69089,16434776,15979533,455243,9.1049,6.95768,9987919,9914783,73136,1.4627,0.4801,0.3691,4744957,4534164,210793,4.2159,8.08741,55.7476,147.15,165.505
