Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79604,22283793,21785458,498335,9.9667,2.01066,12370445,12129668,240777,4.8155,4.2701,1.0971,5668007,5367883,300124,6.0025,11.3108,60.9867,68.9478,190.709
client_004,1.45539,14139154,13611138,528016,10.5603,9.54268,12404233,11876174,528059,10.5612,4.7973,1.7731,3170257,2883077,287180,5.7436,15.1942,30.607,75.2601,149.645
client_008,1.51081,18245816,17515991,729825,14.5965,5.741,12208245,11338898,869347,17.3869,6.4117,2.8877,4467811,4096735,371076,7.4215,10.0643,42.7032,93.1032,162.376
server_003,1.34244,15035529,14145736,889793,17.7959,8.41336,11431416,10703478,727938,14.5588,14.6159,3.0452,4041018,3558432,482586,9.6517,15.6499,52.6217,61.5403,199.509
server_004,1.02478,27025810,25953989,1071821,21.4364,5.22962,12811041,10808909,2002132,40.0426,15.7643,1.9309,5327151,4780724,546427,10.9285,14.3306,20.3658,40.1983,165.294
server_010,1.29814,23641710,22448384,1193326,23.8665,3.84216,12000091,10384283,1615808,32.3162,17.0231,1.2307,5541083,4945833,595250,11.905,12.8075,20.5156,31.0362,153.506
server_011,1.56713,15983749,14753362,1230387,24.6077,6.1573,10970338,10337682,632656,12.6531,17.0239,1.9767,4864402,4252289,612113,12.2423,13.8771,38.6043,38.0025,155.538
server_012,1.76684,17624324,16261111,1363213,27.2643,4.32864,10770354,10134260,636094,12.7219,18.8789,1.3356,5518437,4838379,680058,13.6012,12.6767,36.4939,30.6277,150.763
server_013,1.69245,17302876,15882358,1420518,28.4104,4.52508,10748580,10101543,647037,12.9407,20.4407,1.5628,5509929,4815340,694589,13.8918,12.9721,38.6822,31.5641,151.945
server_016,1.81892,18055214,15830767,2224447,44.4889,2.58678,11566058,10737628,828430,16.5686,8.1782,0.5017,4779283,3641719,1137564,22.7513,9.85186,20.4014,31.0373,184.153
server_023,1.63032,20239268,17672479,2566789,51.3358,3.13794,12666001,11707167,958834,19.1767,9.2288,0.6668,5470897,4161045,1309852,26.197,9.78508,22.284,34.7509,207.23
server_024,1.60049,20494973,17815136,2679837,53.5967,3.20966,12911430,11921638,989792,19.7958,10.4956,0.7486,5579031,4198370,1380661,27.6132,9.72174,24.707,37.1244,244.909
server_025,1.58183,22835830,20255379,2580451,51.609,3.26988,13282896,12382146,900750,18.015,9.3152,0.3892,6230022,4945196,1284826,25.6965,9.67089,19.19,27.4811,188.797
server_026,1.56916,20865494,17948379,2917115,58.3423,3.78794,13049832,11985841,1063991,21.2798,12.9726,0.3934,5870558,4431572,1438986,28.7797,9.83116,19.8779,25.9021,209.702
server_027,1.56375,20950060,18021726,2928334,58.5667,3.85142,13107150,12088555,1018595,20.3719,10.9326,0.4752,5913167,4456898,1456269,29.1254,9.74675,19.5443,28.0978,192.538
server_033,1.72614,28605936,25116444,3489492,69.7898,1.40234,12153184,11517060,636124,12.7225,3.7566,0.3623,6796517,4549381,2247136,44.9427,10.0365,20.6338,34.6062,153.463
server_034,1.83094,28220132,24713808,3506324,70.1265,1.37464,12154427,11548658,605769,12.1154,1.2112,0.0938,6798296,4558246,2240050,44.801,10.0765,13.2632,26.968,97.9168
spec_gcc_001,1.49532,20968748,20741249,227499,4.55,5.3551,11723960,10952033,771927,15.4385,3.3172,1.0306,4801211,4661782,139429,2.7886,13.6888,24.066,76.6924,182.578
spec_gobmk_001,1.42594,14137425,13771621,365804,7.3161,6.33158,9894346,9657707,236639,4.7328,1.7655,0.2863,3460090,3291588,168502,3.37,8.30483,26.8369,45.2164,155.574
spec_gobmk_002,1.69087,16433004,15977859,455145,9.1029,6.95636,9988004,9914868,73136,1.4627,0.4805,0.3691,4744974,4534357,210617,4.2123,8.0893,55.6905,146.882,165.325
