Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79204,22239018,21738389,500629,10.0126,2.10886,12372928,12132140,240788,4.8158,4.2835,1.0998,5665878,5365005,300873,6.0175,11.2981,60.718,68.4452,188.877
client_004,1.44146,14097789,13568358,529431,10.5886,9.91972,12405478,11877429,528049,10.561,4.9203,1.7832,3168682,2880028,288654,5.7731,16.8757,30.5415,73.6913,148.285
client_008,1.50842,18232906,17503138,729768,14.5954,5.76504,12207354,11337998,869356,17.3871,6.3941,2.8908,4468036,4096943,371093,7.4219,10.1575,42.7161,93.3383,162.276
server_003,1.33927,14998629,14106864,891765,17.8353,8.6258,11431550,10703637,727913,14.5583,14.6547,3.0532,4035833,3549834,485999,9.72,16.3308,52.1064,60.9876,196.869
server_004,1.02154,27015367,25938441,1076926,21.5385,5.35608,12805843,10803776,2002067,40.0413,15.9051,1.97,5314711,4762901,551810,11.0362,14.8472,20.4171,40.3284,164.543
server_010,1.29942,23642351,22444969,1197382,23.9476,3.84352,11990771,10375076,1615695,32.3139,17.1673,1.2673,5529712,4931260,598452,11.969,12.9178,20.5903,31.2102,152.704
server_011,1.58133,15958800,14723787,1235013,24.7003,6.26856,10962319,10329651,632668,12.6534,17.0614,1.8843,4852714,4236600,616114,12.3223,14.1877,38.1266,37.1073,155.445
server_012,1.77728,17615789,16248373,1367416,27.3483,4.31586,10759596,10123522,636074,12.7215,19.0067,1.3425,5502389,4817875,684514,13.6903,12.7321,36.5196,30.5752,150.239
server_013,1.70047,17300183,15875705,1424478,28.4896,4.48426,10738268,10091239,647029,12.9406,20.5459,1.5922,5493741,4790002,703739,14.0748,13.1298,38.7832,31.7042,151.719
server_016,1.81721,18245257,16011353,2233904,44.6781,2.55638,11562486,10734031,828455,16.5691,8.1852,0.5033,4770496,3599868,1170628,23.4126,9.8839,20.4703,31.1649,185.713
server_023,1.6276,20433223,17855528,2577695,51.5539,3.12834,12671122,11712297,958825,19.1765,9.4797,0.6642,5460974,4126897,1334077,26.6815,9.83662,22.1925,34.3377,209.262
server_024,1.6017,20681069,17993773,2687296,53.7459,3.18518,12904055,11914260,989795,19.7959,10.1485,0.7502,5566597,4166816,1399781,27.9956,9.70379,24.4941,37.7246,244.398
server_025,1.58523,23308949,20693486,2615463,52.3093,3.09814,13277301,12376558,900743,18.0149,9.6535,0.3939,6207393,4870885,1336508,26.7302,9.93078,19.253,27.3032,189.72
server_026,1.57006,21462095,18511606,2950489,59.0098,3.56204,13046942,11982988,1063954,21.2791,13.0748,0.3975,5849170,4368070,1481100,29.622,9.89713,19.9702,25.9413,210.383
server_027,1.56734,21585304,18611108,2974196,59.4839,3.65352,13099046,12080331,1018715,20.3743,11.8805,0.4661,5880192,4375388,1504804,30.0961,9.9527,19.7004,27.1595,190.251
server_033,1.72625,28373432,24884388,3489044,69.7809,1.44876,12156404,11520307,636097,12.7219,3.7594,0.3625,6794145,4563365,2230780,44.6156,10.0184,20.6365,34.6157,153.59
server_034,1.83098,28093116,24585772,3507344,70.1469,1.39926,12156027,11550258,605769,12.1154,1.213,0.0937,6796530,4562516,2234014,44.6803,10.0538,13.2669,26.9781,98.1976
spec_gcc_001,1.48592,20945289,20717167,228122,4.5624,5.54272,11724271,10952332,771939,15.4388,3.4716,1.0448,4797651,4658082,139569,2.7914,15.5413,24.3882,75.04,182.997
spec_gobmk_001,1.42487,14139167,13773926,365241,7.3048,6.33196,9894198,9657562,236636,4.7327,1.774,0.2912,3460698,3292214,168484,3.3697,8.32605,26.8612,45.2108,153.688
spec_gobmk_002,1.69092,16435517,15980299,455218,9.1044,6.95612,9987873,9914737,73136,1.4627,0.4799,0.3693,4744949,4534165,210784,4.2157,8.08649,55.8432,147.513,165.873
