Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79078,22206494,21707364,499130,9.9826,2.12692,12374877,12134095,240782,4.8156,4.2805,1.0999,5661650,5362347,299303,5.9861,11.3059,60.8315,68.6228,189.428
client_004,1.43852,14087352,13557919,529433,10.5887,9.94444,12409124,11881077,528047,10.5609,4.8712,1.7939,3167526,2878672,288854,5.7771,16.9256,30.5234,74.814,148.962
client_008,1.50842,18231935,17502050,729885,14.5977,5.76796,12207954,11338601,869353,17.3871,6.3991,2.8937,4467819,4097160,370659,7.4132,10.1732,42.7513,93.3769,162.334
server_003,1.33458,14990621,14098395,892226,17.8445,8.63754,11429238,10701311,727927,14.5585,14.6697,3.1012,4034836,3549515,485321,9.7064,16.387,52.4765,61.3606,195.766
server_004,1.02381,27005077,25927149,1077928,21.5586,5.37732,12805913,10803797,2002116,40.0423,15.8221,1.94,5311629,4761233,550396,11.0079,14.851,20.3639,40.1169,164.435
server_010,1.3,23655217,22455439,1199778,23.9956,3.84646,11989755,10371612,1618143,32.3629,17.1544,1.2658,5526519,4928683,597836,11.9567,12.9112,20.5892,31.1763,152.36
server_011,1.57412,15944574,14710304,1234270,24.6854,6.30974,10964421,10331757,632664,12.6533,17.1154,1.9092,4852113,4235272,616841,12.3368,14.1902,38.1734,37.2282,154.967
server_012,1.76938,17619947,16250406,1369541,27.3908,4.3272,10759650,10123552,636098,12.722,19.0346,1.3676,5499479,4813028,686451,13.729,12.7114,36.7494,30.7567,150.314
server_013,1.69935,17271704,15846504,1425200,28.504,4.5415,10740629,10093566,647063,12.9413,20.4514,1.5822,5495202,4793440,701762,14.0352,13.0746,38.6536,31.6691,151.471
server_016,1.81621,18118063,15889898,2228165,44.5633,2.63538,11567489,10739028,828461,16.5692,8.2827,0.4971,4766412,3595057,1171355,23.4271,9.83714,20.4981,30.9746,187.852
server_023,1.63292,20221307,17651049,2570258,51.4052,3.18778,12671706,11712862,958844,19.1769,8.8261,0.6678,5460694,4127953,1332741,26.6548,9.72842,21.8579,35.5761,208.626
server_024,1.60026,20506550,17815532,2691018,53.8204,3.26824,12910762,11920973,989789,19.7958,10.689,0.7503,5560400,4156833,1403567,28.0713,9.72635,24.7864,36.8837,245.522
server_025,1.58341,23129077,20530478,2598599,51.972,3.22078,13281067,12380275,900792,18.0158,9.6534,0.3911,6211040,4882519,1328521,26.5704,9.82716,19.3849,27.3343,191.717
server_026,1.57724,21193983,18257315,2936668,58.7334,3.70592,13045213,11981164,1064049,21.281,11.2902,0.4044,5845822,4370314,1475508,29.5102,9.72929,19.4334,27.1039,209.589
server_027,1.56538,21249593,18296858,2952735,59.0547,3.79856,13102314,12083773,1018541,20.3708,11.0835,0.4641,5877067,4374686,1502381,30.0476,9.75816,19.7193,28.0122,199.537
server_033,1.72479,28279764,24789192,3490572,69.8114,1.47212,12159460,11523380,636080,12.7216,3.8184,0.3659,6793737,4562323,2231414,44.6283,10.0151,20.7345,34.5453,154.039
server_034,1.83106,28077532,24569471,3508061,70.1612,1.41734,12158620,11552848,605772,12.1154,1.2146,0.0938,6797111,4562191,2234920,44.6984,10.0498,13.27,26.9603,97.9966
spec_gcc_001,1.48847,20939931,20711771,228160,4.5632,5.54856,11726093,10954163,771930,15.4386,3.3371,1.0378,4796671,4656980,139691,2.7938,15.515,24.0177,76.229,180.885
spec_gobmk_001,1.42441,14138019,13773558,364461,7.2892,6.33246,9894354,9657718,236636,4.7327,1.7689,0.2901,3460374,3292143,168231,3.3646,8.31223,26.9841,45.5446,155.864
spec_gobmk_002,1.69094,16434852,15979632,455220,9.1044,6.9569,9987882,9914746,73136,1.4627,0.4799,0.3693,4744934,4534186,210748,4.215,8.08999,55.7953,147.343,165.605
