Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79204,22239044,21738420,500624,10.0125,2.10886,12372918,12132130,240788,4.8158,4.2835,1.0998,5665861,5364967,300894,6.0179,11.2971,60.718,68.4445,188.877
client_004,1.44147,14097694,13568278,529416,10.5883,9.91958,12405476,11877427,528049,10.561,4.9202,1.7833,3168733,2880076,288657,5.7731,16.8791,30.5379,73.6918,148.278
client_008,1.50842,18232916,17503147,729769,14.5954,5.765,12207349,11337993,869356,17.3871,6.3941,2.8908,4468037,4096944,371093,7.4219,10.1574,42.7161,93.3383,162.276
server_003,1.341,14997776,14106071,891705,17.8341,8.62624,11430763,10702863,727900,14.558,14.6656,3.0409,4035468,3549826,485642,9.7128,16.3308,52.0709,60.8774,197.291
server_004,1.02158,27018853,25941854,1076999,21.54,5.35532,12805814,10803747,2002067,40.0413,15.907,1.9691,5314825,4763241,551584,11.0317,14.8506,20.4132,40.3105,164.492
server_010,1.29933,23645618,22448086,1197532,23.9506,3.84398,11990865,10375170,1615695,32.3139,17.1681,1.2677,5529955,4931329,598626,11.9725,12.921,20.5938,31.2219,152.819
server_011,1.58145,15962245,14727265,1234980,24.6996,6.2672,10962229,10329560,632669,12.6534,17.061,1.8845,4852921,4236874,616047,12.3209,14.1945,38.1236,37.1071,155.424
server_012,1.77735,17619608,16252031,1367577,27.3515,4.31506,10759515,10123445,636070,12.7214,19.0104,1.3423,5502345,4817710,684635,13.6927,12.7373,36.5218,30.5711,150.237
server_013,1.70035,17299706,15875156,1424550,28.491,4.4841,10738560,10091531,647029,12.9406,20.5464,1.5921,5493913,4790290,703623,14.0725,13.1318,38.7778,31.6999,151.679
server_016,1.81724,18245298,16011058,2234240,44.6848,2.55676,11562507,10734052,828455,16.5691,8.1862,0.5034,4770410,3599988,1170422,23.4084,9.88585,20.4665,31.1574,185.589
server_023,1.62763,20431437,17853667,2577770,51.5554,3.12798,12671093,11712268,958825,19.1765,9.4789,0.6642,5460919,4126747,1334172,26.6834,9.83804,22.1878,34.33,209.137
server_024,1.6017,20681338,17993913,2687425,53.7485,3.1854,12904018,11914223,989795,19.7959,10.149,0.7502,5566512,4166690,1399822,27.9964,9.70452,24.4944,37.7243,244.399
server_025,1.5853,23308055,20692455,2615600,52.312,3.09778,13277222,12376480,900742,18.0148,9.6547,0.3938,6207354,4871107,1336247,26.7249,9.9302,19.2509,27.2959,189.604
server_026,1.57011,21466073,18514769,2951304,59.0261,3.55964,13046883,11982929,1063954,21.2791,13.0757,0.3975,5848833,4367689,1481144,29.6229,9.89711,19.9703,25.9405,210.383
server_027,1.56733,21589145,18614639,2974506,59.4901,3.65234,13098993,12080279,1018714,20.3743,11.8809,0.4661,5880146,4375521,1504625,30.0925,9.95188,19.7158,27.1855,190.914
server_033,1.72625,28373432,24884388,3489044,69.7809,1.44876,12156404,11520307,636097,12.7219,3.7594,0.3625,6794145,4563365,2230780,44.6156,10.0184,20.6365,34.6157,153.59
server_034,1.83098,28093116,24585772,3507344,70.1469,1.39926,12156027,11550258,605769,12.1154,1.213,0.0937,6796530,4562516,2234014,44.6803,10.0538,13.2669,26.9781,98.1976
spec_gcc_001,1.486,20945547,20717484,228063,4.5613,5.54264,11724095,10952155,771940,15.4388,3.4702,1.0446,4797584,4658025,139559,2.7912,15.5192,24.3956,75.0735,183.072
spec_gobmk_001,1.42486,14139087,13773846,365241,7.3048,6.33216,9894220,9657584,236636,4.7327,1.774,0.2913,3460700,3292210,168490,3.3698,8.32616,26.862,45.2173,153.694
spec_gobmk_002,1.69092,16435523,15980316,455207,9.1041,6.9561,9987874,9914738,73136,1.4627,0.4799,0.3693,4744955,4534174,210781,4.2156,8.08646,55.8453,147.519,165.854
