Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79154,22224359,21724602,499757,9.9951,2.11408,12373610,12132836,240774,4.8155,4.2832,1.0996,5662916,5363106,299810,5.9962,11.377,60.5942,68.4738,189.028
client_004,1.43839,14094032,13564316,529716,10.5943,9.92934,12406541,11878483,528058,10.5612,4.8955,1.8068,3168118,2880062,288056,5.7611,16.9368,30.7203,74.8192,148.689
client_008,1.50863,18231949,17502066,729883,14.5977,5.76658,12207842,11338492,869350,17.387,6.3989,2.8939,4467581,4096854,370727,7.4145,10.18,42.7519,93.4033,162.371
server_003,1.33544,14995925,14103188,892737,17.8547,8.63118,11428508,10700588,727920,14.5584,14.6825,3.0808,4034356,3549100,485256,9.7051,16.3967,52.2878,61.0584,195.817
server_004,1.02301,27017012,25939681,1077331,21.5466,5.36584,12805348,10801200,2004148,40.083,15.8948,1.9517,5314389,4763138,551251,11.025,14.8251,20.3758,40.13,164.337
server_010,1.30124,23647622,22449656,1197966,23.9593,3.84514,11990609,10372452,1618157,32.3631,17.1222,1.2487,5528408,4931283,597125,11.9425,12.9391,20.5085,31.0631,152.524
server_011,1.57228,15954352,14718850,1235502,24.71,6.28082,10964853,10332186,632667,12.6533,17.0928,1.9377,4853749,4237488,616261,12.3252,14.2252,38.3836,37.5658,155.442
server_012,1.77388,17614390,16246101,1368289,27.3658,4.3246,10760201,10124133,636068,12.7214,18.9769,1.352,5502333,4819459,682874,13.6575,12.755,36.4786,30.6515,150.085
server_013,1.7076,17289012,15863824,1425188,28.5038,4.50026,10738083,10091038,647045,12.9409,20.438,1.5538,5494711,4794298,700413,14.0083,13.1053,38.5148,31.4268,150.9
server_016,1.81786,18197549,15967503,2230046,44.6009,2.58612,11563571,10735112,828459,16.5692,8.2795,0.5032,4769824,3605143,1164681,23.2936,9.89184,20.4936,31.1149,187.366
server_023,1.6319,20311380,17736234,2575146,51.5029,3.15912,12671758,11712892,958866,19.1773,8.8676,0.6722,5466025,4137246,1328779,26.5756,9.77464,21.9346,35.6592,209.354
server_024,1.60205,20604977,17913265,2691712,53.8342,3.22988,12902436,11912602,989834,19.7967,10.0392,0.7564,5567018,4175780,1391238,27.8248,9.69886,24.7042,38.1358,245.96
server_025,1.5846,23189439,20578845,2610594,52.2119,3.15234,13276932,12376154,900778,18.0156,9.867,0.3936,6214036,4892259,1321777,26.4355,9.85499,19.4048,27.0653,188.703
server_026,1.57742,21313382,18367663,2945719,58.9144,3.64614,13038231,11974265,1063966,21.2793,11.3031,0.4126,5851814,4378484,1473330,29.4666,9.71616,19.3459,27.0382,202.93
server_027,1.56675,21384066,18425083,2958983,59.1797,3.73982,13098730,12080176,1018554,20.3711,11.0518,0.4638,5882583,4388742,1493841,29.8768,9.7692,19.7042,27.9341,197.149
server_033,1.72592,28084975,24596472,3488503,69.7701,1.50666,12159929,11523863,636066,12.7213,3.7871,0.3629,6792089,4568180,2223909,44.4782,9.99799,20.6581,34.4958,153.335
server_034,1.83096,28053808,24545537,3508271,70.1654,1.42052,12159848,11554072,605776,12.1155,1.1338,0.0957,6796826,4566170,2230656,44.6131,10.0498,13.2163,27.8187,98.8995
spec_gcc_001,1.48736,20943241,20715080,228161,4.5632,5.54358,11725025,10953088,771937,15.4387,3.3451,1.0479,4797715,4658078,139637,2.7927,15.5406,24.1983,76.9508,181.891
spec_gobmk_001,1.42489,14138732,13773395,365337,7.3067,6.33222,9894292,9657656,236636,4.7327,1.7706,0.2911,3460558,3292064,168494,3.3699,8.32126,26.846,45.2354,153.603
spec_gobmk_002,1.69096,16435058,15979815,455243,9.1049,6.9566,9987901,9914765,73136,1.4627,0.48,0.3693,4744965,4534214,210751,4.215,8.08777,55.7907,147.331,165.626
