Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79505,22138502,21640783,497719,9.9544,2.10708,12368863,12128068,240795,4.8159,4.2766,1.0831,5664823,5364091,300732,6.0146,11.1935,61.2784,68.7717,192.779
client_004,1.42017,13855382,13325728,529654,10.5931,10.7112,12445114,11917059,528055,10.5611,4.8446,1.7922,3166317,2892085,274232,5.4846,16.6652,30.4831,75.1915,149.359
client_008,1.50892,18160563,17430285,730278,14.6056,5.81924,12208790,11339439,869351,17.387,6.4148,2.891,4462062,4091973,370089,7.4018,10.171,42.6831,93.0107,162.066
server_003,1.27643,14721070,13830896,890174,17.8035,9.92924,11489272,10761339,727933,14.5587,14.6948,3.0957,4070112,3586179,483933,9.6787,16.542,52.4761,61.5929,197.584
server_004,1.01256,27029543,25957489,1072054,21.4411,5.80336,12824418,10820267,2004151,40.083,15.7036,1.9321,5346468,4795590,550878,11.0176,14.6739,20.3117,40.1554,164.176
server_010,1.29777,23754504,22558054,1196450,23.929,3.85624,11991185,10373007,1618178,32.3636,17.0757,1.2407,5570285,4972838,597447,11.9489,12.7695,20.5193,31.0677,153.177
server_011,1.53323,15810694,14578301,1232393,24.6479,6.99388,10999768,10367124,632644,12.6529,17.0685,1.9265,4886718,4269967,616751,12.335,14.0473,38.4408,37.5599,156.084
server_012,1.7722,17741902,16375953,1365949,27.319,4.35068,10759279,10123179,636100,12.722,18.8996,1.3289,5549112,4861276,687836,13.7567,12.608,36.4977,30.5569,150.694
server_013,1.68736,17343712,15918645,1425067,28.5013,4.68218,10746871,10099857,647014,12.9403,20.5762,1.5649,5536732,4826818,709914,14.1983,12.9765,38.6869,31.4576,151.333
server_016,1.81434,18075847,15856879,2218968,44.3794,2.72988,11570294,10741818,828476,16.5695,7.9801,0.4958,4775504,3611354,1164150,23.283,9.73582,20.3708,31.3396,186.659
server_023,1.62808,20270119,17706399,2563720,51.2744,3.26322,12672090,11713241,958849,19.177,9.1556,0.6691,5467238,4131056,1336182,26.7236,9.73233,22.2681,34.8827,206.627
server_024,1.59588,20442846,17771077,2671769,53.4354,3.39488,12915927,11926133,989794,19.7959,10.3743,0.7502,5582750,4175828,1406922,28.1384,9.58779,24.7454,37.3964,245.415
server_025,1.57929,23149771,20550923,2598848,51.977,3.2381,13281044,12380245,900799,18.016,9.4384,0.3893,6213516,4883328,1330188,26.6038,9.8095,19.2585,27.3141,188.156
server_026,1.56476,21267659,18336446,2931213,58.6243,3.73482,13058894,11994895,1063999,21.28,12.5896,0.4139,5864260,4386622,1477638,29.5528,9.89582,19.932,26.341,207.3
server_027,1.56488,21391317,18437685,2953632,59.0726,3.7959,13106208,12087438,1018770,20.3754,10.9956,0.471,5898385,4404501,1493884,29.8777,9.85267,19.6391,27.9954,194.13
server_033,1.7264,28023208,24534017,3489191,69.7838,1.52182,12160673,11524611,636062,12.7212,3.7604,0.3623,6790133,4566058,2224075,44.4815,9.99311,20.6368,34.5869,153.443
server_034,1.83114,27703224,24200538,3502686,70.0537,1.48522,12161104,11555333,605771,12.1154,1.2133,0.0941,6792053,4563066,2228987,44.5797,10.0217,13.267,27.0002,98.1552
spec_gcc_001,1.48202,20592536,20361801,230735,4.6147,5.93976,11735717,10963786,771931,15.4386,3.4191,1.0539,4764863,4632111,132752,2.655,15.6122,24.1584,75.5904,180.445
spec_gobmk_001,1.42499,14133399,13771016,362383,7.2477,6.33178,9894124,9657487,236637,4.7327,1.7669,0.289,3460430,3292387,168043,3.3609,8.28649,26.7929,45.1671,153.957
spec_gobmk_002,1.69107,16424589,15969142,455447,9.1089,6.956,9987987,9914851,73136,1.4627,0.4801,0.3692,4744017,4533183,210834,4.2167,8.09194,55.5738,146.724,164.904
