Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79271,22229217,21728208,501009,10.0202,2.10012,12372405,12131620,240785,4.8157,4.283,1.1003,5661820,5360735,301085,6.0217,11.3705,60.7185,68.6603,189.612
client_004,1.44298,14102852,13573276,529576,10.5915,9.8876,12404558,11876510,528048,10.561,4.8487,1.7885,3167894,2878462,289432,5.7886,16.8523,30.75,75.1406,149.646
client_008,1.50879,18230998,17501243,729755,14.5951,5.76272,12207236,11337877,869359,17.3872,6.3946,2.891,4467539,4096403,371136,7.4227,10.1547,42.7218,93.3726,162.357
server_003,1.3304,15019285,14126845,892440,17.8488,8.61724,11429787,10701858,727929,14.5586,14.6616,3.1092,4040844,3552522,488322,9.7664,16.4223,52.6589,61.7168,196.858
server_004,1.02459,27104752,26029385,1075367,21.5073,5.26646,12799262,10797122,2002140,40.0428,15.7406,1.9602,5322084,4771488,550596,11.0119,14.8007,20.3783,40.3447,163.701
server_010,1.29979,23664173,22466395,1197778,23.9556,3.83184,11989924,10371506,1618418,32.3684,17.1474,1.2465,5541691,4940506,601185,12.0237,12.8534,20.5159,31.0295,152.523
server_011,1.57584,15975114,14740785,1234329,24.6866,6.26368,10963864,10331189,632675,12.6535,17.0591,1.9077,4859366,4243383,615983,12.3197,14.1892,38.2656,37.2908,155.143
server_012,1.77524,17641042,16273707,1367335,27.3467,4.30454,10759271,10123160,636111,12.7222,18.9922,1.3418,5516744,4827020,689724,13.7945,12.6932,36.4976,30.6012,150.64
server_013,1.69948,17340152,15914453,1425699,28.514,4.46812,10738438,10091404,647034,12.9407,20.5475,1.5904,5504867,4796717,708150,14.163,13.0937,38.7815,31.6627,151.38
server_016,1.81484,18415406,16176925,2238481,44.7696,2.52898,11561547,10733104,828443,16.5689,8.1355,0.4996,4782570,3598308,1184262,23.6852,9.85319,20.479,31.2332,187.018
server_023,1.62764,20511317,17935530,2575787,51.5157,3.0901,12667505,11708658,958847,19.1769,9.1757,0.6699,5467753,4120262,1347491,26.9498,9.79826,22.3332,34.981,208.177
server_024,1.59847,20791185,18102569,2688616,53.7723,3.13742,12902770,11912979,989791,19.7958,10.4753,0.7558,5572794,4146814,1425980,28.5196,9.75828,24.7968,37.3461,245.384
server_025,1.58305,23629863,21012432,2617431,52.3486,3.00992,13277115,12376336,900779,18.0156,9.1338,0.3913,6219490,4860636,1358854,27.1771,9.88528,19.2487,27.7773,190.968
server_026,1.56764,21903225,18945960,2957265,59.1453,3.4519,13049603,11985669,1063934,21.2787,12.6947,0.4013,5855905,4341473,1514432,30.2886,10.0254,19.8446,26.1669,209.118
server_027,1.56387,21932063,18958112,2973951,59.479,3.55074,13103311,12084698,1018613,20.3723,11.1583,0.4724,5895413,4366402,1529011,30.5802,9.96337,19.6802,27.9241,194.811
server_033,1.7262,28385005,24903879,3481126,69.6225,1.43678,12153685,11517561,636124,12.7225,3.7566,0.3623,6793975,4581438,2212537,44.2507,10.0295,20.6329,34.6049,153.44
server_034,1.83098,28112347,24615216,3497131,69.9426,1.41618,12159933,11554159,605774,12.1155,1.1319,0.096,6795688,4573502,2222186,44.4437,10.0775,13.2099,27.87,99.0044
spec_gcc_001,1.48876,20946650,20719060,227590,4.5518,5.52786,11724488,10952552,771936,15.4387,3.337,1.043,4798146,4658487,139659,2.7932,15.4338,24.081,76.4005,180.535
spec_gobmk_001,1.42478,14135951,13772443,363508,7.2702,6.32982,9894276,9657640,236636,4.7327,1.769,0.2889,3460564,3292346,168218,3.3644,8.30226,26.8043,45.1368,153.987
spec_gobmk_002,1.69124,16435625,15980379,455246,9.1049,6.95466,9987687,9914551,73136,1.4627,0.4835,0.3688,4745025,4534162,210863,4.2173,8.08121,55.5015,145.24,164.305
