Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.6816,15557372,15078180,479192,9.5838,7.68608,12505092,12264377,240715,4.8143,4.171,1.0828,4407486,4119242,288244,5.7649
client_004,1.38862,11468707,10953094,515613,10.3123,15.9608,12586602,12058568,528034,10.5607,4.8357,1.7718,2647822,2361304,286518,5.7304
client_008,1.44455,14108728,13398548,710180,14.2036,11.3061,12353006,11483758,869248,17.385,6.3583,2.8741,3478935,3139021,339914,6.7983
server_003,1.27323,12554873,11689591,865282,17.3056,13.8472,11619694,10891711,727983,14.5597,14.4723,3.0652,3605436,3123181,482255,9.6451
server_004,0.982205,14164088,13124261,1039827,20.7965,9.64256,12959549,10968363,1991186,39.8237,15.4646,1.9509,4328484,3764987,563497,11.2699
server_010,1.22564,14315901,13160818,1155083,23.1017,7.61416,12171279,10566404,1604875,32.0975,16.6642,1.2395,4732990,4143005,589985,11.7997
server_011,1.46466,13709651,12511546,1198105,23.9621,10.0511,11123216,10490524,632692,12.6538,16.6932,1.8743,4598219,3984264,613955,12.2791
server_012,1.62379,14966592,13646517,1320075,26.4015,7.63574,10955460,10319341,636119,12.7224,18.7515,1.3184,5155134,4475525,679609,13.5922
server_013,1.57344,14867627,13489156,1378471,27.5694,7.74432,10930119,10283024,647095,12.9419,20.0355,1.5073,5185492,4487536,697956,13.9591
server_016,1.66695,14164636,12039489,2125147,42.5029,6.76684,11770447,10942023,828424,16.5685,7.5929,0.4939,4218251,3178953,1039298,20.786
server_023,1.48808,15823032,13370748,2452284,49.0457,8.05138,12902691,11943979,958712,19.1742,9.2826,0.6622,4965106,3774447,1190659,23.8132
server_024,1.45929,15986463,13437294,2549169,50.9834,8.23222,13148893,12159165,989728,19.7946,10.0472,0.7469,5096557,3832156,1264401,25.288
server_025,1.45,16759575,14272978,2486597,49.7319,8.73856,13495133,12594468,900665,18.0133,10.8106,0.3901,5437926,4229428,1208498,24.17
server_026,1.42813,16503299,13693607,2809692,56.1938,8.93986,13299268,12235576,1063692,21.2738,11.3153,0.4134,5424387,4103108,1321279,26.4256
server_027,1.41849,16620728,13791581,2829147,56.5829,9.03524,13366446,12348253,1018193,20.3639,10.4098,0.4628,5459566,4122321,1337245,26.7449
server_033,1.58612,19104653,15735935,3368718,67.3744,7.36266,12306953,11669946,637007,12.7401,3.8268,0.3626,5990238,4076534,1913704,38.2741
server_034,1.6729,18758042,15387654,3370388,67.4078,7.32042,12298409,11692120,606289,12.1258,1.1135,0.0942,5981381,4055586,1925795,38.5159
spec_gcc_001,1.41448,14084369,13861074,223295,4.4659,14.2398,11885328,11113373,771955,15.4391,3.4695,1.0347,3650122,3515982,134140,2.6828
spec_gobmk_001,1.2116,10424283,10084494,339789,6.7958,16.9352,10319133,10082508,236625,4.7325,1.7729,0.2884,3047167,2865220,181947,3.6389
spec_gobmk_002,1.32026,12577492,12143463,434029,8.6806,18.3174,10555138,10481998,73140,1.4628,0.4833,0.3689,4331103,4099542,231561,4.6312
