Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_001,1.48616,10153178,9876466,276712,5.5342,9.95772,11945412,11531176,414236,8.2847,5.0316,2.8085,2093651,1987154,106497,2.1299
client_002,1.68332,15560359,15081143,479216,9.5843,7.66466,12503377,12262661,240716,4.8143,4.1709,1.0847,4408218,4119430,288788,5.7758
client_003,1.07989,13594506,13176776,417730,8.3546,5.3643,11436050,11028717,407333,8.1467,7.2146,5.2728,3753787,3518083,235704,4.7141
server_003,1.27413,12568050,11702438,865612,17.3122,13.7812,11617941,10889978,727963,14.5593,14.4799,3.0983,3605982,3121567,484415,9.6883
server_004,0.98757,14179492,13139680,1039812,20.7962,9.51888,12953571,10959595,1993976,39.8795,15.4823,1.9362,4327661,3761377,566284,11.3257
server_016,1.67685,14275500,12150050,2125450,42.509,6.54396,11758166,10929750,828416,16.5683,7.6966,0.4946,4211280,3166690,1044590,20.8918
server_017,0.412488,17328387,15175463,2152924,43.0585,5.26418,12836665,11098658,1738007,34.7601,32.7865,24.2973,4462265,3158476,1303789,26.0758
spec_gcc_001,1.4187,14078746,13855417,223329,4.4666,14.2338,11889334,11117378,771956,15.4391,3.3254,1.0196,3649758,3515725,134033,2.6807
spec_gcc_002,0.226523,13374090,12817837,556253,11.1251,5.72096,13622822,8609319,5013503,100.2701,104.1594,58.5437,2450244,2091170,359074,7.1815
spec_x264_001,2.98178,6794222,6532883,261339,5.2268,3.69246,6724570,6656347,68223,1.3645,0.7253,0.5564,937183,857964,79219,1.5844
