Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_001,1.48617,10152258,9875609,276649,5.533,9.96214,11945710,11531475,414235,8.2847,5.0306,2.808,2093575,1987237,106338,2.1268
client_002,1.68894,15584916,15104835,480081,9.6016,7.5427,12499588,12258875,240713,4.8143,4.1728,1.0837,4410591,4120867,289724,5.7945
client_003,1.0798,13602932,13181033,421899,8.438,5.32066,11436445,11029101,407344,8.1469,7.2387,5.2764,3754334,3518775,235559,4.7112
server_003,1.28576,12596902,11732547,864355,17.2871,13.5114,11615082,10887096,727986,14.5597,14.3861,3.0493,3609563,3128239,481324,9.6265
server_004,0.993849,14223059,13184612,1038447,20.7689,9.24754,12951327,10960156,1991171,39.8234,15.4108,1.9144,4336048,3772355,563693,11.2739
server_016,1.69065,14330113,12201640,2128473,42.5695,6.28788,11748034,10919652,828382,16.5676,7.6483,0.4948,4225052,3191300,1033752,20.675
server_017,0.412483,17330362,15177380,2152982,43.0596,5.2643,12836588,11098582,1738006,34.7601,32.7866,24.2973,4462384,3158625,1303759,26.0752
spec_gcc_001,1.42058,14103432,13880524,222908,4.4582,14.0656,11884746,11112790,771956,15.4391,3.4474,1.0264,3653155,3519614,133541,2.6708
spec_gcc_002,0.226439,13361659,12805695,555964,11.1193,5.7457,13623942,8610441,5013501,100.27,104.1547,58.5486,2449246,2091174,358072,7.1614
spec_x264_001,2.98161,6794108,6532765,261343,5.2269,3.69448,6724587,6656365,68222,1.3644,0.7254,0.5565,937104,857877,79227,1.5845
