Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_001,1.45761,7222146,6953643,268503,5.3701,10.0945,11972306,11558076,414230,8.2846,5.0303,2.8289,2088964,1846119,242845,4.8569
client_002,1.58647,10694099,10225956,468143,9.3629,8.37764,12577708,12336977,240731,4.8146,4.0881,1.056,4416829,4001272,415557,8.3111
client_003,1.04384,10102107,9695584,406523,8.1305,6.04724,11510450,11103089,407361,8.1472,7.1482,5.2265,3768127,3412257,355870,7.1174
server_003,1.1074,8884535,8030498,854037,17.0807,15.4383,11797145,11069176,727969,14.5594,14.3699,3.0126,3683787,2931375,752412,15.0482
server_004,0.86423,9443277,8417557,1025720,20.5144,11.6004,13163349,11172223,1991126,39.8225,15.3495,1.9241,4411703,3508708,902995,18.0599
server_016,1.18947,9817047,7739909,2077138,41.5428,13.1173,12340236,11511864,828372,16.5674,9.0437,0.4892,4392087,2663798,1728289,34.5658
server_017,0.408199,10879674,8712774,2166900,43.338,6.19398,12900322,11162302,1738020,34.7604,32.7154,24.3124,4436268,2373795,2062473,41.2495
spec_gcc_001,1.38107,9508525,9288248,220277,4.4055,14.6326,11927278,11155302,771976,15.4395,3.3829,0.9959,3663415,3468270,195145,3.9029
spec_gcc_002,0.21918,10769196,10224222,544974,10.8995,7.51994,13764793,8751299,5013494,100.2699,104.1005,59.0865,2475704,1989263,486441,9.7288
spec_x264_001,2.95737,6545839,6285855,259984,5.1997,3.74712,6737081,6668846,68235,1.3647,0.713,0.5538,946629,766892,179737,3.5947
