Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_001,1.4862,10153218,9876475,276743,5.5349,9.95722,11945239,11531003,414236,8.2847,5.032,2.809,2093625,1987112,106513,2.1303
client_002,1.68531,15564873,15085806,479067,9.5813,7.63948,12501930,12261209,240721,4.8144,4.1664,1.0831,4407658,4119334,288324,5.7665
client_003,1.07937,13586339,13168498,417841,8.3568,5.38116,11437171,11029828,407343,8.1469,7.2102,5.2694,3752259,3516650,235609,4.7122
server_003,1.27682,12562159,11696959,865200,17.304,13.8088,11619507,10891520,727987,14.5597,14.4742,3.0605,3606897,3126011,480886,9.6177
server_004,0.98617,14178873,13139189,1039684,20.7937,9.54942,12955918,10962027,1993891,39.8778,15.4632,1.9433,4328058,3766074,561984,11.2397
server_016,1.67736,14261383,12133898,2127485,42.5497,6.54044,11758687,10930292,828395,16.5679,7.7149,0.4902,4214553,3170024,1044529,20.8906
server_017,0.412487,17329395,15176467,2152928,43.0586,5.2639,12836278,11098268,1738010,34.7602,32.7865,24.2972,4462196,3158501,1303695,26.0739
spec_gcc_001,1.41446,14077611,13854247,223364,4.4673,14.272,11887070,11115124,771946,15.4389,3.4711,1.0303,3651228,3517704,133524,2.6705
spec_gcc_002,0.226222,13391434,12835781,555653,11.1131,5.70388,13623274,8609781,5013493,100.2699,104.1472,58.5609,2453127,2093700,359427,7.1885
spec_x264_001,2.98178,6794111,6532772,261339,5.2268,3.69246,6724573,6656350,68223,1.3645,0.7253,0.5564,937185,857949,79236,1.5847
