Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_001,1.4862,10152250,9875573,276677,5.5335,9.96164,11945533,11531298,414235,8.2847,5.031,2.8085,2093544,1987165,106379,2.1276
client_002,1.69099,15590286,15110123,480163,9.6033,7.51552,12498180,12257466,240714,4.8143,4.1639,1.0836,4410404,4121119,289285,5.7857
client_003,1.08058,13603913,13180455,423458,8.4692,5.31938,11437527,11030180,407347,8.1469,7.2119,5.2684,3753202,3517438,235764,4.7153
server_003,1.28825,12598253,11733890,864363,17.2873,13.5005,11614479,10886491,727988,14.5598,14.4412,3.0296,3609493,3129844,479649,9.593
server_004,0.990991,14221338,13182821,1038517,20.7703,9.2389,12952332,10958387,1993945,39.8789,15.4374,1.9451,4335049,3773365,561684,11.2337
server_016,1.69379,14381178,12251801,2129377,42.5875,6.23346,11745907,10917523,828384,16.5677,7.4746,0.4938,4228124,3196662,1031462,20.6292
server_017,0.412485,17332026,15179073,2152953,43.0591,5.26358,12836157,11098147,1738010,34.7602,32.7865,24.2972,4462320,3158570,1303750,26.075
spec_gcc_001,1.42008,14103855,13880971,222884,4.4577,14.0643,11883337,11111375,771962,15.4392,3.489,1.0265,3654048,3520286,133762,2.6752
spec_gcc_002,0.226175,13380436,12824890,555546,11.1109,5.72312,13624068,8610578,5013490,100.2698,104.1417,58.5647,2450592,2091670,358922,7.1784
spec_x264_001,2.98157,6793991,6532647,261344,5.2269,3.69454,6724669,6656446,68223,1.3645,0.7253,0.5564,937065,857818,79247,1.5849
