Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_001,1.45756,7220702,6952201,268501,5.37,10.0911,11972388,11558150,414238,8.2848,5.0301,2.8288,2088470,1845391,243079,4.8616
client_002,1.5864,10686187,10217988,468199,9.364,8.37538,12578000,12337273,240727,4.8145,4.0877,1.0559,4415843,4000077,415766,8.3153
client_003,1.04369,10096230,9688964,407266,8.1453,6.04474,11510936,11103579,407357,8.1471,7.1557,5.2297,3767252,3411570,355682,7.1136
server_003,1.10666,8892466,8036109,856357,17.1271,15.472,11799288,11071312,727976,14.5595,14.3996,3.0215,3686060,2934208,751852,15.037
server_004,0.863029,9450123,8422634,1027489,20.5498,11.655,13165366,11174245,1991121,39.8224,15.3757,1.9312,4414250,3512556,901694,18.0339
server_016,1.17952,9821423,7744256,2077167,41.5433,13.2934,12349353,11520974,828379,16.5676,9.0875,0.489,4398172,2677387,1720785,34.4157
server_017,0.408034,10871052,8704272,2166780,43.3356,6.28092,12904558,11166538,1738020,34.7604,32.7151,24.3124,4443903,2382797,2061106,41.2221
spec_gcc_001,1.38107,9517071,9294459,222612,4.4522,14.621,11926313,11154345,771968,15.4394,3.4187,1.0033,3663151,3467199,195952,3.919
spec_gcc_002,0.219298,10752788,10207548,545240,10.9048,7.4312,13759989,8746497,5013492,100.2698,104.102,59.0867,2474654,1987085,487569,9.7514
spec_x264_001,2.95746,6541532,6281508,260024,5.2005,3.74752,6737436,6669212,68224,1.3645,0.7129,0.5538,946332,766619,179713,3.5943
