Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.70284,15614161,15135315,478846,9.5769,7.39438,12488202,12247490,240712,4.8142,4.1661,1.0831,4411916,4119969,291947,5.8389
client_004,1.40937,11499069,10983625,515444,10.3089,15.6861,12576399,12048357,528042,10.5608,4.8276,1.755,2646217,2359827,286390,5.7278
client_008,1.44517,14104121,13393879,710242,14.2048,11.2891,12351269,11482019,869250,17.385,6.2623,2.8997,3478239,3137643,340596,6.8119
server_003,1.31102,12651464,11786611,864853,17.2971,13.1655,11589503,10861511,727992,14.5598,14.5223,3.0539,3588260,3100911,487349,9.747
server_004,1.01603,14329064,13290147,1038917,20.7783,8.51046,12903688,10909796,1993892,39.8778,15.4305,1.9111,4300737,3726644,574093,11.4819
server_010,1.27625,14542746,13389178,1153568,23.0714,6.4033,12110196,10505323,1604873,32.0975,16.6544,1.2178,4703598,4103089,600509,12.0102
server_011,1.53219,13890237,12692978,1197259,23.9452,8.97424,11068725,10436027,632698,12.654,16.7349,1.8454,4566354,3944607,621747,12.4349
server_012,1.7219,15206526,13888705,1317821,26.3564,6.32058,10886798,10250703,636095,12.7219,18.7105,1.3007,5124200,4437643,686557,13.7311
server_013,1.66304,15114784,13737509,1377275,27.5455,6.35932,10863028,10215932,647096,12.9419,19.8707,1.5065,5147335,4437840,709495,14.1899
server_016,1.72062,14797260,12672318,2124942,42.4988,5.5279,11704182,10875771,828411,16.5682,7.8076,0.4946,4203595,3105316,1098279,21.9656
server_023,1.54167,16585001,14131437,2453564,49.0713,6.59854,12820843,11862143,958700,19.174,9.6247,0.6639,4947968,3689485,1258483,25.1697
server_024,1.51579,16777826,14224242,2553584,51.0717,6.6279,13058529,12068759,989770,19.7954,9.744,0.7504,5078266,3752491,1325775,26.5155
server_025,1.51177,17765686,15271288,2494398,49.888,6.95886,13407791,12507153,900638,18.0128,10.5486,0.3913,5414774,4153107,1261667,25.2333
server_026,1.50105,17684265,14858708,2825557,56.5111,6.83768,13193714,12130083,1063631,21.2726,10.7554,0.3978,5398407,3998896,1399511,27.9902
server_027,1.49187,17774498,14937126,2837372,56.7474,6.92548,13257583,12239410,1018173,20.3635,9.989,0.4628,5424885,4020731,1404154,28.0831
server_033,1.58657,19146478,15772341,3374137,67.4827,7.26186,12304343,11667334,637009,12.7402,3.8262,0.3618,5991592,4067039,1924553,38.4911
server_034,1.67355,18791791,15416570,3375221,67.5044,7.23394,12296612,11690332,606280,12.1256,1.1271,0.0937,5980336,4055847,1924489,38.4898
spec_gcc_001,1.41959,14078410,13855162,223248,4.465,14.2189,11888553,11116594,771959,15.4392,3.2833,1.0245,3650837,3516869,133968,2.6794
spec_gobmk_001,1.21103,10424779,10084932,339847,6.7969,16.9324,10319279,10082653,236626,4.7325,1.7737,0.2905,3047171,2865351,181820,3.6364
spec_gobmk_002,1.32007,12576879,12142783,434096,8.6819,18.3252,10555518,10482379,73139,1.4628,0.4791,0.3691,4331216,4099692,231524,4.6305
