Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.70301,15616093,15137228,478865,9.5773,7.38976,12487870,12247152,240718,4.8144,4.1687,1.0843,4412349,4120462,291887,5.8377
client_004,1.40906,11501037,10985782,515255,10.3051,15.6595,12575594,12047562,528032,10.5606,4.7697,1.7667,2646744,2361041,285703,5.7141
client_008,1.44528,14104384,13394142,710242,14.2048,11.2872,12351289,11482039,869250,17.385,6.262,2.8997,3478221,3137648,340573,6.8115
server_003,1.31153,12652976,11788234,864742,17.2948,13.1466,11589453,10861455,727998,14.56,14.5187,3.052,3588700,3101390,487310,9.7462
server_004,1.01649,14334770,13296053,1038717,20.7743,8.4926,12903235,10909326,1993909,39.8782,15.425,1.914,4302623,3728537,574086,11.4817
server_010,1.27651,14547360,13393894,1153466,23.0693,6.39036,12109984,10505232,1604752,32.095,16.6509,1.2181,4705267,4105054,600213,12.0043
server_011,1.53299,13893251,12696214,1197037,23.9407,8.95636,11067853,10435160,632693,12.6539,16.7391,1.8437,4566965,3945385,621580,12.4316
server_012,1.72247,15211214,13893523,1317691,26.3538,6.30588,10886666,10250566,636100,12.722,18.7058,1.3007,5125881,4439582,686299,13.726
server_013,1.66392,15121335,13744044,1377291,27.5458,6.34686,10864034,10216932,647102,12.942,19.8643,1.5047,5149009,4440390,708619,14.1724
server_016,1.72071,14789383,12664381,2125002,42.5,5.52326,11704436,10876025,828411,16.5682,7.8061,0.4944,4203709,3108705,1095004,21.9001
server_023,1.54182,16576950,14123497,2453453,49.0691,6.59172,12820950,11862250,958700,19.174,9.623,0.6634,4948431,3693770,1254661,25.0932
server_024,1.51587,16765680,14212186,2553494,51.0699,6.62082,13059488,12069722,989766,19.7953,9.7425,0.75,5078810,3758185,1320625,26.4125
server_025,1.51228,17766202,15272365,2493837,49.8767,6.95626,13406554,12505917,900637,18.0127,10.5485,0.3913,5413507,4149855,1263652,25.273
server_026,1.50125,17674903,14849936,2824967,56.4993,6.83616,13193446,12129815,1063631,21.2726,10.7648,0.3984,5397267,3994014,1403253,28.0651
server_027,1.49238,17770197,14933107,2837090,56.7418,6.9238,13256763,12238590,1018173,20.3635,10.0009,0.4627,5423727,4017056,1406671,28.1334
server_033,1.58655,19146484,15772344,3374140,67.4828,7.262,12304342,11667333,637009,12.7402,3.8264,0.3619,5991594,4067054,1924540,38.4908
server_034,1.67355,18791787,15416576,3375211,67.5042,7.234,12296614,11690334,606280,12.1256,1.1271,0.0937,5980340,4055859,1924481,38.4896
spec_gobmk_001,1.21104,10424815,10084966,339849,6.797,16.9315,10319472,10082848,236624,4.7325,1.7774,0.2915,3047157,2865355,181802,3.636
spec_gobmk_002,1.32007,12576979,12142885,434094,8.6819,18.3252,10555490,10482351,73139,1.4628,0.4791,0.3691,4331311,4099780,231531,4.6306
