Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.70311,15615966,15137101,478865,9.5773,7.38844,12487722,12247004,240718,4.8144,4.1687,1.0843,4412336,4120436,291900,5.838
client_004,1.40914,11501230,10985986,515244,10.3049,15.658,12575543,12047511,528032,10.5606,4.7697,1.7667,2646757,2361061,285696,5.7139
client_008,1.44528,14104400,13394158,710242,14.2048,11.287,12351287,11482037,869250,17.385,6.262,2.8997,3478227,3137654,340573,6.8115
server_003,1.31157,12653136,11788386,864750,17.295,13.1454,11589400,10861402,727998,14.56,14.5187,3.052,3588743,3101472,487271,9.7454
server_004,1.0165,14334796,13296081,1038715,20.7743,8.4919,12903191,10909282,1993909,39.8782,15.425,1.9139,4302640,3728533,574107,11.4821
server_010,1.27651,14547432,13393969,1153463,23.0693,6.3903,12109978,10505225,1604753,32.0951,16.6509,1.2181,4705285,4105066,600219,12.0044
server_011,1.53303,13893462,12696430,1197032,23.9406,8.95576,11067869,10435176,632693,12.6539,16.7392,1.8437,4567052,3945472,621580,12.4316
server_012,1.72248,15211232,13893544,1317688,26.3538,6.30574,10886652,10250552,636100,12.722,18.7058,1.3007,5125891,4439587,686304,13.7261
server_013,1.66395,15121561,13744277,1377284,27.5457,6.3464,10864030,10216928,647102,12.942,19.8643,1.5047,5149084,4440447,708637,14.1727
server_016,1.72071,14789383,12664381,2125002,42.5,5.52326,11704436,10876025,828411,16.5682,7.8061,0.4944,4203709,3108705,1095004,21.9001
server_023,1.54182,16576959,14123506,2453453,49.0691,6.59168,12820936,11862236,958700,19.174,9.623,0.6634,4948432,3693775,1254657,25.0931
server_024,1.51587,16765685,14212191,2553494,51.0699,6.6208,13059488,12069722,989766,19.7953,9.7425,0.75,5078809,3758181,1320628,26.4126
server_025,1.51228,17766202,15272365,2493837,49.8767,6.95626,13406554,12505917,900637,18.0127,10.5485,0.3913,5413507,4149855,1263652,25.273
server_026,1.50125,17674903,14849936,2824967,56.4993,6.83616,13193446,12129815,1063631,21.2726,10.7648,0.3984,5397267,3994014,1403253,28.0651
server_027,1.49238,17770154,14933064,2837090,56.7418,6.9238,13256762,12238589,1018173,20.3635,10.0009,0.4627,5423726,4017057,1406669,28.1334
server_033,1.58655,19146484,15772344,3374140,67.4828,7.262,12304342,11667333,637009,12.7402,3.8264,0.3619,5991594,4067054,1924540,38.4908
server_034,1.67355,18791800,15416589,3375211,67.5042,7.234,12296614,11690334,606280,12.1256,1.1271,0.0937,5980342,4055862,1924480,38.4896
spec_gobmk_001,1.21103,10424802,10084954,339848,6.797,16.9316,10319472,10082848,236624,4.7325,1.7774,0.2915,3047155,2865351,181804,3.6361
spec_gobmk_002,1.32008,12577107,12143012,434095,8.6819,18.3251,10555496,10482357,73139,1.4628,0.4791,0.3691,4331311,4099780,231531,4.6306
