Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.70466,15628982,15149175,479807,9.5961,7.34726,12486964,12246252,240712,4.8142,4.1712,1.0843,4414191,4122189,292002,5.84
client_004,1.42252,11531290,11016482,514808,10.2962,15.3659,12573149,12045104,528045,10.5609,4.7936,1.7496,2649059,2363965,285094,5.7019
client_008,1.44597,14109562,13399165,710397,14.2079,11.2715,12351581,11482311,869270,17.3854,6.2617,2.8995,3476619,3135997,340622,6.8124
server_003,1.31842,12672619,11808631,863988,17.2798,12.9327,11584915,10856922,727993,14.5599,14.4935,3.05,3589998,3104551,485447,9.7089
server_004,1.02014,14363344,13325306,1038038,20.7608,8.31702,12901661,10900832,2000829,40.0166,15.4128,1.9117,4308867,3736596,572271,11.4454
server_010,1.28005,14571921,13418642,1153279,23.0656,6.29118,12109563,10501546,1608017,32.1603,16.6403,1.2125,4710838,4111636,599202,11.984
server_011,1.54245,13919454,12723609,1195845,23.9169,8.77944,11065746,10433054,632692,12.6538,16.6893,1.8377,4569226,3949686,619540,12.3908
server_012,1.72575,15248556,13931069,1317487,26.3497,6.19616,10887284,10251165,636119,12.7224,18.633,1.3152,5132407,4446305,686102,13.722
server_013,1.67019,15139224,13763391,1375833,27.5167,6.22976,10860182,10213066,647116,12.9423,19.8372,1.5069,5151667,4444254,707413,14.1483
server_016,1.72389,14836500,12705439,2131061,42.6212,5.42376,11702915,10874514,828401,16.568,7.7337,0.4959,4210981,3121562,1089419,21.7884
server_023,1.54576,16625503,14167050,2458453,49.1691,6.46984,12818844,11860149,958695,19.1739,9.6091,0.664,4958840,3707560,1251280,25.0256
server_024,1.51806,16790947,14231741,2559206,51.1841,6.50444,13057494,12067779,989715,19.7943,10.065,0.7479,5088797,3769017,1319780,26.3956
server_025,1.51515,17733315,15234556,2498759,49.9752,6.88282,13403752,12503119,900633,18.0127,10.5925,0.3922,5419944,4161935,1258009,25.1602
server_026,1.50302,17648229,14823204,2825025,56.5005,6.7444,13188563,12124905,1063658,21.2732,11.2057,0.405,5404574,4010456,1394118,27.8824
server_027,1.49696,17710573,14863972,2846601,56.932,6.81958,13251376,12233239,1018137,20.3627,9.9279,0.4674,5432066,4038849,1393217,27.8643
server_033,1.58634,19132962,15758809,3374153,67.4831,7.24098,12304021,11667000,637021,12.7404,3.8264,0.362,5990025,4067614,1922411,38.4482
server_034,1.67386,18802431,15424159,3378272,67.5654,7.20606,12296539,11690258,606281,12.1256,1.1275,0.0937,5979044,4052554,1926490,38.5298
spec_gobmk_001,1.21119,10426461,10086648,339813,6.7963,16.9229,10319349,10082725,236624,4.7325,1.7771,0.2913,3047380,2865624,181756,3.6351
spec_gobmk_002,1.3204,12581193,12147180,434013,8.6803,18.3155,10555407,10482268,73139,1.4628,0.4788,0.3689,4331449,4100087,231362,4.6272
