Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.61274,10942999,10475747,467252,9.345,7.96674,12554178,12313444,240734,4.8147,4.0885,1.056,4411188,3991290,419898,8.398
client_004,1.34794,8668906,8168707,500199,10.004,15.8345,12636648,12108610,528038,10.5608,4.7237,1.7118,2652097,2211661,440436,8.8087
client_008,1.37128,9851002,9178612,672390,13.4478,11.8077,12476615,11607270,869345,17.3869,6.2746,2.8895,3488510,2890864,597646,11.9529
server_003,1.14791,8893326,8039678,853648,17.073,14.5025,11745105,11017145,727960,14.5592,14.3644,3.0275,3646500,2880111,766389,15.3278
server_004,0.898935,9464781,8439248,1025533,20.5107,10.3351,13093942,11102822,1991120,39.8224,15.351,1.9234,4370228,3446909,923319,18.4664
server_010,1.07184,9626014,8487145,1138869,22.7774,8.99838,12356344,10751750,1604594,32.0919,16.4648,1.1894,4816952,3792728,1024224,20.4845
server_011,1.24415,9598848,8416339,1182509,23.6502,11.4382,11313345,10680683,632662,12.6532,16.2113,1.82,4679720,3619489,1060231,21.2046
server_012,1.32898,10049451,8747594,1301857,26.0371,9.23768,11166563,10530531,636032,12.7206,18.4675,1.3205,5249951,4077372,1172579,23.4516
server_013,1.27465,10002967,8643443,1359524,27.1905,9.51666,11155426,10508403,647023,12.9405,19.7187,1.4976,5288935,4061739,1227196,24.5439
server_016,1.35735,9801221,7725011,2076210,41.5242,9.64004,12092805,11264455,828350,16.567,9.038,0.4892,4294294,2490450,1803844,36.0769
server_023,1.20125,10678107,8279724,2398383,47.9677,11.3118,13281942,12323199,958743,19.1749,11.0306,0.6479,5050633,2962195,2088438,41.7688
server_024,1.18477,10821338,8326068,2495270,49.9054,11.6136,13544217,12554572,989645,19.7929,9.9347,0.7488,5189321,3018321,2171000,43.42
server_025,1.18352,11251563,8823185,2428378,48.5676,12.0184,13882234,12981697,900537,18.0107,8.5105,0.3866,5529916,3421222,2108694,42.1739
server_026,1.12311,11128110,8387814,2740296,54.8059,12.5676,13733974,12670534,1063440,21.2688,12.3824,0.388,5519903,3144694,2375209,47.5042
server_027,1.1281,11184956,8430202,2754754,55.0951,12.6947,13796134,12778048,1018086,20.3617,10.3641,0.4617,5554409,3168211,2386198,47.724
server_033,1.29457,11940804,8637629,3303175,66.0635,11.5314,12789945,12153768,636177,12.7235,4.3438,0.3544,6048325,3086464,2961861,59.2372
server_034,1.31161,11909412,8609032,3300380,66.0076,11.5971,12867372,12261867,605505,12.1101,2.1146,0.0952,6072798,3100699,2972099,59.442
spec_gobmk_001,1.18303,8887543,8559031,328512,6.5702,17.4638,10354498,10117871,236627,4.7325,1.7503,0.2895,3047384,2777121,270263,5.4053
spec_gobmk_002,1.27447,10930660,10503447,427213,8.5443,18.9966,10603882,10530744,73138,1.4628,0.4804,0.3718,4333691,3990128,343563,6.8713
