Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_001,1.5513,25490980,25221844,269136,5.3827,0,11758887,11344734,414153,8.2831,5.0385,2.8255,5160992,5021962,139030,2.7806
client_002,1.85776,28786294,28295090,491204,9.8241,0,12317444,12076649,240795,4.8159,4.1464,1.0614,6493088,6173326,319762,6.3952
client_003,1.14977,23564446,23130703,433743,8.6749,0,11292530,10885186,407344,8.1469,7.1923,5.2298,4753954,4478211,275743,5.5149
client_004,1.79069,27984383,27442445,541938,10.8388,0,12099074,11571101,527973,10.5595,4.8303,1.74,5836388,5511349,325039,6.5008
client_005,1.44344,31267946,30627895,640051,12.801,0,12843119,12455809,387310,7.7462,6.5364,4.8177,6664814,6249583,415231,8.3046
client_006,1.49025,22727169,22045589,681580,13.6316,0,9436239,8933577,502662,10.0532,8.9491,5.2171,4894622,4515330,379292,7.5858
client_007,1.56381,26070097,25246545,823552,16.471,0,12384525,11819052,565473,11.3095,3.504,2.4011,4633313,4197638,435675,8.7135
client_008,1.63532,28464768,27719395,745373,14.9075,0,12046542,11176903,869639,17.3928,6.1837,2.9018,6363478,5840581,522897,10.4579
server_001,1.52228,23333984,22823064,510920,10.2184,0,10745112,10335089,410023,8.2005,8.2222,4.4498,4996112,4751328,244784,4.8957
server_002,1.38116,37027223,36351285,675938,13.5188,0,14901882,14901498,384,0.0077,0.0027,0.0015,6689776,6322568,367208,7.3442
server_003,1.56526,27436704,26513646,923058,18.4612,0,11200869,10472908,727961,14.5592,14.515,3.0886,6115202,5584896,530306,10.6061
server_004,1.13679,33857220,32740284,1116936,22.3387,0,12628038,10623842,2004196,40.0839,15.3406,1.9,5888898,5298441,590457,11.8091
server_009,1.13525,34045514,32937791,1107723,22.1545,0,12730888,10485807,2245081,44.9016,15.0713,1.2193,5752880,5173193,579687,11.5937
server_010,1.38282,29383249,28151247,1232002,24.64,0,11869464,10253623,1615841,32.3168,16.456,1.2366,5719361,5071082,648279,12.9656
server_011,1.8603,24512436,23227200,1285236,25.7047,0,10736674,10103970,632704,12.6541,16.4276,1.8163,5700215,5029968,670247,13.4049
server_012,1.94783,24112598,22707242,1405356,28.1071,0,10627157,9991036,636121,12.7224,18.6551,1.3109,5715028,4975461,739567,14.7913
server_013,1.89806,24021420,22542999,1478421,29.5684,0,10622148,9975028,647120,12.9424,19.6584,1.4621,5666941,4907420,759521,15.1904
server_014,1.42486,33958946,32568474,1390472,27.8094,0,14996957,14935491,61466,1.2293,1.3144,0.9844,6705770,5837596,868174,17.3635
server_015,1.47783,33308041,31837140,1470901,29.418,0,15201362,15200960,402,0.008,0.0024,0.0013,6731956,5834124,897832,17.9566
server_016,1.87389,25059479,22669544,2389935,47.7987,0,11476148,10647784,828364,16.5673,8.3851,0.4897,4970301,3584440,1385861,27.7172
server_017,0.415104,29076399,26917057,2159342,43.1868,0,12804212,11066442,1737770,34.7554,32.7679,24.3531,5383420,4062966,1320454,26.4091
server_018,0.425471,28362938,25867411,2495527,49.9105,0,13182417,11378370,1804047,36.0809,33.8849,24.4163,5475248,3921644,1553604,31.0721
server_019,0.40645,29092301,26891633,2200668,44.0134,0,12738923,10950366,1788557,35.7711,33.6112,25.6781,5350060,4001586,1348474,26.9695
server_020,0.427709,28349314,25835416,2513898,50.278,0,13166544,11373959,1792585,35.8517,33.7866,24.403,5479000,3919252,1559748,31.195
