Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_001,1.54389,19670655,19401435,269220,5.3844,1.73518,11779077,11364903,414174,8.2835,5.025,2.7904,4025957,3894884,131073,2.6215
client_002,1.85089,27533439,27039941,493498,9.87,0.30056,12317819,12077004,240815,4.8163,4.2045,1.0838,6270127,5950893,319234,6.3847
client_003,1.12983,19577038,19154414,422624,8.4525,1.09994,11324042,10916699,407343,8.1469,7.2172,5.2461,4296428,4033736,262692,5.2538
client_004,1.65177,18473143,17957559,515584,10.3117,3.96428,12206632,11678617,528015,10.5603,4.8342,1.7609,4086149,3770130,316019,6.3204
client_005,1.41201,24346030,23723876,622154,12.4431,1.70796,12888908,12501614,387294,7.7459,6.5405,4.8201,5980452,5590418,390034,7.8007
client_006,1.47436,17627085,16946100,680985,13.6197,1.64534,9498804,8996144,502660,10.0532,8.9861,5.2052,3923632,3603123,320509,6.4102
client_007,1.55417,23542486,22720140,822346,16.4469,0.72544,12395298,11829809,565489,11.3098,3.4704,2.4242,4155593,3723565,432028,8.6406
client_008,1.60687,23848124,23108312,739812,14.7962,1.33272,12079526,11209872,869654,17.3931,6.2728,2.8946,5321115,4815612,505503,10.1101
server_001,1.52099,22822842,22316298,506544,10.1309,0.16734,10748521,10338490,410031,8.2006,8.2113,4.4081,4967750,4723169,244581,4.8916
server_002,1.38112,36701378,36024253,677125,13.5425,0.04542,14901915,14901531,384,0.0077,0.0028,0.0016,6684520,6322447,362073,7.2415
server_003,1.4805,20184765,19286555,898210,17.9642,2.82256,11273243,10545287,727956,14.5591,14.5283,3.1223,4800404,4274838,525566,10.5113
server_004,1.10499,31178222,30078389,1099833,21.9967,1.1925,12666058,10661866,2004192,40.0838,15.433,1.9361,5513392,4923988,589404,11.7881
server_009,1.13334,33185643,32088419,1097224,21.9445,0.23826,12735713,10490652,2245061,44.9012,15.0655,1.2077,5717013,5141012,576001,11.52
server_010,1.37816,28620434,27400139,1220295,24.4059,0.20578,11874589,10258868,1615721,32.3144,16.6708,1.2535,5696335,5049321,647014,12.9403
server_011,1.77356,21295505,20032940,1262565,25.2513,1.45612,10781780,10149049,632731,12.6546,16.2585,1.8341,5250172,4586565,663607,13.2721
server_012,1.94871,23238081,21843362,1394719,27.8944,0.23822,10630158,9994037,636121,12.7224,18.3767,1.2887,5689352,4952608,736744,14.7349
server_013,1.88812,23083656,21622077,1461579,29.2316,0.25698,10625548,9978421,647127,12.9425,19.6337,1.4734,5636922,4881298,755624,15.1125
server_014,1.4207,33716659,32325968,1390691,27.8138,0.09668,14999555,14938085,61470,1.2294,1.3072,0.9841,6686009,5824433,861576,17.2315
server_015,1.4778,33291289,31818137,1473152,29.463,0.0136,15201402,15201000,402,0.008,0.0025,0.0013,6731615,5838413,893202,17.864
server_016,1.86618,24504494,22131897,2372597,47.4519,0.1751,11467141,10638759,828382,16.5676,7.7077,0.4969,4931931,3561073,1370858,27.4172
server_017,0.414819,25122548,22971393,2151155,43.0231,0.99922,12805686,11067887,1737799,34.756,32.8602,24.3884,4874790,3551009,1323781,26.4756
server_018,0.425225,27074478,24686161,2388317,47.7663,0.30854,13187008,11382939,1804069,36.0814,33.8841,24.4815,5357412,3884197,1473215,29.4643
server_019,0.408042,24857465,22636979,2220486,44.4097,1.08678,12751071,10962500,1788571,35.7714,33.7746,25.5172,4800064,3446971,1353093,27.0619
server_020,0.428563,27147657,24630905,2516752,50.335,0.29644,13178376,11385781,1792595,35.8519,33.6721,24.1963,5357648,3800602,1557046,31.1409
server_021,0.432133,27219723,24685710,2534013,50.6803,0.13774,13276355,11462275,1814080,36.2816,34.1372,24.2649,5466726,3888521,1578205,31.5641
server_022,0.432363,27127175,24686159,2441016,48.8203,0.11182,13282000,11463945,1818055,36.3611,34.2292,24.3423,5472112,3966712,1505400,30.108
server_023,1.69409,27595568,24858648,2736920,54.7384,0.2277,12568243,11609504,958739,19.1748,8.8784,0.657,5650256,4073722,1576534,31.5307
server_024,1.64824,28311320,25466473,2844847,56.8969,0.19512,12789316,11799322,989994,19.7999,10.1712,0.7485,5769354,4120458,1648896,32.9779
server_025,1.642,30622909,27848938,2773971,55.4794,0.14906,13171833,12270742,901091,18.0218,8.6973,0.3906,6395357,4786481,1608876,32.1775
server_026,1.63158,29912977,26784012,3128965,62.5793,0.12854,12916004,11851988,1064016,21.2803,11.3706,0.3857,6075502,4279409,1796093,35.9219
server_027,1.63956,30036274,26876147,3160127,63.2025,0.15724,12979776,11961273,1018503,20.3701,9.3888,0.4667,6112680,4299913,1812767,36.2553
server_028,1.54542,30116965,26852653,3264312,65.2862,0.296,12619991,11179844,1440147,28.8029,9.0703,0.5851,6100668,4181098,1919570,38.3914
server_029,1.52698,30242529,26954959,3287570,65.7514,0.29034,12622853,11160755,1462098,29.242,10.141,0.6823,6090832,4150296,1940536,38.8107
server_030,1.61521,30310323,26990383,3319940,66.3988,0.13178,12715384,11254553,1460831,29.2166,12.6365,0.1699,6172424,4201023,1971401,39.428
server_031,1.5048,31041408,27648752,3392656,67.8531,0.32088,12892158,11653832,1238326,24.7665,7.0125,0.7264,6294749,4328319,1966430,39.3286
server_032,1.62852,32186046,28633169,3552877,71.0575,0.10428,13157676,12021649,1136027,22.7205,4.9673,0.0643,6590380,4505033,2085347,41.7069
server_033,1.77221,31471809,27942394,3529415,70.5883,0.07448,12137570,11501747,635823,12.7165,3.9144,0.3679,6863780,4520695,2343085,46.8617
server_034,1.88791,31179972,27652455,3527517,70.5503,0.03752,12130589,11524874,605715,12.1143,1.0692,0.0988,6875472,4525692,2349780,46.9956
server_035,1.36554,31628685,28108098,3520587,70.4117,0.05372,12078629,11436481,642148,12.843,4.386,3.4922,6837625,4397655,2439970,48.7994
server_036,1.76342,31498085,27493965,4004120,80.0824,0.0233,13757311,13753391,3920,0.0784,0.0361,0.0298,6300707,3788750,2511957,50.2391
server_037,1.79102,31828120,27663911,4164209,83.2842,0.11262,12412416,11975721,436695,8.7339,3.1561,0.4482,6784431,3921482,2862949,57.259
server_038,1.78966,32006615,27861700,4144915,82.8983,0.0976,12417612,11979476,438136,8.7627,3.2697,0.4357,6788913,3880030,2908883,58.1777
server_039,1.70455,31312818,26924613,4388205,87.7641,0.03492,13602493,13551440,51053,1.0211,0.0002,0.0002,6580274,3954797,2625477,52.5095
spec_gcc_001,1.53721,22158427,21933533,224894,4.4979,3.93566,11692651,10920712,771939,15.4388,3.4309,1.0135,5005083,4863121,141962,2.8392
spec_gcc_002,0.220152,19936389,19354831,581558,11.6312,0.21442,13379202,8365733,5013469,100.2694,104.09,61.141,3626910,3250514,376396,7.5279
spec_gcc_003,0.257669,19206370,18478406,727964,14.5593,0.19492,12239051,6688266,5550785,111.0157,117.6889,73.819,3499586,3013731,485855,9.7171
spec_gobmk_001,1.45758,14701572,14310100,391472,7.8294,4.9635,9824665,9588030,236635,4.7327,1.7822,0.2863,3559169,3372077,187092,3.7418
spec_gobmk_002,1.75462,16754209,16253546,500663,10.0133,5.39104,9894358,9821221,73137,1.4627,0.4845,0.3718,4797067,4560069,236998,4.74
