Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.67781,15541618,15063839,477779,9.5556,7.85328,12511148,12270429,240719,4.8144,4.1791,1.0868,4408340,4121176,287164,5.7433
client_004,1.38867,11450020,10934190,515830,10.3166,16.1074,12597576,12069537,528039,10.5608,4.8698,1.7611,2649441,2365970,283471,5.6694
client_008,1.44227,14098356,13388414,709942,14.1988,11.3963,12356168,11486791,869377,17.3875,6.2639,2.8998,3477012,3135611,341401,6.828
server_003,1.27696,12531080,11665403,865677,17.3135,14.1825,11640843,10912874,727969,14.5594,14.4313,2.9882,3608826,3135110,473716,9.4743
server_004,0.982218,14117642,13077761,1039881,20.7976,9.9673,12974112,10982888,1991224,39.8245,15.4722,1.928,4322375,3768756,553619,11.0724
server_010,1.22768,14302128,13148092,1154036,23.0807,7.79264,12179632,10571484,1608148,32.163,16.65,1.2193,4734904,4154306,580598,11.612
server_011,1.46268,13675955,12478574,1197381,23.9476,10.3359,11132413,10499698,632715,12.6543,16.6926,1.8693,4597694,3994122,603572,12.0714
server_012,1.62353,14943735,13624548,1319187,26.3837,7.86296,10963721,10327567,636154,12.7231,18.7893,1.3214,5156928,4491894,665034,13.3007
server_013,1.56876,14858996,13480821,1378175,27.5635,7.97948,10940248,10293135,647113,12.9423,20.0338,1.5197,5187805,4502611,685194,13.7039
server_016,1.67325,14115169,11988972,2126197,42.5239,6.74266,11762596,10934157,828439,16.5688,7.7853,0.4956,4217122,3191729,1025393,20.5079
server_023,1.49729,15693699,13238615,2455084,49.1017,8.01702,12893577,11934846,958731,19.1746,9.2831,0.6639,4964613,3784087,1180526,23.6105
server_024,1.47144,15971006,13417588,2553418,51.0684,8.1621,13137407,12147688,989719,19.7944,9.8095,0.7491,5092430,3856955,1235475,24.7095
server_025,1.46173,16758448,14272592,2485856,49.7171,8.57566,13482278,12581543,900735,18.0147,10.8144,0.391,5432437,4229105,1203332,24.0666
server_026,1.44425,16593718,13788888,2804830,56.0966,8.65236,13270921,12207229,1063692,21.2738,10.8551,0.411,5412746,4097347,1315399,26.308
server_027,1.43159,16666075,13847876,2818199,56.364,8.84072,13348547,12330338,1018209,20.3642,10.3353,0.4615,5450884,4130312,1320572,26.4114
server_033,1.58551,19106232,15737487,3368745,67.3749,7.38716,12308621,11671610,637011,12.7402,3.8267,0.3631,5994182,4082893,1911289,38.2258
server_034,1.66848,18654996,15284076,3370920,67.4184,7.43204,12308979,11702683,606296,12.1259,1.1138,0.0941,5987210,4076994,1910216,38.2043
spec_gcc_001,1.39954,13961218,13737158,224060,4.4812,14.8882,11932212,11160252,771960,15.4392,3.2932,1.0276,3630127,3497314,132813,2.6563
spec_gobmk_001,1.19779,10404123,10063665,340458,6.8092,17.5127,10337827,10101203,236624,4.7325,1.7777,0.2916,3053777,2870541,183236,3.6647
spec_gobmk_002,1.2924,12532389,12096047,436342,8.7268,19.3026,10587948,10514808,73140,1.4628,0.4836,0.369,4335840,4101997,233843,4.6769
