Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.67883,15546170,15068522,477648,9.553,7.83878,12511638,12270916,240722,4.8144,4.1781,1.0844,4409165,4122073,287092,5.7418
client_004,1.39022,11455069,10939324,515745,10.3149,16.0705,12596327,12068296,528031,10.5606,4.8791,1.7699,2650558,2367388,283170,5.6634
client_008,1.44246,14098665,13388723,709942,14.1988,11.3946,12356203,11486826,869377,17.3875,6.2635,2.8997,3477052,3135648,341404,6.8281
server_003,1.27856,12532782,11667401,865381,17.3076,14.1436,11639683,10911711,727972,14.5594,14.4251,2.9861,3608017,3134401,473616,9.4723
server_004,0.983683,14124224,13084548,1039676,20.7935,9.92024,12972592,10978661,1993931,39.8786,15.4775,1.9246,4323962,3769649,554313,11.0863
server_010,1.22937,14310561,13156613,1153948,23.079,7.7552,12178670,10573871,1604799,32.096,16.6419,1.2194,4736481,4155599,580882,11.6176
server_011,1.46434,13678108,12481416,1196692,23.9338,10.2951,11131307,10498583,632724,12.6545,16.657,1.8739,4596515,3993222,603293,12.0659
server_012,1.62882,14953623,13634517,1319106,26.3821,7.81704,10963030,10326888,636142,12.7228,18.7643,1.3085,5159017,4494016,665001,13.3
server_013,1.57289,14856699,13479143,1377556,27.5511,7.93736,10939123,10292016,647107,12.9421,20.0117,1.5109,5184776,4499998,684778,13.6956
server_016,1.67414,14144942,12016160,2128782,42.5756,6.70742,11762064,10933625,828439,16.5688,7.8306,0.4955,4217204,3191759,1025445,20.5089
server_023,1.49828,15711908,13254452,2457456,49.1491,7.97474,12891903,11933172,958731,19.1746,9.2881,0.6636,4965461,3785852,1179609,23.5922
server_024,1.4735,15997516,13441857,2555659,51.1132,8.12106,13136202,12146477,989725,19.7945,9.7956,0.7485,5092881,3857458,1235423,24.7085
server_025,1.46261,16768904,14282329,2486575,49.7315,8.52626,13480753,12580030,900723,18.0145,10.7614,0.3906,5433478,4228387,1205091,24.1018
server_026,1.44544,16600133,13792229,2807904,56.1581,8.60942,13268616,12204928,1063688,21.2738,10.8548,0.4109,5412367,4091409,1320958,26.4192
server_027,1.43316,16682083,13863001,2819082,56.3816,8.7917,13346509,12328302,1018207,20.3641,10.3459,0.4614,5451493,4127780,1323713,26.4743
server_033,1.58547,19106243,15737457,3368786,67.3757,7.38702,12308555,11671544,637011,12.7402,3.8267,0.3631,5994026,4082400,1911626,38.2325
server_034,1.66847,18655054,15284133,3370921,67.4184,7.43204,12308976,11702680,606296,12.1259,1.1138,0.0941,5987216,4077017,1910199,38.204
spec_gobmk_001,1.19802,10404998,10064563,340435,6.8087,17.5046,10337693,10101069,236624,4.7325,1.778,0.2914,3053875,2870835,183040,3.6608
spec_gobmk_002,1.29296,12533807,12097446,436361,8.7272,19.2869,10587510,10514370,73140,1.4628,0.4835,0.3689,4336017,4102496,233521,4.6704
