Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.68483,15564599,15085925,478674,9.5735,7.70722,12507634,12266921,240713,4.8143,4.1635,1.0845,4409383,4121423,287960,5.7592
client_004,1.40303,11483684,10968488,515196,10.3039,15.7591,12595384,12067355,528029,10.5606,4.7868,1.7472,2652366,2371592,280774,5.6155
client_008,1.44511,14102320,13392336,709984,14.1997,11.388,12356756,11487348,869408,17.3882,6.3589,2.8734,3473789,3132466,341323,6.8265
server_003,1.27922,12561526,11697022,864504,17.2901,13.8984,11636813,10908851,727962,14.5592,14.4498,3.0364,3611522,3140314,471208,9.4242
server_004,0.987015,14151293,13111893,1039400,20.788,9.64826,12973432,10982233,1991199,39.824,15.4624,1.9309,4327035,3774097,552938,11.0588
server_010,1.23522,14343865,13190605,1153260,23.0652,7.54956,12177636,10569612,1608024,32.1605,16.6276,1.2134,4742898,4164021,578877,11.5775
server_011,1.46928,13708060,12512201,1195859,23.9172,10.06,11133695,10500975,632720,12.6544,16.6722,1.9026,4600127,4000235,599892,11.9978
server_012,1.63766,14992185,13673907,1318278,26.3656,7.5926,10962044,10325895,636149,12.723,18.6664,1.322,5164731,4501674,663057,13.2611
server_013,1.58026,14887856,13511139,1376717,27.5343,7.72628,10940226,10293138,647088,12.9418,19.8574,1.5195,5188095,4506837,681258,13.6252
server_016,1.68748,14218886,12086155,2132731,42.6546,6.42694,11748419,10919979,828440,16.5688,7.804,0.4952,4228462,3209075,1019387,20.3877
server_023,1.50982,15861055,13401690,2459365,49.1873,7.63952,12876987,11918255,958732,19.1746,9.6292,0.6674,4978809,3799528,1179281,23.5856
server_024,1.48269,16133799,13573755,2560044,51.2009,7.74,13119505,12129777,989728,19.7946,10.3746,0.7425,5106782,3861931,1244851,24.897
server_025,1.47455,16802037,14318174,2483863,49.6773,8.24764,13476992,12576321,900671,18.0134,10.687,0.3926,5454369,4258789,1195580,23.9116
server_026,1.4585,16704948,13892666,2812282,56.2456,8.25042,13261099,12197495,1063604,21.2721,10.8021,0.4103,5436447,4117797,1318650,26.373
server_027,1.44905,16814980,13989438,2825542,56.5108,8.38956,13335479,12317287,1018192,20.3638,10.2676,0.4678,5470927,4161103,1309824,26.1965
server_033,1.58644,19108367,15738097,3370270,67.4054,7.33004,12305782,11668782,637000,12.74,3.8278,0.3627,5992842,4076375,1916467,38.3293
server_034,1.66898,18669691,15294811,3374880,67.4976,7.37628,12305907,11699610,606297,12.1259,1.251,0.0925,5984835,4071985,1912850,38.257
spec_gobmk_001,1.19811,10412066,10071941,340125,6.8025,17.4799,10336903,10100278,236625,4.7325,1.778,0.2912,3055523,2873382,182141,3.6428
spec_gobmk_002,1.29341,12549506,12114245,435261,8.7052,19.2714,10586634,10513494,73140,1.4628,0.4837,0.369,4340703,4108314,232389,4.6478
