Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.55869,10529008,10060849,468159,9.3632,9.4978,12621660,12380944,240716,4.8143,4.0877,1.0564,4398938,3983636,415302,8.306
client_004,1.30293,8374296,7873833,500463,10.0093,17.2537,12716193,12188138,528055,10.5611,4.7223,1.711,2646890,2208406,438484,8.7697
client_008,1.31587,9517561,8844835,672726,13.4545,13.3012,12581078,11711716,869362,17.3872,6.2741,2.8893,3471869,2883239,588630,11.7726
server_003,1.08785,8790696,7936501,854195,17.0839,16.4144,11846386,11118426,727960,14.5592,14.3642,3.0184,3672898,2920868,752030,15.0406
server_004,0.853494,9311529,8285642,1025887,20.5177,12.5555,13193695,11199823,1993872,39.8774,15.3498,1.9267,4411551,3509331,902220,18.0444
server_010,1.00596,9575717,8436779,1138938,22.7788,11.0496,12462896,10858359,1604537,32.0907,16.4668,1.1861,4874822,3872755,1002067,20.0413
server_011,1.15454,9545788,8362712,1183076,23.6615,13.5715,11426464,10793809,632655,12.6531,16.1964,1.8121,4743366,3704310,1039056,20.7811
server_012,1.21508,10015721,8713553,1302168,26.0434,11.5951,11289925,10653967,635958,12.7192,18.4614,1.3166,5317111,4170346,1146765,22.9353
server_013,1.13899,10090715,8730750,1359965,27.1993,12.4496,11340943,10693924,647019,12.9404,19.7249,1.4969,5376856,4179606,1197250,23.945
server_016,1.19421,9735311,7658546,2076765,41.5353,13.2844,12353043,11524743,828300,16.566,9.0878,0.489,4379392,2642784,1736608,34.7322
server_023,1.05643,10566431,8167094,2399337,47.9867,15.546,13576198,12617444,958754,19.1751,10.9069,0.6475,5142844,3133339,2009505,40.1901
server_024,1.03725,10706587,8210400,2496187,49.9237,16.0105,13853506,12863923,989583,19.7917,10.0912,0.7489,5286382,3197283,2089099,41.782
server_025,1.03794,11169062,8739513,2429549,48.591,16.3671,14168292,13267764,900528,18.0106,8.3858,0.3866,5644881,3620993,2023888,40.4778
server_026,0.97188,11052933,8310854,2742079,54.8416,17.5607,14069824,13006400,1063424,21.2685,12.5407,0.3883,5649325,3366724,2282601,45.652
server_027,0.980053,11092901,8336442,2756459,55.1292,17.5882,14139456,13121394,1018062,20.3612,10.3673,0.4616,5681492,3385417,2296075,45.9215
server_033,1.09391,11886286,8584693,3301593,66.0319,16.4725,13086951,12450694,636257,12.7251,4.3459,0.354,6177995,3306293,2871702,57.434
server_034,1.10993,11922904,8623620,3299284,65.9857,16.2458,13161782,12556372,605410,12.1082,2.1143,0.0952,6191376,3320945,2870431,57.4086
spec_gobmk_001,1.09969,8265189,7935296,329893,6.5979,21.726,10482319,10245683,236636,4.7327,1.7501,0.2896,3083235,2808534,274701,5.494
spec_gobmk_002,1.10325,9939832,9511561,428271,8.5654,26.6767,10819148,10746008,73140,1.4628,0.4802,0.3718,4368133,4013467,354666,7.0933
