Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.68755,15574089,15094855,479234,9.5847,7.69538,12501570,12260860,240710,4.8142,4.1782,1.0849,4408721,4119523,289198,5.784
client_004,1.39044,11455862,10939921,515941,10.3188,16.064,12596584,12068548,528036,10.5607,4.834,1.7593,2648954,2364610,284344,5.6869
client_008,1.445,14101205,13391187,710018,14.2004,11.3862,12355617,11486225,869392,17.3878,6.3583,2.8729,3478074,3136441,341633,6.8327
server_003,1.28948,12555932,11690559,865373,17.3075,13.9187,11625785,10897802,727983,14.5597,14.4419,2.9856,3600425,3124777,475648,9.513
server_004,0.992817,14180080,13140924,1039156,20.7831,9.5085,12950394,10959212,1991182,39.8236,15.4423,1.9455,4312243,3754286,557957,11.1591
server_010,1.24682,14360012,13207862,1152150,23.043,7.29762,12152793,10544685,1608108,32.1622,16.6105,1.2179,4724452,4141509,582943,11.6589
server_011,1.47375,13716834,12519580,1197254,23.9451,9.99844,11116628,10483910,632718,12.6544,16.6736,1.9168,4586444,3983414,603030,12.0606
server_012,1.6627,15010312,13692997,1317315,26.3463,7.33158,10935864,10299710,636154,12.7231,18.7591,1.3039,5145321,4478339,666982,13.3396
server_013,1.60061,14911348,13533966,1377382,27.5476,7.4757,10916408,10269329,647079,12.9416,19.8915,1.516,5169339,4484680,684659,13.6932
server_016,1.69309,14369506,12243073,2126433,42.5287,6.22424,11737155,10908696,828459,16.5692,7.791,0.4958,4208833,3160257,1048576,20.9715
server_023,1.51722,16016634,13563582,2453052,49.061,7.39142,12863781,11905085,958696,19.1739,9.6446,0.6593,4950163,3739224,1210939,24.2188
server_024,1.48977,16183120,13627103,2556017,51.1203,7.52606,13110527,12120789,989738,19.7948,10.0997,0.7457,5082104,3819789,1262315,25.2463
server_025,1.48774,17130492,14643203,2487289,49.7458,7.77508,13449933,12549243,900690,18.0138,10.4818,0.3917,5417347,4189790,1227557,24.5511
server_026,1.47086,16902422,14095077,2807345,56.1469,7.74966,13234294,12170632,1063662,21.2732,11.2904,0.3952,5399140,4037745,1361395,27.2279
server_027,1.45971,17106366,14283819,2822547,56.4509,7.86276,13304528,12286338,1018190,20.3638,10.7559,0.4615,5433418,4065699,1367719,27.3544
server_033,1.58847,19119601,15750913,3368688,67.3738,7.29942,12306238,11669252,636986,12.7397,3.8265,0.362,5994664,4083946,1910718,38.2144
server_034,1.67383,18773875,15401739,3372136,67.4427,7.2639,12301166,11694872,606294,12.1259,1.1873,0.0936,5982980,4058177,1924803,38.4961
spec_gobmk_001,1.19834,10405365,10064830,340535,6.8107,17.4871,10336911,10100284,236627,4.7325,1.7784,0.2905,3053364,2870355,183009,3.6602
spec_gobmk_002,1.29247,12533129,12096800,436329,8.7266,19.2947,10587547,10514407,73140,1.4628,0.4835,0.3692,4335704,4101836,233868,4.6774
