Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.68751,15577163,15098116,479047,9.5809,7.60114,12500160,12259446,240714,4.8143,4.1686,1.0835,4409488,4120487,289001,5.78
client_004,1.39044,11465113,10949755,515358,10.3072,15.9551,12586409,12058380,528029,10.5606,4.7999,1.7736,2648155,2362638,285517,5.7103
client_008,1.44476,14109345,13399524,709821,14.1964,11.2991,12349859,11480528,869331,17.3866,6.377,2.8775,3478156,3136751,341405,6.8281
server_003,1.27953,12565345,11700029,865316,17.3063,13.7324,11614726,10886746,727980,14.5596,14.4763,3.0527,3604977,3120887,484090,9.6818
server_004,0.991174,14211603,13171753,1039850,20.797,9.31374,12940703,10946795,1993908,39.8782,15.4358,1.9619,4325264,3758214,567050,11.341
server_010,1.24481,14364063,13209621,1154442,23.0888,7.20202,12150324,10542275,1608049,32.161,16.7186,1.2256,4726822,4130200,596622,11.9324
server_011,1.4834,13737789,12539593,1198196,23.9639,9.74548,11107356,10474642,632714,12.6543,16.7726,1.8886,4592953,3976165,616788,12.3358
server_012,1.65086,15025678,13706391,1319287,26.3857,7.21996,10936483,10300373,636110,12.7222,18.6946,1.3437,5153370,4468293,685077,13.7015
server_013,1.60057,14921228,13542653,1378575,27.5715,7.3099,10910371,10263277,647094,12.9419,19.9125,1.5248,5179363,4475911,703452,14.069
server_016,1.68723,14423367,12297483,2125884,42.5177,6.21986,11742429,10913977,828452,16.569,7.8126,0.4963,4210555,3156999,1053556,21.0711
server_023,1.51127,16098634,13644280,2454354,49.0871,7.4192,12870026,11911310,958716,19.1743,9.6414,0.6594,4953662,3741910,1211752,24.235
server_024,1.48412,16253181,13698713,2554468,51.0894,7.52024,13112899,12123162,989737,19.7947,10.0466,0.7459,5084779,3805127,1279652,25.593
server_025,1.47753,17125271,14637340,2487931,49.7586,7.87938,13451969,12551260,900709,18.0142,10.7016,0.3929,5417124,4183864,1233260,24.6652
server_026,1.45943,17032836,14221372,2811464,56.2293,7.8671,13245246,12181520,1063726,21.2745,11.2246,0.4141,5406044,4056082,1349962,26.9992
server_027,1.45175,17090106,14254441,2835665,56.7133,8.00878,13318273,12300042,1018231,20.3646,10.1069,0.4694,5428422,4064268,1364154,27.2831
server_033,1.58888,19122043,15753201,3368842,67.3768,7.272,12304599,11667613,636986,12.7397,3.8273,0.3623,5991581,4073892,1917689,38.3538
server_034,1.67475,18783265,15412883,3370382,67.4076,7.24934,12298185,11691896,606289,12.1258,1.1131,0.0939,5978343,4051755,1926588,38.5318
spec_gcc_001,1.4164,14075076,13851730,223346,4.4669,14.2514,11888425,11116465,771960,15.4392,3.3767,1.0262,3650131,3515922,134209,2.6842
spec_gobmk_001,1.2117,10424107,10084272,339835,6.7967,16.9351,10319161,10082536,236625,4.7325,1.768,0.2881,3047136,2865224,181912,3.6382
spec_gobmk_002,1.32011,12576974,12142926,434048,8.681,18.3219,10555221,10482081,73140,1.4628,0.4834,0.3689,4331168,4099601,231567,4.6313
