Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.68847,15578077,15099029,479048,9.581,7.59114,12500070,12259349,240721,4.8144,4.1683,1.0838,4408901,4119813,289088,5.7818
client_004,1.39209,11470318,10955188,515130,10.3026,15.9197,12586628,12058593,528035,10.5607,4.8227,1.7657,2648805,2363440,285365,5.7073
client_008,1.4449,14109500,13399683,709817,14.1963,11.2966,12349900,11480569,869331,17.3866,6.3767,2.8774,3478266,3136868,341398,6.828
server_003,1.28006,12570251,11705080,865171,17.3034,13.7014,11614542,10886573,727969,14.5594,14.4902,3.049,3605907,3122620,483287,9.6657
server_004,0.99199,14223754,13183958,1039796,20.7959,9.29224,12942345,10951131,1991214,39.8243,15.4294,1.951,4327208,3762024,565184,11.3037
server_010,1.24469,14372752,13218297,1154455,23.0891,7.1833,12149958,10545168,1604790,32.0958,16.7191,1.2349,4729618,4133700,595918,11.9184
server_011,1.48306,13743514,12545883,1197631,23.9526,9.7197,11107117,10474414,632703,12.6541,16.7448,1.8924,4593453,3977267,616186,12.3237
server_012,1.65713,15029197,13709499,1319698,26.394,7.19872,10936690,10300595,636095,12.7219,18.6651,1.3226,5153643,4470175,683468,13.6694
server_013,1.6013,14925971,13547498,1378473,27.5695,7.2909,10910980,10263895,647085,12.9417,19.904,1.5182,5179820,4477566,702254,14.0451
server_016,1.69085,14416985,12291728,2125257,42.5051,6.21404,11744243,10915806,828437,16.5687,7.6951,0.495,4210241,3154975,1055266,21.1053
server_023,1.51131,16106295,13652027,2454268,49.0854,7.41034,12870350,11911638,958712,19.1742,9.732,0.6633,4954423,3741738,1212685,24.2537
server_024,1.4845,16257083,13702670,2554413,51.0883,7.5195,13113291,12123573,989718,19.7944,10.0438,0.7462,5085273,3806749,1278524,25.5705
server_025,1.47793,17110666,14622386,2488280,49.7656,7.88588,13452007,12551290,900717,18.0143,10.7246,0.3926,5417884,4185594,1232290,24.6458
server_026,1.46169,16988948,14176776,2812172,56.2434,7.8805,13244950,12181225,1063725,21.2745,11.2284,0.4119,5403495,4058058,1345437,26.9087
server_027,1.45276,17051600,14224333,2827267,56.5453,8.00284,13314704,12296467,1018237,20.3647,10.2978,0.4694,5430022,4068385,1361637,27.2327
server_033,1.58892,19121985,15753143,3368842,67.3768,7.27208,12304608,11667622,636986,12.7397,3.8274,0.3621,5991581,4073883,1917698,38.354
server_034,1.67476,18783302,15412919,3370383,67.4077,7.24928,12298184,11691895,606289,12.1258,1.1131,0.0939,5978350,4051792,1926558,38.5312
spec_gobmk_001,1.21098,10424678,10084855,339823,6.7965,16.9336,10319225,10082599,236626,4.7325,1.7735,0.2885,3047156,2865294,181862,3.6372
spec_gobmk_002,1.32015,12577033,12142987,434046,8.6809,18.3224,10555216,10482076,73140,1.4628,0.4833,0.3688,4331251,4099682,231569,4.6314
