Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.68858,15578204,15099156,479048,9.581,7.59022,12500001,12259280,240721,4.8144,4.1683,1.0838,4408914,4119839,289075,5.7815
client_004,1.39222,11470709,10955588,515121,10.3024,15.9169,12586617,12058582,528035,10.5607,4.8225,1.7656,2648783,2363413,285370,5.7074
client_008,1.4449,14109551,13399734,709817,14.1963,11.2964,12349905,11480574,869331,17.3866,6.3767,2.8774,3478273,3136877,341396,6.8279
server_003,1.27963,12573305,11708190,865115,17.3023,13.6999,11613983,10885997,727986,14.5597,14.4909,3.0526,3606112,3122517,483595,9.6719
server_004,0.991986,14223617,13183848,1039769,20.7954,9.29162,12942342,10951127,1991215,39.8243,15.4292,1.951,4327194,3762050,565144,11.3029
server_010,1.24466,14372831,13218393,1154438,23.0888,7.18286,12149914,10545124,1604790,32.0958,16.7191,1.235,4729602,4133646,595956,11.9191
server_011,1.48301,13743428,12545844,1197584,23.9517,9.71886,11107098,10474395,632703,12.6541,16.7445,1.892,4593583,3977442,616141,12.3228
server_012,1.6571,15029709,13710002,1319707,26.3941,7.19914,10936698,10300603,636095,12.7219,18.665,1.3226,5153694,4470370,683324,13.6665
server_013,1.6013,14925796,13547336,1378460,27.5692,7.29052,10910955,10263870,647085,12.9417,19.9043,1.5183,5179821,4477586,702235,14.0447
server_016,1.69085,14416519,12291250,2125269,42.5054,6.21404,11744242,10915805,828437,16.5687,7.695,0.495,4210251,3155032,1055219,21.1044
server_023,1.5113,16106315,13652053,2454262,49.0852,7.41012,12870353,11911641,958712,19.1742,9.7319,0.6633,4954416,3741693,1212723,24.2545
server_024,1.4845,16257265,13702850,2554415,51.0883,7.51936,13113303,12123585,989718,19.7944,10.0439,0.7462,5085271,3806675,1278596,25.5719
server_025,1.47793,17110600,14622319,2488281,49.7656,7.88584,13452007,12551290,900717,18.0143,10.7246,0.3926,5417872,4185596,1232276,24.6455
server_026,1.4617,16988969,14176797,2812172,56.2434,7.88036,13244943,12181218,1063725,21.2745,11.2284,0.4119,5403495,4058058,1345437,26.9087
server_027,1.45276,17051584,14224316,2827268,56.5454,8.00272,13314698,12296461,1018237,20.3647,10.2977,0.4694,5430002,4068367,1361635,27.2327
server_033,1.58892,19121985,15753143,3368842,67.3768,7.27208,12304608,11667622,636986,12.7397,3.8274,0.3621,5991581,4073883,1917698,38.354
server_034,1.67476,18783291,15412908,3370383,67.4077,7.24926,12298184,11691895,606289,12.1258,1.1131,0.0939,5978351,4051793,1926558,38.5312
spec_gobmk_001,1.21097,10424682,10084860,339822,6.7964,16.9337,10319241,10082615,236626,4.7325,1.7735,0.2885,3047149,2865287,181862,3.6372
spec_gobmk_002,1.32015,12577161,12143114,434047,8.6809,18.3223,10555222,10482082,73140,1.4628,0.4833,0.3688,4331251,4099682,231569,4.6314
