Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.69177,15590768,15110741,480027,9.6005,7.51126,12498555,12257842,240713,4.8143,4.1662,1.0841,4410398,4120917,289481,5.7896
client_004,1.40611,11506012,10991339,514673,10.2935,15.5857,12583757,12055724,528033,10.5607,4.8036,1.7466,2651511,2367662,283849,5.677
client_008,1.44642,14115440,13405406,710034,14.2007,11.2788,12351861,11482505,869356,17.3871,6.3582,2.8742,3477322,3136249,341073,6.8215
server_003,1.29249,12597431,11733149,864282,17.2856,13.482,11614811,10886840,727971,14.5594,14.4179,3.0018,3608731,3127960,480771,9.6154
server_004,0.992559,14224182,13185737,1038445,20.7689,9.1958,12951873,10960712,1991161,39.8232,15.4473,1.9292,4334630,3772928,561702,11.234
server_010,1.2433,14385093,13231516,1153577,23.0715,7.1555,12157799,10552922,1604877,32.0975,16.6235,1.2272,4737957,4148266,589691,11.7938
server_011,1.49268,13777215,12580753,1196462,23.9292,9.59372,11110012,10477335,632677,12.6535,16.6902,1.8413,4600015,3986357,613658,12.2732
server_012,1.65241,15039202,13720680,1318522,26.3704,7.17002,10942688,10306577,636111,12.7222,18.7145,1.3273,5161394,4484090,677304,13.5461
server_013,1.59469,14939744,13562900,1376844,27.5369,7.29846,10919703,10272610,647093,12.9419,19.9967,1.5056,5188742,4490167,698575,13.9715
server_016,1.69454,14391271,12261354,2129917,42.5983,6.20122,11744351,10915970,828381,16.5676,7.469,0.4944,4227449,3194900,1032549,20.651
server_023,1.515,16091221,13634972,2456249,49.125,7.37314,12871905,11913184,958721,19.1744,9.2068,0.6627,4976329,3790932,1185397,23.7079
server_024,1.48502,16279606,13725273,2554333,51.0867,7.4913,13114164,12124439,989725,19.7945,10.3188,0.7447,5107151,3843195,1263956,25.2791
server_025,1.47768,17004936,14516721,2488215,49.7643,8.001,13466609,12565944,900665,18.0133,10.5816,0.3899,5450566,4244902,1205664,24.1133
server_026,1.4624,16835168,14025345,2809823,56.1965,8.0528,13260310,12196722,1063588,21.2718,10.7919,0.4075,5439170,4127258,1311912,26.2382
server_027,1.44961,16894607,14073990,2820617,56.4123,8.1341,13328032,12309889,1018143,20.3629,10.3878,0.4619,5469977,4143016,1326961,26.5392
server_033,1.58849,19122758,15748516,3374242,67.4848,7.24174,12304455,11667458,636997,12.7399,3.8276,0.3625,5990328,4062822,1927506,38.5501
server_034,1.6753,18780768,15401852,3378916,67.5783,7.20798,12295403,11689112,606291,12.1258,1.2508,0.0922,5978869,4046937,1931932,38.6386
spec_gobmk_001,1.21101,10426051,10086202,339849,6.797,16.9313,10319449,10082825,236624,4.7325,1.7775,0.2912,3047586,2865907,181679,3.6336
spec_gobmk_002,1.32032,12581474,12147471,434003,8.6801,18.3181,10555600,10482460,73140,1.4628,0.4788,0.3689,4331555,4100233,231322,4.6264
