Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.68708,15567929,15088327,479602,9.592,7.63482,12500589,12259877,240712,4.8142,4.1775,1.0838,4408653,4119455,289198,5.784
client_004,1.39149,11472029,10956754,515275,10.3055,15.9309,12585510,12057482,528028,10.5606,4.8068,1.777,2648739,2363264,285475,5.7095
client_008,1.44399,14107241,13397391,709850,14.197,11.3022,12351705,11482375,869330,17.3866,6.2657,2.8991,3477916,3136760,341156,6.8231
server_003,1.28231,12570398,11705183,865215,17.3043,13.7545,11615935,10887977,727958,14.5592,14.4532,3.0373,3606672,3121895,484777,9.6955
server_004,0.99096,14214677,13174858,1039819,20.7964,9.34946,12942950,10951737,1991213,39.8243,15.4172,1.9602,4324839,3757328,567511,11.3502
server_010,1.24247,14369002,13214435,1154567,23.0913,7.2755,12151175,10546445,1604730,32.0946,16.7466,1.2435,4730537,4132739,597798,11.956
server_011,1.48407,13727606,12529606,1198000,23.96,9.82756,11109539,10476842,632697,12.6539,16.7419,1.8584,4594809,3974897,619912,12.3982
server_012,1.65188,15012214,13692955,1319259,26.3852,7.28606,10936707,10300598,636109,12.7222,18.6829,1.3279,5153951,4468152,685799,13.716
server_013,1.60093,14915692,13537680,1378012,27.5602,7.3833,10912436,10265357,647079,12.9416,19.9064,1.5114,5180767,4475288,705479,14.1096
server_016,1.68918,14365717,12241634,2124083,42.4817,6.32194,11747668,10919226,828442,16.5688,7.5114,0.4945,4205248,3154657,1050591,21.0118
server_023,1.50968,16053029,13600179,2452850,49.057,7.52522,12877287,11918572,958715,19.1743,9.6705,0.6642,4950799,3741547,1209252,24.185
server_024,1.48242,16206080,13654264,2551816,51.0363,7.6465,13119422,12129648,989774,19.7955,9.982,0.7456,5081143,3806466,1274677,25.4935
server_025,1.47909,17086232,14598321,2487911,49.7582,7.96326,13458127,12557435,900692,18.0138,10.6856,0.3906,5417106,4189656,1227450,24.549
server_026,1.46472,16973698,14163557,2810141,56.2028,8.00638,13249203,12185549,1063654,21.2731,10.8793,0.3976,5401408,4054925,1346483,26.9297
server_027,1.45438,17068936,14239681,2829255,56.5851,8.0947,13320681,12302465,1018216,20.3643,10.3415,0.4612,5430315,4073441,1356874,27.1375
server_033,1.58552,19147434,15773321,3374113,67.4823,7.28552,12307418,11670401,637017,12.7403,3.8261,0.3627,5986734,4067947,1918787,38.3757
server_034,1.67255,18809133,15430184,3378949,67.579,7.23734,12298144,11691857,606287,12.1257,1.2508,0.0924,5976798,4052687,1924111,38.4822
spec_gobmk_001,1.21183,10424894,10085053,339841,6.7968,16.9378,10319585,10082959,236626,4.7325,1.7682,0.2868,3047162,2865326,181836,3.6367
spec_gobmk_002,1.32027,12577609,12143558,434051,8.681,18.3214,10555199,10482059,73140,1.4628,0.4833,0.3685,4331170,4099596,231574,4.6315
