Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_002,1.58711,10683390,10215378,468012,9.3602,8.36062,12576956,12336226,240730,4.8146,4.0875,1.0559,4416061,4000238,415823,8.3165
client_004,1.32357,8631936,8131679,500257,10.0051,16.2416,12661540,12133498,528042,10.5608,4.7346,1.7131,2662958,2226470,436488,8.7298
client_008,1.33914,9858675,9186333,672342,13.4468,12.343,12535029,11665494,869535,17.3907,6.2743,2.8898,3503644,2913547,590097,11.8019
server_003,1.10585,8886629,8032505,854124,17.0825,15.4567,11798126,11070152,727974,14.5595,14.3679,3.0229,3685244,2932637,752607,15.0521
server_004,0.863673,9446618,8420872,1025746,20.5149,11.6304,13163769,11172634,1991135,39.8227,15.349,1.9242,4414598,3511807,902791,18.0558
server_010,1.01681,9622155,8483281,1138874,22.7775,10.4843,12434306,10829779,1604527,32.0905,16.4515,1.1859,4875660,3873621,1002039,20.0408
server_011,1.16925,9595768,8412787,1182981,23.6596,12.9631,11397452,10764776,632676,12.6535,16.1932,1.8123,4747835,3709496,1038339,20.7668
server_012,1.23413,10045208,8743305,1301903,26.0381,10.9345,11257234,10621291,635943,12.7189,18.4582,1.3171,5315940,4169072,1146868,22.9374
server_013,1.18003,10012181,8652061,1360120,27.2024,11.3484,11257117,10610093,647024,12.9405,19.7296,1.4968,5365087,4166092,1198995,23.9799
server_016,1.18282,9819975,7742852,2077123,41.5425,13.2524,12345379,11517002,828377,16.5675,9.0878,0.489,4395307,2673209,1722098,34.442
server_023,1.04641,10664345,8265031,2399314,47.9863,15.4172,13569362,12610591,958771,19.1754,10.9927,0.6482,5166853,3170538,1996315,39.9263
server_024,1.02646,10841724,8345393,2496331,49.9266,15.933,13843106,12853445,989661,19.7932,10.1379,0.7496,5309634,3233581,2076053,41.5211
server_025,1.02551,11259856,8829552,2430304,48.6061,16.4783,14173817,13273247,900570,18.0114,8.1959,0.3867,5668750,3659365,2009385,40.1877
server_026,0.960173,11140579,8398110,2742469,54.8494,17.5917,14073589,13010105,1063484,21.2697,12.515,0.3887,5675447,3400902,2274545,45.4909
server_027,0.966318,11189878,8432759,2757119,55.1424,17.6899,14132774,13114678,1018096,20.3619,10.3431,0.4619,5707262,3421692,2285570,45.7114
server_033,1.0591,11950265,8649133,3301132,66.0226,16.8766,13205725,12569651,636074,12.7215,4.3461,0.3541,6268881,3437214,2831667,56.6333
server_034,1.06374,11988845,8689769,3299076,65.9815,16.93,13282250,12676672,605578,12.1116,2.1144,0.0952,6296867,3471568,2825299,56.506
spec_gobmk_001,1.17335,8772097,8443322,328775,6.5755,17.8623,10366651,10130026,236625,4.7325,1.7501,0.2896,3054603,2783934,270669,5.4134
spec_gobmk_002,1.25622,10752096,10324632,427464,8.5493,19.6575,10624465,10551327,73138,1.4628,0.4804,0.3718,4343540,3999253,344287,6.8857
