Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI, LLC MPKI
client_001,1.42008,1994330,1725636,268694,5.3739,14.7172,12089034,11674813,414221,8.2844,5.0539,2.8243
client_002,1.53511,4280586,3814354,466232,9.3246,11.4269,12652485,12411774,240711,4.8142,4.1396,1.0596
client_003,1.03603,3697255,3291107,406148,8.123,7.2653,11538070,11130727,407343,8.1469,7.1418,5.2183
client_004,1.25624,2598949,2098999,499950,9.999,20.5836,12801594,12273504,528090,10.5618,4.6938,1.7013
client_005,1.21038,5116457,4521576,594881,11.8976,10.9521,13188463,12801165,387298,7.746,6.4358,4.8065
client_006,1.29037,2703936,2019483,684453,13.6891,15.1886,9944488,9441731,502757,10.0551,8.9156,5.2386
client_007,1.39872,2215197,1412004,803193,16.0639,11.11,12736963,12171351,565612,11.3122,3.5142,2.4063
client_008,1.32424,3312077,2638788,673289,13.4658,15.1967,12542610,11673415,869195,17.3839,6.2366,2.8897
server_001,1.34156,3656118,3156427,499691,9.9938,7.69236,10960484,10550462,410022,8.2004,8.1744,4.4362
server_002,1.33025,6245618,5440871,804747,16.0949,6.68682,15084253,15083869,384,0.0077,0.0034,0.0014
server_003,1.11595,3512732,2661590,851142,17.0228,17.3946,11840419,11112455,727964,14.5593,14.3266,2.9779
server_004,0.878052,4198223,3175126,1023097,20.4619,12.3656,13132772,11141583,1991189,39.8238,15.3192,1.9453
server_009,0.935844,4272143,3249852,1022291,20.4458,9.86184,13163667,10929628,2234039,44.6808,14.9022,1.2175
server_010,1.0744,4592146,3456015,1136131,22.7226,9.69828,12358467,10750543,1607924,32.1585,16.5539,1.2342
server_011,1.24714,4485324,3306659,1178665,23.5733,12.4881,11329932,10697221,632711,12.6542,16.4119,1.7971
server_012,1.33006,5018554,3719846,1298708,25.9742,9.64156,11175518,10539476,636042,12.7208,18.193,1.4361
server_013,1.30821,5044583,3689250,1355333,27.1067,9.66884,11164761,10517747,647014,12.9403,19.8,1.496
server_014,1.35843,6173730,4660734,1512996,30.2599,6.31512,15102735,15041266,61469,1.2294,1.3067,0.9781
server_015,1.44372,6199377,4574959,1624418,32.4884,5.70114,15264103,15263701,402,0.008,0.0024,0.0013
server_016,1.44265,4131759,2057728,2074031,41.4806,9.69256,11995375,11167030,828345,16.5669,7.3843,0.4824
server_017,0.410661,4269320,2099719,2169601,43.392,7.96828,12853506,11115479,1738027,34.7605,32.7637,24.257
server_018,0.420774,4732305,2331245,2401060,48.0212,5.67676,13234729,11430264,1804465,36.0893,33.8328,24.4405
server_019,0.403189,4211859,2059733,2152126,43.0425,8.19314,12795775,11007021,1788754,35.7751,33.6187,25.4178
server_020,0.423318,4719732,2314514,2405218,48.1044,5.59454,13227796,11434964,1792832,35.8566,33.7503,24.3435
server_021,0.428336,4821975,2378545,2443430,48.8686,4.6465,13329871,11515716,1814155,36.2831,33.9949,24.2233
server_022,0.428702,4849786,2399908,2449878,48.9976,4.63614,13335162,11517029,1818133,36.3627,34.2127,24.2894
server_023,1.27865,4853039,2456923,2396116,47.9223,11.5491,13178296,12219534,958762,19.1752,8.0175,0.6522
server_024,1.24118,4997118,2504343,2492775,49.8555,11.8013,13442200,12452504,989696,19.7939,10.4052,0.7441
server_025,1.24777,5270286,2844331,2425955,48.5191,12.2567,13769297,12868554,900743,18.0149,9.1811,0.386
server_026,1.19917,5318605,2580586,2738019,54.7604,12.3912,13611682,12548104,1063578,21.2716,12.0156,0.3825
server_027,1.20522,5350045,2597700,2752345,55.0469,12.5355,13686393,12668356,1018037,20.3607,9.5675,0.4609
server_028,1.24675,5456097,2578990,2877107,57.5421,10.518,13141352,11701197,1440155,28.8031,9.4566,0.5823
server_029,1.2272,5447631,2543323,2904308,58.0862,10.4829,13146567,11683980,1462587,29.2517,13.384,0.6767
server_030,1.29313,5545227,2604717,2940510,58.8102,10.3955,13262420,11801653,1460767,29.2153,8.7807,0.1674
server_031,1.23714,5624373,2632007,2992366,59.8473,10.9902,13431894,12193699,1238195,24.7639,7.0599,0.7277
server_032,1.34796,5932001,2770397,3161604,63.2321,9.9639,13665191,12529995,1135196,22.7039,5.7447,0.0649
server_033,1.43472,5822555,2523207,3299348,65.987,10.215,12573041,11936276,636765,12.7353,4.3166,0.365
server_034,1.48661,5822986,2525325,3297661,65.9532,10.2396,12602968,11997235,605733,12.1147,1.7124,0.0975
server_035,1.17835,5845275,2509215,3336060,66.7212,9.80386,12451977,11810149,641828,12.8366,4.4493,3.4982
server_036,1.70315,5913634,2092830,3820804,76.4161,5.36148,13862427,13858508,3919,0.0784,0.0363,0.0302
server_037,1.67173,6424202,2390298,4033904,80.6781,4.48848,12562958,12124597,438361,8.7672,3.6278,0.4425
server_038,1.6951,6417309,2377020,4040289,80.8058,4.21926,12531721,12091676,440045,8.8009,3.3239,0.4336
server_039,1.64054,6157853,2070732,4087121,81.7424,5.47098,13642360,13591307,51053,1.0211,0.0001,0.0001
spec_gcc_001,1.32343,3578037,3357793,220244,4.4049,19.9094,12031537,11259547,771990,15.4398,3.351,0.9994
spec_gcc_002,0.210279,2374368,1829688,544680,10.8936,9.57118,13763254,8749777,5013477,100.2695,103.9851,61.5253
spec_gcc_003,0.240102,2590883,1912640,678243,13.5649,9.04374,12658921,7108133,5550788,111.0158,117.4522,74.3933
spec_gobmk_001,1.08084,3086551,2760586,325965,6.5193,24.6667,10537963,10301330,236633,4.7327,1.7735,0.3085
spec_gobmk_002,1.12306,4386453,3961848,424605,8.4921,26.0736,10814474,10741332,73142,1.4628,0.476,0.3672
spec_perlbench_001,1.51199,2664583,2357017,307566,6.1513,10.7411,12349634,12105628,244006,4.8801,2.3083,1.683
spec_x264_001,2.78718,931043,670299,260744,5.2149,5.699,6776010,6707768,68242,1.3648,0.7161,0.5544
