Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI, LLC MPKI
client_001,1.4655,2082971,1814366,268605,5.3721,9.95402,11962913,11548666,414247,8.2849,5.054,2.8245
client_002,1.61717,4400214,3934651,465563,9.3113,7.5564,12534123,12293398,240725,4.8145,4.14,1.0589
client_003,1.05589,3753042,3347245,405797,8.1159,5.28868,11473003,11065659,407344,8.1469,7.1419,5.2186
client_004,1.30226,2636638,2136758,499880,9.9976,15.9603,12635511,12107456,528055,10.5611,4.7226,1.7111
client_005,1.24831,5189697,4595505,594192,11.8838,8.02466,13099244,12711946,387298,7.746,6.4431,4.8064
client_006,1.34338,2741171,2056715,684456,13.6891,10.3209,9815718,9312972,502746,10.0549,8.9247,5.1969
client_007,1.44697,2318551,1515638,802913,16.0583,7.8842,12640276,12074727,565549,11.311,3.5141,2.4062
client_008,1.38168,3455858,2782913,672945,13.4589,11.3011,12426081,11556793,869288,17.3858,6.2362,2.8897
server_001,1.37413,3659060,3158498,500562,10.0112,5.30384,10901699,10491686,410013,8.2003,8.1724,4.4345
server_002,1.37288,6271400,5466653,804747,16.0949,4.02536,14940485,14940101,384,0.0077,0.0026,0.0016
server_003,1.15578,3577186,2726103,851083,17.0217,13.8295,11698820,10970836,727984,14.5597,14.3217,2.9771
server_004,0.900939,4296795,3273759,1023036,20.4607,9.62052,13049272,11058043,1991229,39.8246,15.3196,1.9462
server_009,0.962714,4397460,3375228,1022232,20.4446,7.59874,13088090,10853976,2234114,44.6823,14.9138,1.211
server_010,1.11139,4702359,3566285,1136074,22.7215,7.58342,12266891,10662178,1604713,32.0943,16.5343,1.2337
server_011,1.30198,4562302,3383736,1178566,23.5713,10.0205,11221979,10589284,632695,12.6539,16.4256,1.7968
server_012,1.39268,5115327,3816681,1298646,25.9729,7.6016,11067813,10431678,636135,12.7227,18.1927,1.4457
server_013,1.37155,5141745,3786518,1355227,27.1045,7.70616,11047006,10399950,647056,12.9411,19.8001,1.4956
server_014,1.38133,6170761,4660921,1509840,30.1968,4.13448,15053072,14991600,61472,1.2294,1.3025,0.9836
server_015,1.46819,6191429,4573702,1617727,32.3545,3.53704,15214188,15213786,402,0.008,0.0026,0.0012
server_016,1.53547,4141084,2066811,2074273,41.4855,6.67194,11879511,11051146,828365,16.5673,7.3678,0.4823
server_017,0.411931,4409746,2243516,2166230,43.3246,4.94308,12846016,11107983,1738033,34.7607,32.7641,24.2573
server_018,0.421968,4878469,2481181,2397288,47.9458,3.51596,13223667,11419216,1804451,36.089,33.8343,24.4418
server_019,0.405028,4342771,2193659,2149112,42.9822,5.1023,12781868,10993115,1788753,35.7751,33.6203,25.5344
server_020,0.424394,4876634,2475133,2401501,48.03,3.52062,13218093,11425249,1792844,35.8569,33.7517,24.3456
server_021,0.42926,4985015,2546589,2438426,48.7685,2.98234,13317938,11503755,1814183,36.2837,33.9985,24.2244
server_022,0.429775,4998313,2553477,2444836,48.8967,2.90958,13324685,11506499,1818186,36.3637,34.2162,24.2901
server_023,1.36774,4871263,2474916,2396347,47.9269,7.93716,13034199,12075417,958782,19.1756,8.0857,0.6519
server_024,1.32507,5006285,2513107,2493178,49.8636,8.1217,13300371,12310662,989709,19.7942,10.5198,0.7442
server_025,1.32355,5353081,2926777,2426304,48.5261,8.59948,13647642,12746863,900779,18.0156,9.315,0.386
server_026,1.28527,5319695,2581221,2738474,54.7695,8.78268,13455416,12391883,1063533,21.2707,11.69,0.3842
server_027,1.28917,5348785,2595895,2752890,55.0578,8.87818,13527437,12509347,1018090,20.3618,9.5678,0.461
server_028,1.32984,5476740,2598120,2878620,57.5724,7.21016,13009646,11569544,1440102,28.802,9.2887,0.5826
server_029,1.32319,5469252,2563343,2905909,58.1182,7.2093,13014943,11552581,1462362,29.2472,10.3534,0.682
server_030,1.3793,5547012,2605155,2941857,58.8371,7.15016,13130530,11669760,1460770,29.2154,8.7758,0.1674
server_031,1.31713,5644220,2650292,2993928,59.8786,7.5056,13280258,12041914,1238344,24.7669,7.0623,0.7277
server_032,1.41882,5945712,2782386,3163326,63.2665,6.98712,13549304,12414256,1135048,22.701,5.7448,0.0649
server_033,1.54979,5823576,2524479,3299097,65.9819,6.75798,12429889,11793417,636472,12.7294,4.093,0.3545
server_034,1.63111,5819370,2523066,3296304,65.9261,6.70466,12434189,11828373,605816,12.1163,1.7127,0.0975
server_035,1.24028,5842685,2507104,3335581,66.7116,6.51542,12325023,11683451,641572,12.8314,4.4489,3.4983
server_036,1.73631,5905791,2084987,3820804,76.4161,3.47994,13814050,13810131,3919,0.0784,0.0355,0.0305
server_037,1.72801,6425795,2391895,4033900,80.678,3.33694,12471741,12035168,436573,8.7315,3.6294,0.4424
server_038,1.73779,6427442,2387150,4040292,80.8058,3.3039,12479469,12041422,438047,8.7609,3.3263,0.4337
server_039,1.66614,6111626,2024514,4087112,81.7422,3.99506,13624472,13573419,51053,1.0211,0.0001,0.0001
spec_gcc_001,1.38479,3652180,3432181,219999,4.4,14.2395,11905908,11133944,771964,15.4393,3.3508,0.9996
spec_gcc_002,0.213363,2433135,1888970,544165,10.8833,5.71478,13635432,8621943,5013489,100.2698,103.9853,61.5111
spec_gcc_003,0.245,2622352,1944311,678041,13.5608,5.33226,12522692,6971893,5550799,111.016,117.4493,74.3917
spec_gobmk_001,1.18296,3038327,2712375,325952,6.519,16.9338,10346641,10110018,236623,4.7325,1.7735,0.3085
spec_gobmk_002,1.27119,4330533,3906259,424274,8.4855,18.3118,10594131,10520991,73140,1.4628,0.476,0.3672
spec_perlbench_001,1.57237,2805485,2498137,307348,6.147,8.01662,12217728,11973704,244024,4.8805,2.3177,1.6827
spec_x264_001,2.93435,948318,687626,260692,5.2138,3.69222,6742721,6674492,68229,1.3646,0.7161,0.5543
