Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI, LLC MPKI
client_001,1.46264,2083899,1815291,268608,5.3722,9.97244,11964295,11550046,414249,8.285,5.054,2.8245
client_002,1.62768,4404661,3939137,465524,9.3105,7.49438,12529495,12288777,240718,4.8144,4.1396,1.0598
client_003,1.05348,3755662,3349797,405865,8.1173,5.39742,11481453,11074107,407346,8.1469,7.1419,5.2186
client_004,1.26234,2649106,2149107,499999,10.0,16.9527,12694866,12166806,528060,10.5612,4.7228,1.7108
client_005,1.2501,5192706,4598490,594216,11.8843,8.12856,13106624,12719325,387299,7.746,6.443,4.8062
client_006,1.34143,2741723,2057256,684467,13.6893,10.3327,9816487,9313737,502750,10.055,8.9247,5.1969
client_007,1.43795,2318119,1515185,802934,16.0587,7.98512,12648618,12083090,565528,11.3106,3.5141,2.4063
client_008,1.38043,3451311,2778360,672951,13.459,11.3836,12429527,11560243,869284,17.3857,6.2363,2.8897
server_001,1.38557,3658739,3158181,500558,10.0112,5.23756,10897526,10487508,410018,8.2004,8.1726,4.4351
server_002,1.3729,6271408,5466661,804747,16.0949,4.02568,14940514,14940130,384,0.0077,0.0026,0.0016
server_003,1.08854,3623924,2772701,851223,17.0245,15.1595,11771718,11043753,727965,14.5593,14.3222,2.9773
server_004,0.889685,4316383,3293355,1023028,20.4606,9.95272,13067214,11073293,1993921,39.8784,15.32,1.9469
server_009,0.966197,4413298,3391116,1022182,20.4436,7.4813,13082557,10848463,2234094,44.6819,14.9093,1.211
server_010,1.13221,4710074,3574002,1136072,22.7214,7.21366,12244767,10640082,1604685,32.0937,16.5337,1.234
server_011,1.26615,4591637,3412979,1178658,23.5732,10.5819,11256531,10623835,632696,12.6539,16.4251,1.7959
server_012,1.423,5127264,3828682,1298582,25.9716,7.25634,11048945,10412837,636108,12.7222,18.1922,1.4454
server_013,1.38259,5155835,3800602,1355233,27.1047,7.53954,11039949,10392905,647044,12.9409,19.7988,1.4958
server_014,1.38493,6170824,4660985,1509839,30.1968,4.1212,15052654,14991182,61472,1.2294,1.3025,0.9836
server_015,1.46817,6191433,4573706,1617727,32.3545,3.53728,15214214,15213812,402,0.008,0.0026,0.0012
server_016,1.56265,4137418,2062981,2074437,41.4887,6.34084,11858615,11030226,828389,16.5678,7.3794,0.4825
server_017,0.411965,4409543,2243320,2166223,43.3245,4.94214,12845678,11107645,1738033,34.7607,32.7641,24.2573
server_018,0.421987,4878266,2480989,2397277,47.9455,3.51494,13223369,11418920,1804449,36.089,33.8344,24.4417
server_019,0.405054,4342504,2193402,2149102,42.982,5.10094,12781533,10992776,1788757,35.7751,33.6203,25.5344
server_020,0.424409,4876383,2474896,2401487,48.0297,3.51972,13217784,11424938,1792846,35.8569,33.7517,24.3456
server_021,0.429332,4984738,2546325,2438413,48.7683,2.98132,13317475,11503292,1814183,36.2837,33.9985,24.2243
