Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI, LLC MPKI
client_001,1.46542,2082980,1814376,268604,5.3721,9.95432,11962936,11548689,414247,8.2849,5.054,2.8245
client_002,1.61793,4400326,3934752,465574,9.3115,7.54826,12533748,12293024,240724,4.8145,4.1399,1.0589
client_003,1.05569,3753713,3347918,405795,8.1159,5.29108,11472968,11065629,407339,8.1468,7.1418,5.2186
client_004,1.30349,2636409,2136543,499866,9.9973,15.9395,12634716,12106662,528054,10.5611,4.7226,1.7111
client_005,1.24679,5189866,4595678,594188,11.8838,8.04162,13099965,12712667,387298,7.746,6.443,4.8064
client_006,1.34332,2741208,2056746,684462,13.6892,10.3233,9815777,9313032,502745,10.0549,8.9245,5.1979
client_007,1.4444,2314531,1511620,802911,16.0582,7.9146,12643760,12078211,565549,11.311,3.5141,2.4062
client_008,1.38292,3449370,2776423,672947,13.4589,11.3109,12425229,11555899,869330,17.3866,6.2362,2.8897
server_001,1.37913,3657441,3156883,500558,10.0112,5.28108,10900435,10490411,410024,8.2005,8.1722,4.4339
server_002,1.37289,6271401,5466654,804747,16.0949,4.02534,14940486,14940102,384,0.0077,0.0026,0.0016
server_003,1.15873,3577088,2726011,851077,17.0215,13.7986,11696603,10968618,727985,14.5597,14.3248,2.975
server_004,0.905245,4293698,3270656,1023042,20.4608,9.54104,13043962,11052733,1991229,39.8246,15.3196,1.9454
server_009,0.968823,4396098,3373785,1022313,20.4463,7.49172,13080496,10846397,2234099,44.682,14.9116,1.211
server_010,1.12179,4700858,3564694,1136164,22.7233,7.44582,12257132,10652430,1604702,32.094,16.5344,1.2339
server_011,1.31187,4560424,3381883,1178541,23.5708,9.92922,11214943,10582244,632699,12.654,16.4247,1.7969
server_012,1.41052,5114330,3815590,1298740,25.9748,7.45316,11058453,10422327,636126,12.7225,18.1927,1.4457
server_013,1.38692,5137378,3782165,1355213,27.1043,7.56746,11036814,10389760,647054,12.9411,19.7992,1.4959
server_014,1.3823,6170551,4660707,1509844,30.1969,4.13072,15053026,14991555,61471,1.2294,1.3025,0.9836
server_015,1.46819,6191429,4573702,1617727,32.3545,3.53704,15214188,15213786,402,0.008,0.0026,0.0012
server_016,1.55094,4136143,2061858,2074285,41.4857,6.48428,11869090,11040762,828328,16.5666,7.3799,0.4825
server_017,0.411955,4409618,2243388,2166230,43.3246,4.94174,12846123,11108091,1738032,34.7606,32.7641,24.2573
server_018,0.421988,4878334,2481046,2397288,47.9458,3.51444,13223453,11419005,1804448,36.089,33.8343,24.4418
server_019,0.405056,4342779,2193666,2149113,42.9823,5.10102,12781623,10992865,1788758,35.7752,33.6203,25.5344
server_020,0.424391,4876533,2475032,2401501,48.03,3.51932,13217854,11425010,1792844,35.8569,33.7517,24.3456
server_021,0.42931,4984995,2546569,2438426,48.7685,2.98118,13317695,11503512,1814183,36.2837,33.9985,24.2244
server_022,0.429797,4998350,2553514,2444836,48.8967,2.90828,13324541,11506356,1818185,36.3637,34.2161,24.2901
server_023,1.38138,4866358,2469903,2396455,47.9291,7.72962,13022331,12063571,958760,19.1752,8.1065,0.6521
server_024,1.33983,4998291,2505123,2493168,49.8634,7.88884,13280421,12290699,989722,19.7944,10.5394,0.7443
server_025,1.33844,5344616,2918087,2426529,48.5306,8.3416,13633203,12732384,900819,18.0164,9.3145,0.386
server_026,1.30374,5308478,2569768,2738710,54.7742,8.47232,13434383,12370828,1063555,21.2711,11.6889,0.3842
server_027,1.30681,5341618,2588698,2752920,55.0584,8.57674,13508150,12489985,1018165,20.3633,9.5596,0.461
server_028,1.34623,5460550,2581913,2878637,57.5727,6.87028,12985836,11545743,1440093,28.8019,9.2883,0.5826
server_029,1.33952,5453198,2547527,2905671,58.1134,6.84386,12993981,11531637,1462344,29.2469,10.3594,0.682
server_030,1.3966,5528580,2586625,2941955,58.8391,6.76004,13107599,11646829,1460770,29.2154,8.7758,0.1674
server_031,1.3325,5627463,2633523,2993940,59.8788,7.12306,13258395,12020073,1238322,24.7664,7.0623,0.7278
server_032,1.43774,5931056,2768309,3162747,63.2549,6.65456,13518206,12383176,1135030,22.7006,5.7511,0.0649
server_033,1.55074,5822322,2523211,3299111,65.9822,6.7174,12428564,11792097,636467,12.7293,4.093,0.3545
server_034,1.63314,5817418,2521114,3296304,65.9261,6.65866,12431020,11825197,605823,12.1165,1.7127,0.0975
server_035,1.24119,5840745,2505165,3335580,66.7116,6.47006,12323328,11681749,641579,12.8316,4.4489,3.4982
server_036,1.73662,5905827,2085023,3820804,76.4161,3.47922,13814014,13810095,3919,0.0784,0.0355,0.0305
server_037,1.72801,6425782,2391882,4033900,80.678,3.33692,12471755,12035182,436573,8.7315,3.6294,0.4424
server_038,1.73777,6427435,2387143,4040292,80.8058,3.30396,12479499,12041452,438047,8.7609,3.3263,0.4337
server_039,1.66613,6111625,2024513,4087112,81.7422,3.99504,13624477,13573424,51053,1.0211,0.0001,0.0001
spec_gcc_001,1.3843,3651976,3431972,220004,4.4001,14.2503,11906562,11134596,771966,15.4393,3.3508,0.9996
spec_gcc_002,0.213362,2433029,1888857,544172,10.8834,5.72088,13635716,8622227,5013489,100.2698,103.9852,61.5101
spec_gcc_003,0.24508,2621415,1943399,678016,13.5603,5.3315,12523479,6972681,5550798,111.016,117.4492,74.3925
spec_gobmk_001,1.1829,3038324,2712376,325948,6.519,16.9351,10346789,10110166,236623,4.7325,1.7735,0.3085
spec_gobmk_002,1.27114,4330543,3906268,424275,8.4855,18.314,10594106,10520966,73140,1.4628,0.476,0.3672
spec_perlbench_001,1.57236,2805540,2498186,307354,6.1471,8.01844,12217819,11973795,244024,4.8805,2.3177,1.6827
spec_x264_001,2.93435,948314,687622,260692,5.2138,3.69228,6742731,6674502,68229,1.3646,0.7161,0.5543
