Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI, LLC MPKI
client_001,1.46555,2082966,1814361,268605,5.3721,9.95422,11962915,11548668,414247,8.2849,5.054,2.8245
client_002,1.62086,4400335,3934762,465573,9.3115,7.525,12531740,12291016,240724,4.8145,4.14,1.0589
client_003,1.05548,3752657,3346852,405805,8.1161,5.30978,11473816,11066473,407343,8.1469,7.1418,5.2186
client_004,1.30085,2637950,2138074,499876,9.9975,15.9967,12638670,12110623,528047,10.5609,4.7226,1.7111
client_005,1.24694,5190033,4595828,594205,11.8841,8.04742,13101070,12713773,387297,7.7459,6.4431,4.8064
client_006,1.34439,2741106,2056650,684456,13.6891,10.3194,9815593,9312849,502744,10.0549,8.9247,5.1969
client_007,1.44711,2318368,1515453,802915,16.0583,7.8839,12639960,12074409,565551,11.311,3.5142,2.4057
client_008,1.3827,3455355,2782406,672949,13.459,11.2946,12425331,11556001,869330,17.3866,6.2363,2.8897
server_001,1.37852,3657966,3157404,500562,10.0112,5.28148,10900288,10490267,410021,8.2004,8.1793,4.435
server_002,1.37288,6271400,5466653,804747,16.0949,4.02536,14940485,14940101,384,0.0077,0.0026,0.0016
server_003,1.15692,3577801,2726716,851085,17.0217,13.8331,11699498,10971501,727997,14.5599,14.3229,2.9774
server_004,0.90369,4293918,3270855,1023063,20.4613,9.58042,13048960,11057734,1991226,39.8245,15.3199,1.9463
server_009,0.967823,4393973,3371732,1022241,20.4448,7.5054,13083565,10849462,2234103,44.6821,14.9137,1.2115
server_010,1.12056,4697568,3561488,1136080,22.7216,7.45384,12259396,10654697,1604699,32.094,16.5344,1.2337
server_011,1.31032,4559928,3381332,1178596,23.5719,9.93578,11217146,10584447,632699,12.654,16.4263,1.7966
server_012,1.40536,5111406,3812739,1298667,25.9733,7.49516,11063113,10426990,636123,12.7225,18.1937,1.4451
server_013,1.38402,5137403,3782162,1355241,27.1048,7.57162,11038599,10391541,647058,12.9412,19.7994,1.4957
server_014,1.38151,6170662,4660821,1509841,30.1968,4.13434,15053090,14991617,61473,1.2295,1.3025,0.9836
