Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI, LLC MPKI
client_001,1.46524,2083040,1814436,268604,5.3721,9.95562,11963014,11548767,414247,8.2849,5.054,2.8245
client_002,1.64609,4403323,3937792,465531,9.3106,7.2647,12516492,12275770,240722,4.8144,4.14,1.0589
client_003,1.06026,3753848,3348061,405787,8.1157,5.2071,11468535,11061191,407344,8.1469,7.1418,5.2186
client_004,1.3199,2634578,2134737,499841,9.9968,15.6856,12625293,12097236,528057,10.5611,4.7226,1.7122
client_005,1.26002,5189832,4595646,594186,11.8837,7.86412,13091175,12703877,387298,7.746,6.443,4.8064
client_006,1.34621,2740903,2056450,684453,13.6891,10.3145,9815297,9312554,502743,10.0549,8.9244,5.1975
client_007,1.44817,2318901,1515985,802916,16.0583,7.87458,12639349,12073799,565550,11.311,3.5141,2.4062
client_008,1.38419,3455932,2782992,672940,13.4588,11.2841,12425112,11555827,869285,17.3857,6.2362,2.8897
server_001,1.40463,3651111,3150574,500537,10.0107,5.09384,10889097,10479080,410017,8.2003,8.1723,4.4347
server_002,1.37288,6271417,5466670,804747,16.0949,4.0256,14940493,14940109,384,0.0077,0.0026,0.0016
server_003,1.20276,3558695,2707651,851044,17.0209,13.1478,11659792,10931799,727993,14.5599,14.3229,2.9771
server_004,0.947474,4265259,3242194,1023065,20.4613,8.48842,12981309,10990029,1991280,39.8256,15.3193,1.9452
server_009,1.00969,4368935,3346710,1022225,20.4445,6.59096,13021456,10787335,2234121,44.6824,14.9111,1.2112
server_010,1.18713,4668601,3532520,1136081,22.7216,6.37256,12188567,10583818,1604749,32.095,16.5343,1.2341
server_011,1.393,4528424,3349956,1178468,23.5694,8.94358,11151661,10518944,632717,12.6543,16.4323,1.797
server_012,1.52569,5080246,3781619,1298627,25.9725,6.28644,10983660,10347514,636146,12.7229,18.1917,1.4446
server_013,1.50234,5100261,3745152,1355109,27.1022,6.32116,10953623,10306511,647112,12.9422,19.8124,1.4974
server_014,1.38789,6170559,4660724,1509835,30.1967,4.10584,15052267,14990797,61470,1.2294,1.3025,0.9836
server_015,1.46818,6191442,4573715,1617727,32.3545,3.53728,15214194,15213792,402,0.008,0.0026,0.0012
server_016,1.62897,4125733,2051536,2074197,41.4839,5.433,11779832,10951472,828360,16.5672,7.3797,0.4825
server_017,0.411971,4409410,2243177,2166233,43.3247,4.93726,12845448,11107414,1738034,34.7607,32.7641,24.2574
server_018,0.422009,4878100,2480808,2397292,47.9458,3.50966,13223088,11418645,1804443,36.0889,33.8345,24.4416
server_019,0.405084,4342442,2193326,2149116,42.9823,5.09668,12781198,10992443,1788755,35.7751,33.6203,25.5344
server_020,0.424448,4876288,2474782,2401506,48.0301,3.5142,13217454,11424608,1792846,35.8569,33.7517,24.3455
server_021,0.42935,4984618,2546192,2438426,48.7685,2.97532,13317113,11502928,1814185,36.2837,33.9985,24.2244
server_022,0.429847,4997871,2553030,2444841,48.8968,2.90306,13324131,11505946,1818185,36.3637,34.2162,24.2901
server_023,1.45436,4854289,2457886,2396403,47.9281,6.4843,12919985,11961189,958796,19.1759,8.1063,0.6522
server_024,1.41893,4986997,2493859,2493138,49.8628,6.51738,13166535,12176795,989740,19.7948,10.5953,0.7439
server_025,1.42582,5325771,2900048,2425723,48.5145,6.81978,13514490,12613705,900785,18.0157,9.3432,0.3859
server_026,1.40163,5292331,2554160,2738171,54.7634,6.6805,13300722,12237295,1063427,21.2685,11.6804,0.384
server_027,1.4015,5315753,2563308,2752445,55.0489,6.76842,13374080,12355876,1018204,20.3641,9.5606,0.4611
server_028,1.38509,5453415,2574779,2878636,57.5727,6.08124,12928386,11488352,1440034,28.8007,9.2892,0.5825
server_029,1.37933,5449670,2544126,2905544,58.1109,6.02544,12941005,11478669,1462336,29.2467,10.3648,0.682
server_030,1.44898,5510787,2568921,2941866,58.8373,5.80134,13043884,11583250,1460634,29.2127,8.7754,0.1674
server_031,1.36626,5622429,2628483,2993946,59.8789,6.34244,13200956,11962656,1238300,24.766,7.064,0.7278
server_032,1.4814,5907964,2744684,3163280,63.2656,5.81224,13482671,12347657,1135014,22.7003,5.7472,0.0649
server_033,1.55013,5825682,2527945,3297737,65.9547,6.65718,12422013,11785539,636474,12.7295,4.093,0.3545
server_034,1.63403,5820603,2525442,3295161,65.9032,6.61818,12423806,11817976,605830,12.1166,1.7127,0.0975
server_035,1.24011,5843970,2509229,3334741,66.6948,6.43306,12313788,11672205,641583,12.8317,4.4493,3.4982
server_036,1.73685,5905826,2085022,3820804,76.4161,3.47994,13814110,13810191,3919,0.0784,0.0355,0.0305
server_037,1.72811,6425754,2391854,4033900,80.678,3.3363,12471694,12035121,436573,8.7315,3.6294,0.4424
server_038,1.73782,6427436,2387144,4040292,80.8058,3.30354,12479477,12041430,438047,8.7609,3.3263,0.4337
server_039,1.66614,6111617,2024505,4087112,81.7422,3.99494,13624475,13573422,51053,1.0211,0.0001,0.0001
spec_gcc_001,1.38573,3653041,3433041,220000,4.4,14.2185,11905896,11133927,771969,15.4394,3.3508,0.9996
spec_gcc_002,0.213554,2433153,1889002,544151,10.883,5.67168,13632537,8619047,5013490,100.2698,103.9852,61.5102
spec_gcc_003,0.24549,2622630,1944613,678017,13.5603,5.2577,12517555,6966755,5550800,111.016,117.4491,74.3917
spec_gobmk_001,1.18301,3038246,2712292,325954,6.5191,16.9309,10346559,10109936,236623,4.7325,1.7735,0.3085
spec_gobmk_002,1.27094,4330611,3906339,424272,8.4854,18.3196,10594238,10521098,73140,1.4628,0.476,0.3672
spec_perlbench_001,1.57389,2805791,2498437,307354,6.1471,8.0114,12217588,11973564,244024,4.8805,2.3177,1.6827
spec_x264_001,2.93437,948349,687657,260692,5.2138,3.6921,6742710,6674481,68229,1.3646,0.7161,0.5543
