Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI, LLC MPKI
client_001,1.47439,2109203,1840613,268590,5.3718,8.87552,11942362,11528109,414253,8.2851,5.0542,2.8241
client_002,1.61919,4405161,3939616,465545,9.3109,7.42634,12531659,12290938,240721,4.8144,4.1407,1.0592
client_003,1.06253,3775174,3369413,405761,8.1152,4.68658,11454789,11047445,407344,8.1469,7.1413,5.219
client_004,1.32569,2668575,2168726,499849,9.997,13.9108,12573648,12045609,528039,10.5608,4.7229,1.7114
client_005,1.26018,5223204,4629062,594142,11.8828,7.0673,13072713,12685431,387282,7.7456,6.4434,4.8063
client_006,1.35579,2742365,2057941,684424,13.6885,9.29992,9784882,9282133,502749,10.055,8.9247,5.1975
client_007,1.44968,2335785,1532878,802907,16.0581,7.43632,12632418,12066877,565541,11.3108,3.514,2.4062
client_008,1.38938,3490108,2817164,672944,13.4589,10.5501,12406464,11537177,869287,17.3857,6.2363,2.8897
server_001,1.37671,3658889,3158321,500568,10.0114,5.20474,10899007,10488989,410018,8.2004,8.1721,4.4343
server_002,1.37379,6270343,5465596,804747,16.0949,3.98112,14937404,14937020,384,0.0077,0.0026,0.0016
server_003,1.16892,3599616,2748562,851054,17.0211,12.4253,11657907,10929909,727998,14.56,14.3234,2.9784
server_004,0.90506,4308040,3285009,1023031,20.4606,9.0989,13031197,11039965,1991232,39.8246,15.3196,1.9455
server_009,0.963972,4399175,3376925,1022250,20.445,7.47226,13082594,10847763,2234831,44.6966,14.9003,1.2217
server_010,1.11402,4702755,3566676,1136079,22.7216,7.47052,12261271,10653296,1607975,32.1595,16.5531,1.2344
server_011,1.31344,4569780,3391219,1178561,23.5712,9.35126,11196876,10564184,632692,12.6538,16.4115,1.7971
server_012,1.39985,5115468,3816826,1298642,25.9728,7.4639,11060158,10424024,636134,12.7227,18.1954,1.4361
server_013,1.37707,5142598,3787380,1355218,27.1044,7.56206,11039694,10392648,647046,12.9409,19.7983,1.4957
server_014,1.38301,6171981,4662252,1509729,30.1946,4.07964,15050203,14988733,61470,1.2294,1.3026,0.9835
server_015,1.46864,6191232,4573506,1617726,32.3545,3.5245,15213701,15213299,402,0.008,0.0026,0.0012
server_016,1.53796,4140683,2066409,2074274,41.4855,6.55514,11877682,11049316,828366,16.5673,7.3727,0.4824
server_017,0.412095,4414827,2248887,2165940,43.3188,4.58022,12844369,11106351,1738018,34.7604,32.764,24.2573
server_018,0.422163,4884567,2487484,2397083,47.9417,3.36536,13221994,11417544,1804450,36.089,33.8342,24.442
server_019,0.405192,4348689,2199875,2148814,42.9763,4.70144,12780011,10991258,1788753,35.7751,33.6205,25.5344
server_020,0.424493,4881822,2480561,2401261,48.0252,3.3796,13216347,11423506,1792841,35.8568,33.7517,24.3456
server_021,0.429394,4990261,2551828,2438433,48.7687,2.90706,13317122,11502930,1814192,36.2838,33.9983,24.2242
server_022,0.429904,5002536,2557694,2444842,48.8968,2.84818,13323146,11504971,1818175,36.3635,34.2162,24.2901
server_023,1.37052,4870702,2474368,2396334,47.9267,7.7965,13032314,12073534,958780,19.1756,8.0167,0.6522
server_024,1.32759,5006000,2512938,2493062,49.8612,7.99234,13299347,12309641,989706,19.7941,10.4208,0.744
server_025,1.32641,5357400,2931095,2426305,48.5261,8.49582,13641660,12740879,900781,18.0156,9.1832,0.386
server_026,1.28581,5321319,2582825,2738494,54.7699,8.69162,13452773,12389240,1063533,21.2707,12.0163,0.3826
server_027,1.29122,5350247,2597357,2752890,55.0578,8.77252,13523525,12505436,1018089,20.3618,9.5677,0.461
server_028,1.3344,5478011,2599391,2878620,57.5724,7.03452,13003005,11562909,1440096,28.8019,8.9602,0.583
server_029,1.325,5470150,2564240,2905910,58.1182,7.03386,13013063,11550701,1462362,29.2472,10.3408,0.6819
server_030,1.38128,5547994,2606137,2941857,58.8371,7.0564,13127382,11666612,1460770,29.2154,8.7757,0.1674
server_031,1.31919,5645020,2651093,2993927,59.8785,7.32084,13277511,12039167,1238344,24.7669,7.0624,0.7277
server_032,1.41997,5947062,2783736,3163326,63.2665,6.91508,13547249,12412201,1135048,22.701,5.7448,0.0649
server_033,1.55132,5821449,2522352,3299097,65.9819,6.71824,12427351,11790902,636449,12.729,4.093,0.3545
server_034,1.63251,5818358,2522055,3296303,65.9261,6.67882,12432240,11826429,605811,12.1162,1.7128,0.0975
server_035,1.24074,5841493,2505912,3335581,66.7116,6.48718,12324269,11682707,641562,12.8312,4.4474,3.4982
server_036,1.73657,5905585,2084781,3820804,76.4161,3.47604,13813864,13809944,3920,0.0784,0.0355,0.0305
server_037,1.72951,6425129,2391231,4033898,80.678,3.3058,12470352,12033778,436574,8.7315,3.6294,0.4424
server_038,1.73916,6426794,2386503,4040291,80.8058,3.27484,12478157,12040109,438048,8.761,3.3263,0.4337
server_039,1.66838,6109862,2022814,4087048,81.741,3.973,13622338,13571285,51053,1.0211,0.0001,0.0001
spec_gcc_001,1.41263,3694713,3474882,219831,4.3966,11.8555,11855690,11083741,771949,15.439,3.3505,0.9998
spec_gcc_002,0.213559,2437781,1893604,544177,10.8835,5.57398,13628403,8614907,5013496,100.2699,103.983,61.5187
spec_gcc_003,0.245227,2627623,1949562,678061,13.5612,5.20546,12517180,6966378,5550802,111.016,117.4493,74.383
spec_gobmk_001,1.23009,3042704,2716861,325843,6.5169,13.5922,10263664,10027041,236623,4.7325,1.7734,0.3085
spec_gobmk_002,1.34237,4331697,3907621,424076,8.4815,14.8615,10489079,10415937,73142,1.4628,0.4778,0.3673
spec_perlbench_001,1.58432,2857457,2550184,307273,6.1455,7.29104,12193585,11949556,244029,4.8806,2.319,1.6829
spec_x264_001,2.98297,972984,712334,260650,5.213,2.98188,6725364,6657148,68216,1.3643,0.7161,0.5543
