Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI, LLC MPKI
client_001,1.54942,5145928,4877624,268304,5.3661,0,11759699,11345554,414145,8.2829,5.0584,2.8225
client_002,1.8571,6466772,6001487,465285,9.3057,0,12313845,12073048,240797,4.8159,4.1177,1.061
client_003,1.14784,4730576,4325088,405488,8.1098,0,11298496,10891150,407346,8.1469,7.1315,5.2116
client_004,1.78743,5798622,5299664,498958,9.9792,0,12104628,11576631,527997,10.5599,4.7031,1.7064
client_005,1.44105,6632213,6038080,594133,11.8827,0,12844030,12456727,387303,7.7461,6.5275,4.8079
client_006,1.48932,4852676,4167563,685113,13.7023,0,9437819,8935154,502665,10.0533,8.9006,5.2098
client_007,1.56005,4600556,3797917,802639,16.0528,0,12391263,11825736,565527,11.3105,3.5237,2.4028
client_008,1.63088,6334134,5662451,671683,13.4337,0,12048226,11178589,869637,17.3927,6.2631,2.8894
server_001,1.52231,4974503,4475997,498506,9.9701,0,10748755,10338744,410011,8.2002,8.1943,4.4388
server_002,1.38115,6627351,5819348,808003,16.1601,0,14901874,14901490,384,0.0077,0.0028,0.0015
server_003,1.56984,6062994,5213043,849951,16.999,0,11208342,10480386,727956,14.5591,14.3559,2.9881
server_004,1.13378,5825922,4803467,1022455,20.4491,0,12632634,10630475,2002159,40.0432,15.4476,1.8899
server_009,1.13578,5699127,4677628,1021499,20.43,0,12734221,10489127,2245094,44.9019,14.9424,1.2038
server_010,1.37974,5657914,4522797,1135117,22.7023,0,11874378,10258547,1615831,32.3166,16.2757,1.2215
server_011,1.85313,5632250,4454718,1177532,23.5506,0,10743669,10110962,632707,12.6541,16.3569,1.822
server_012,1.93615,5645907,4348314,1297593,25.9519,0,10630877,9994726,636151,12.723,18.3666,1.3513
server_013,1.89017,5591492,4237294,1354198,27.084,0,10625336,9978234,647102,12.942,19.7513,1.4915
server_014,1.42445,6638158,5130964,1507194,30.1439,0,14997186,14935720,61466,1.2293,1.3049,0.9794
server_015,1.47783,6662211,5046841,1615370,32.3074,0,15201361,15200959,402,0.008,0.0022,0.0012
server_016,1.87845,4876386,2801851,2074535,41.4907,0,11467063,10638615,828448,16.569,7.5308,0.4792
server_017,0.414782,5306269,3140103,2166166,43.3233,0,12807991,11070186,1737805,34.7561,32.7209,24.2718
server_018,0.424845,5394396,2996730,2397666,47.9533,0,13183584,11379508,1804076,36.0815,33.8828,24.429
server_019,0.407484,5274496,3126030,2148466,42.9693,0,12744032,10955490,1788542,35.7708,33.6219,25.4198
server_020,0.428212,5399854,2998372,2401482,48.0296,0,13175908,11383315,1792593,35.8519,33.7321,24.2431
server_021,0.432938,5419063,2980518,2438545,48.7709,0,13269865,11455792,1814073,36.2815,34.0524,24.2337
server_022,0.433537,5414550,2968316,2446234,48.9247,0,13279737,11461668,1818069,36.3614,34.2047,24.2783
server_023,1.69748,5593761,3197110,2396651,47.933,0,12562839,11603893,958946,19.1789,8.0232,0.6519
server_024,1.65218,5686973,3193442,2493531,49.8706,0,12783945,11793909,990036,19.8007,10.2453,0.7424
server_025,1.6417,6347621,3921763,2425858,48.5172,0,13167428,12266356,901072,18.0214,9.4255,0.3857
server_026,1.6461,6003460,3265282,2738178,54.7636,0,12905567,11841677,1063890,21.2778,11.6579,0.3856
server_027,1.64099,6047889,3295490,2752399,55.048,0,12979374,11960656,1018718,20.3744,10.1678,0.4623
server_028,1.54211,6053819,3176454,2877365,57.5473,0,12620822,11180952,1439870,28.7974,8.3809,0.5837
server_029,1.52804,6021284,3115894,2905390,58.1078,0,12633655,11171587,1462068,29.2414,11.6589,0.6773
server_030,1.61722,6101491,3160591,2940900,58.818,0,12702389,11241456,1460933,29.2187,10.8772,0.1679
server_031,1.5145,6249576,3256450,2993126,59.8625,0,12903838,11665620,1238218,24.7644,8.1164,0.7239
server_032,1.62283,6484265,3320816,3163449,63.269,0,13148409,12012280,1136129,22.7226,10.7377,0.0662
server_033,1.77284,6738592,3440558,3298034,65.9607,0,12138734,11502880,635854,12.7171,3.9973,0.3669
server_034,1.89055,6731852,3436866,3294986,65.8997,0,12128402,11522669,605733,12.1147,1.4811,0.0989
server_035,1.36646,6707929,3373172,3334757,66.6951,0,12078064,11435968,642096,12.8419,4.7833,3.4921
server_036,1.76387,6181151,2360323,3820828,76.4166,0,13756842,13752922,3920,0.0784,0.0363,0.0302
server_037,1.7885,6683484,2649539,4033945,80.6789,0,12414813,11978143,436670,8.7334,3.247,0.4429
server_038,1.79351,6682726,2642415,4040311,80.8062,0,12418086,11979997,438089,8.7618,3.2079,0.4349
server_039,1.70466,6440204,2353142,4087062,81.7412,0,13601649,13550596,51053,1.0211,0.0001,0.0001
spec_gcc_001,1.60335,6478321,6258713,219608,4.3922,0,11620531,10848604,771927,15.4385,3.3513,0.9946
spec_gcc_002,0.218593,3651355,3109352,542003,10.8401,0,13374937,8361455,5013482,100.2696,103.9822,61.987
spec_gcc_003,0.258467,3497618,2821757,675861,13.5172,0,12234675,6683849,5550826,111.0165,117.415,73.7042
spec_gobmk_001,1.57598,4289223,3965159,324064,6.4813,0,9547478,9310843,236635,4.7327,1.7586,0.3075
spec_gobmk_002,1.98623,5647528,5224989,422539,8.4508,0,9492049,9418913,73136,1.4627,0.478,0.3679
spec_perlbench_001,1.68091,6582807,6276214,306593,6.1319,0,11980034,11735995,244039,4.8808,2.3244,1.6841
spec_x264_001,3.26555,1686015,1425298,260717,5.2143,0,6493585,6425397,68188,1.3638,0.7145,0.5541
