Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI, LLC MPKI
client_001,1.5326,4013786,3745499,268287,5.3657,1.73518,11783229,11369070,414159,8.2832,5.0588,2.8227
client_002,1.84181,6246762,5781477,465285,9.3057,0.30048,12322455,12081653,240802,4.816,4.1209,1.0596
client_003,1.12045,4281674,3876325,405349,8.107,1.09964,11340004,10932652,407352,8.147,7.1838,5.2248
client_004,1.58494,4066893,3567859,499034,9.9807,3.96426,12230936,11702925,528011,10.5602,4.722,1.7121
client_005,1.39239,5964618,5370774,593844,11.8769,1.70746,12899607,12512308,387299,7.746,6.4664,4.8051
client_006,1.4685,3885258,3200287,684971,13.6994,1.64534,9505467,9002813,502654,10.0531,8.9303,5.1907
client_007,1.54982,4125390,3322761,802629,16.0526,0.72544,12403926,11838400,565526,11.3105,3.5036,2.4045
client_008,1.58924,5293166,4621472,671694,13.4339,1.33248,12084700,11215074,869626,17.3925,6.2455,2.8901
server_001,1.51649,4948710,4450168,498542,9.9708,0.16734,10752962,10342944,410018,8.2004,8.1804,4.4308
server_002,1.3811,6622066,5814063,808003,16.1601,0.04542,14901939,14901555,384,0.0077,0.0026,0.0016
server_003,1.43321,4758059,3908365,849694,16.9939,2.82202,11293248,10565292,727956,14.5591,14.3026,2.9613
server_004,1.08488,5455399,4433393,1022006,20.4401,1.1923,12676723,10674555,2002168,40.0434,15.3395,1.9206
server_009,1.12911,5663051,4642078,1020973,20.4195,0.23826,12740614,10495572,2245042,44.9008,14.9254,1.2077
server_010,1.37049,5635130,4500539,1134591,22.6918,0.20578,11878832,10260682,1618150,32.363,16.4649,1.2786
server_011,1.72458,5189790,4012616,1177174,23.5435,1.4558,10796430,10163719,632711,12.6542,16.2396,1.7943
server_012,1.92272,5620630,4323795,1296835,25.9367,0.23822,10638494,10002343,636151,12.723,18.1887,1.3809
server_013,1.87381,5561118,4207418,1353700,27.074,0.25698,10632372,9985283,647089,12.9418,19.838,1.5097
server_014,1.41597,6618917,5111608,1507309,30.1462,0.09662,14999660,14938188,61472,1.2294,1.3021,0.9754
server_015,1.47779,6661990,5046616,1615374,32.3075,0.0136,15201402,15201000,402,0.008,0.0027,0.0012
server_016,1.8762,4832311,2757815,2074496,41.4899,0.1751,11473834,10645431,828403,16.5681,7.036,0.4804
server_017,0.414924,4804880,2639482,2165398,43.308,0.99922,12814549,11076761,1737788,34.7558,32.7567,24.2284
server_018,0.424805,5279581,2883153,2396428,47.9286,0.30852,13192510,11388435,1804075,36.0815,33.827,24.4602
server_019,0.407554,4732568,2584860,2147708,42.9542,1.08678,12750426,10961885,1788541,35.7708,33.6035,25.5313
