Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI, LLC MPKI
client_001,1.5077,2097910,2097267,643,0.0129,9.95402,11944322,11530091,414231,8.2846,4.6234,2.5933
client_002,1.72364,4374324,4371859,2465,0.0493,7.5564,12512194,12271463,240731,4.8146,1.6195,1.0501
client_003,1.11627,3739779,3737124,2655,0.0531,5.28868,11439276,11031941,407335,8.1467,6.0603,4.83
client_004,1.59556,2640053,2632585,7468,0.1494,15.9603,12584496,12056424,528072,10.5614,2.0434,0.8309
client_005,1.38485,5185245,5183201,2044,0.0409,8.02466,13030266,12642963,387303,7.7461,5.0119,4.4019
client_006,1.40817,2781672,2781424,248,0.005,10.3209,9786297,9283548,502749,10.055,8.0016,4.74
client_007,1.50351,2311709,2310054,1655,0.0331,7.8842,12574773,12009216,565557,11.3111,3.2806,2.2843
client_008,1.49055,3481449,3478578,2871,0.0574,11.3011,12339058,11469806,869252,17.385,5.5027,2.741
server_001,1.5292,3678889,3678735,154,0.0031,5.30382,10853559,10443554,410005,8.2001,5.014,3.7616
server_002,1.37625,6349071,6349069,2,0.0,4.02536,14890350,14889966,384,0.0077,0.0017,0.0013
server_003,1.55751,3606858,3603453,3405,0.0681,13.8295,11566959,10838949,728010,14.5602,4.9741,1.7168
server_004,1.09808,4339427,4333644,5783,0.1157,9.62056,12920025,10928830,1991195,39.8239,2.7861,1.3031
server_009,1.10835,4434556,4433455,1101,0.022,7.59874,12972715,10738611,2234104,44.6821,1.9214,1.0728
server_010,1.34365,4743722,4742988,734,0.0147,7.58342,12138628,10530638,1607990,32.1598,1.9761,1.0541
server_011,1.70624,4608499,4602984,5515,0.1103,10.0205,11076629,10443916,632713,12.6543,2.4405,1.388
server_012,1.85752,5162906,5159609,3297,0.0659,7.60164,10920891,10284775,636116,12.7223,2.3182,1.1492
server_013,1.8119,5197601,5196566,1035,0.0207,7.70618,10891099,10244032,647067,12.9413,2.3344,1.2851
server_014,1.42417,6326015,6325640,375,0.0075,4.13448,15017555,14956085,61470,1.2294,1.0937,0.7915
server_015,1.47747,6362348,6362346,2,0.0,3.53704,15190637,15190235,402,0.008,0.002,0.0012
server_016,1.78912,4220388,4220076,312,0.0062,6.67194,11730257,10901806,828451,16.569,0.8191,0.4449
server_017,0.41919,4546705,4545996,709,0.0142,4.94308,12851696,11113656,1738040,34.7608,29.9736,23.6029
server_018,0.431283,5028857,5028681,176,0.0035,3.51596,13232194,11427893,1804301,36.086,30.6993,23.6155
server_019,0.41259,4477595,4476729,866,0.0173,5.10224,12784548,10995766,1788782,35.7756,30.7953,24.801
server_020,0.433638,5028010,5027928,82,0.0016,3.52062,13228438,11435566,1792872,35.8574,30.5067,23.5339
server_021,0.438914,5121352,5121234,118,0.0024,2.98234,13326774,11512562,1814212,36.2842,30.8466,23.4706
server_022,0.439732,5132726,5132644,82,0.0016,2.90958,13323072,11504847,1818225,36.3645,30.9593,23.4869
server_023,1.60486,4962570,4961091,1479,0.0296,7.93716,12859648,11900821,958827,19.1765,1.0601,0.6093
server_024,1.5724,5098200,5097856,344,0.0069,8.1217,13105548,12115645,989903,19.7981,1.1925,0.6934
server_025,1.56852,5445280,5444932,348,0.007,8.59948,13456147,12555410,900737,18.0147,0.6263,0.3602
server_026,1.56716,5421060,5421056,4,0.0001,8.78268,13251877,12188303,1063574,21.2715,0.8235,0.2849
server_027,1.55052,5456655,5456200,455,0.0091,8.87818,13304314,12286247,1018067,20.3613,0.8758,0.438
server_028,1.50968,5609025,5608962,63,0.0013,7.21016,12835381,11394696,1440685,28.8137,1.1068,0.5575
server_029,1.50054,5609031,5608785,246,0.0049,7.20932,12857198,11394774,1462424,29.2485,0.9269,0.6302
server_030,1.58155,5690771,5690764,7,0.0001,7.15016,12959996,11499337,1460659,29.2132,0.4491,0.1435
server_031,1.46937,5780621,5779888,733,0.0147,7.5056,13124790,11886822,1237968,24.7594,0.9821,0.6829
server_032,1.58177,6118528,6118520,8,0.0002,6.98714,13395211,12260196,1135015,22.7003,0.2956,0.0631
server_033,1.67324,6052460,6052435,25,0.0005,6.75798,12300530,11663840,636690,12.7338,2.9439,0.3107
server_034,1.77078,6049738,6049738,0,0.0,6.70466,12296377,11690157,606220,12.1244,0.3132,0.0892
server_035,1.31163,6057796,6057475,321,0.0064,6.51542,12224092,11582199,641893,12.8379,3.8194,3.3072
server_036,1.76351,6185408,6185406,2,0.0,3.47994,13789325,13785405,3920,0.0784,0.0234,0.0205
server_037,1.78518,6659456,6658693,763,0.0153,3.33694,12443766,12007699,436067,8.7213,2.4462,0.4335
server_038,1.79969,6660107,6660079,28,0.0006,3.3039,12459116,12021716,437400,8.748,1.8844,0.4218
server_039,1.708,6447679,6447676,3,0.0001,3.99506,13583031,13531978,51053,1.0211,0.0001,0.0001
spec_gcc_001,1.4878,3632036,3629459,2577,0.0515,14.2395,11878361,11106398,771963,15.4393,2.1959,0.7387
spec_gcc_002,0.234528,2426922,2426916,6,0.0001,5.7148,13515468,8501992,5013476,100.2695,98.9401,55.3405
spec_gcc_003,0.282263,2618758,2618630,128,0.0026,5.33226,12349496,6798692,5550804,111.0161,110.3648,64.4766
spec_gobmk_001,1.23428,3039392,3039321,71,0.0014,16.9338,10312723,10076099,236624,4.7325,1.2728,0.2803
spec_gobmk_002,1.34314,4315133,4313986,1147,0.0229,18.3118,10551005,10477865,73140,1.4628,0.42,0.3623
spec_perlbench_001,1.62971,2785078,2784200,878,0.0176,8.01662,12173715,11929686,244029,4.8806,1.8727,1.5832
spec_x264_001,3.00155,931863,931857,6,0.0001,3.69222,6724160,6655944,68216,1.3643,0.6315,0.5508
