Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI, LLC MPKI
client_001,1.46483,2083032,1814426,268606,5.3721,9.95628,11963108,11548861,414247,8.2849,5.054,2.8245
client_002,1.6248,4401996,3936427,465569,9.3114,7.47146,12529402,12288677,240725,4.8145,4.14,1.0589
client_003,1.05635,3753258,3347456,405802,8.116,5.28226,11472599,11065257,407342,8.1468,7.1419,5.2186
client_004,1.30277,2636952,2137080,499872,9.9974,15.9546,12635865,12107806,528059,10.5612,4.7217,1.7119
client_005,1.24972,5189323,4595129,594194,11.8839,8.01058,13098941,12711642,387299,7.746,6.4432,4.8064
client_006,1.34334,2741229,2056770,684459,13.6892,10.322,9815878,9313129,502749,10.055,8.9247,5.1969
client_007,1.44674,2318562,1515649,802913,16.0583,7.88282,12639914,12074365,565549,11.311,3.5141,2.4062
client_008,1.38285,3455649,2782704,672945,13.4589,11.2941,12425473,11556144,869329,17.3866,6.2362,2.8897
server_001,1.38419,3657111,3156559,500552,10.011,5.23762,10897602,10487582,410020,8.2004,8.1724,4.4351
server_002,1.37288,6271401,5466654,804747,16.0949,4.0254,14940486,14940102,384,0.0077,0.0026,0.0016
server_003,1.16312,3576998,2725943,851055,17.0211,13.7146,11693767,10965782,727985,14.5597,14.3224,2.9777
server_004,0.913389,4290775,3267748,1023027,20.4605,9.2917,13030575,11039344,1991231,39.8246,15.3198,1.9461
server_009,0.976851,4393057,3370807,1022250,20.445,7.29574,13069244,10835137,2234107,44.6821,14.9099,1.2125
server_010,1.13721,4694358,3558290,1136068,22.7214,7.17128,12242679,10637952,1604727,32.0945,16.5346,1.2343
server_011,1.32875,4556685,3378187,1178498,23.57,9.71482,11203700,10570987,632713,12.6543,16.4251,1.7959
server_012,1.43339,5109748,3811143,1298605,25.9721,7.18582,11044499,10408357,636142,12.7228,18.1931,1.445
server_013,1.40984,5133623,3778479,1355144,27.1029,7.27174,11021692,10374619,647073,12.9415,19.7993,1.4955
server_014,1.38307,6170749,4660911,1509838,30.1968,4.12794,15052902,14991431,61471,1.2294,1.3025,0.9836
server_015,1.46818,6191430,4573703,1617727,32.3545,3.5371,15214192,15213790,402,0.008,0.0026,0.0012
server_016,1.57345,4132871,2058613,2074258,41.4852,6.12496,11843049,11014665,828384,16.5677,7.3799,0.4825
server_017,0.411948,4409601,2243372,2166229,43.3246,4.94148,12845769,11107736,1738033,34.7607,32.7641,24.2573
server_018,0.421992,4878301,2481013,2397288,47.9458,3.51424,13223486,11419037,1804449,36.089,33.8344,24.4417
server_019,0.405034,4342604,2193492,2149112,42.9822,5.10096,12781555,10992802,1788753,35.7751,33.6203,25.5344
