Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53216,15940579,15659139,281440,5.6288,3.40508,11794116,11379942,414174,8.2835,5.0465,2.8186,3233556,3114201,119355,2.3871,13.3733,82.882,129.523,196.154
client_002,1.78883,22181499,21683199,498300,9.966,2.17454,12374901,12134121,240780,4.8156,4.2786,1.0899,5655124,5356223,298901,5.978,11.2668,60.6988,68.3932,190.194
client_003,1.10083,16969468,16539517,429951,8.599,2.7348,11369659,10962314,407345,8.1469,7.3003,5.263,4107193,3860763,246430,4.9286,12.8805,179.328,198.601,247.823
client_004,1.44016,14110672,13581351,529321,10.5864,9.87512,12406380,11878327,528053,10.5611,4.8449,1.7733,3167887,2878163,289724,5.7945,16.7246,30.4622,74.6025,149.357
client_005,1.34249,20939456,20303679,635777,12.7155,4.15236,12955701,12568412,387289,7.7458,6.6531,4.8609,5773012,5407501,365511,7.3102,12.6047,116.482,139.17,163.204
client_006,1.45601,16302525,15585724,716801,14.336,2.64642,9529300,9026649,502651,10.053,8.9906,5.2169,3687532,3336535,350997,7.0199,12.3934,114.658,129.643,189.021
client_007,1.53651,16305923,15451097,854826,17.0965,3.3585,12431006,11865444,565562,11.3112,3.5336,2.4134,2990441,2569827,420614,8.4123,10.2461,52.6255,143.542,180.933
client_008,1.50672,18240343,17510152,730191,14.6038,5.76828,12207809,11338572,869237,17.3847,6.2984,2.9098,4468678,4098469,370209,7.4042,10.1211,42.9268,95.2382,162.918
server_001,1.47136,19876888,19368524,508364,10.1673,1.79214,10789722,10379700,410022,8.2004,8.2707,4.4842,4495854,4259691,236163,4.7233,15.1298,142.221,150.541,240.823
server_002,1.38262,34163072,33453591,709481,14.1896,0.22302,14895058,14894674,384,0.0077,0.0029,0.0013,6662360,6292868,369492,7.3898,9.86837,39.0469,88.8562,157.078
server_003,1.31996,14988915,14097852,891063,17.8213,8.72964,11436624,10708694,727930,14.5586,14.6263,3.1493,4037311,3552393,484918,9.6984,16.4899,52.6752,61.9446,194.935
server_004,1.01333,26958368,25883093,1075275,21.5055,5.61442,12818404,10816290,2002114,40.0423,15.8472,1.9607,5319977,4771167,548810,10.9762,14.8312,20.4408,40.2636,164.177
server_009,1.06472,28680757,27605314,1075443,21.5089,3.86896,12851921,10606297,2245624,44.9125,15.3474,1.3292,5562234,5031768,530466,10.6093,13.1132,17.8834,33.3779,154.978
server_010,1.28004,23511843,22314934,1196909,23.9382,4.26006,12014873,10396745,1618128,32.3626,17.1067,1.2436,5530159,4933738,596421,11.9284,12.9703,20.5083,31.0164,152.375
server_011,1.55868,15876501,14645554,1230947,24.6189,6.56576,10978678,10346013,632665,12.6533,16.8514,1.8844,4855265,4246397,608868,12.1774,14.0551,38.2669,37.3134,155.358
