Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53249,15943600,15662121,281479,5.6296,3.40216,11793828,11379653,414175,8.2835,5.0466,2.8184,3233585,3114122,119463,2.3893,13.4797,82.996,129.699,196.487
client_002,1.80952,22450433,21949274,501159,10.0232,1.83672,12357344,12116562,240782,4.8156,4.2871,1.0929,5682803,5376370,306433,6.1287,11.4147,60.6297,68.2533,189.502
client_003,1.1068,17053222,16623292,429930,8.5986,2.55676,11358315,10950959,407356,8.1471,7.2893,5.2657,4111626,3861201,250425,5.0085,12.6233,178.225,198.125,246.672
client_004,1.47815,14180411,13651647,528764,10.5753,9.39026,12386965,11858911,528054,10.5611,4.8492,1.7707,3166881,2875433,291448,5.829,15.7173,30.4687,74.5456,149.589
client_005,1.35916,21060086,20424465,635621,12.7124,3.87412,12944483,12557184,387299,7.746,6.6352,4.8532,5778133,5407453,370680,7.4136,12.3442,116.572,140.351,164.642
client_006,1.45949,16309460,15592468,716992,14.3398,2.62928,9528019,9025359,502660,10.0532,8.9896,5.2067,3686651,3334956,351695,7.0339,12.3693,114.896,130.424,190.719
client_007,1.53869,16322425,15467493,854932,17.0986,3.33724,12429497,11863920,565577,11.3115,3.5321,2.4099,2990825,2559606,431219,8.6244,10.2029,52.8322,144.774,182.932
client_008,1.51223,18264148,17534392,729756,14.5951,5.7183,12205601,11336253,869348,17.387,6.2979,2.9089,4469105,4097679,371426,7.4285,10.051,42.9881,95.7594,164.082
server_001,1.49483,20016628,19508420,508208,10.1642,1.54406,10777112,10367100,410012,8.2002,8.261,4.4665,4495021,4256152,238869,4.7774,15.0317,143.157,152.867,245.793
server_002,1.38262,34163264,33453767,709497,14.1899,0.22284,14895069,14894685,384,0.0077,0.0026,0.0013,6662354,6292867,369487,7.3897,9.86711,40.0312,98.4046,155.621
server_003,1.37715,15314828,14419093,895735,17.9147,7.76668,11396361,10668455,727906,14.5581,14.6702,3.1313,4032014,3536479,495535,9.9107,16.0127,52.7743,62.335,198.489
server_004,1.05179,27571401,26492148,1079253,21.5851,4.22764,12754752,10752615,2002137,40.0427,15.7739,1.9648,5315863,4756427,559436,11.1887,14.6476,20.4868,40.6914,166.488
server_009,1.09817,29307609,28228694,1078915,21.5783,2.66522,12794647,10549603,2245044,44.9009,15.236,1.2991,5570725,5028265,542460,10.8492,13.182,17.8711,33.313,156.658
