Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53498,15939062,15657530,281532,5.6306,3.40576,11794859,11380679,414180,8.2836,5.0561,2.8022,3232750,3113846,118904,2.3781,13.3509,81.9955,128.166,195.23
client_002,1.78803,22173595,21673449,500146,10.0029,2.18518,12376179,12135393,240786,4.8157,4.2914,1.0963,5658756,5359826,298930,5.9786,11.2749,60.3238,67.8693,187.582
client_003,1.09863,16974973,16544645,430328,8.6066,2.74306,11364468,10957124,407344,8.1469,7.2955,5.2909,4108161,3861539,246622,4.9324,12.9141,178.818,198.249,245.872
client_004,1.44055,14105863,13576153,529710,10.5942,9.89132,12405410,11877338,528072,10.5614,4.8389,1.7871,3167044,2877279,289765,5.7953,16.9132,30.495,74.9176,148.84
client_005,1.34063,20929854,20293896,635958,12.7192,4.18066,12956463,12569173,387290,7.7458,6.6468,4.8614,5773193,5408146,365047,7.3009,12.6552,116.391,139.155,163.013
client_006,1.45738,16299192,15582255,716937,14.3387,2.64978,9528807,9026142,502665,10.0533,8.9869,5.2114,3687076,3336293,350783,7.0157,12.4369,114.594,129.552,188.982
client_007,1.53599,16269738,15415846,853892,17.0778,3.38954,12434140,11868571,565569,11.3114,3.5264,2.4094,2986285,2564849,421436,8.4287,10.1048,52.2734,142.239,178.976
client_008,1.50772,18203363,17473754,729609,14.5922,5.7804,12208117,11338760,869357,17.3871,6.3022,2.9111,4461552,4090399,371153,7.4231,10.1452,42.8823,95.1926,162.84
server_001,1.47533,19867186,19357929,509257,10.1851,1.77522,10790306,10380282,410024,8.2005,8.2635,4.5025,4492621,4256199,236422,4.7284,15.2396,141.663,150.998,240.464
server_002,1.3826,34163093,33453633,709460,14.1892,0.223,14895057,14894673,384,0.0077,0.0029,0.0014,6662371,6292885,369486,7.3897,9.86768,41.9349,94.4521,153.38
server_003,1.33315,14979225,14087749,891476,17.8295,8.74052,11435417,10707503,727914,14.5583,14.6449,3.0476,4035162,3546495,488667,9.7733,16.3589,52.0711,60.9053,196.694
server_004,1.0149,26872493,25800248,1072245,21.4449,5.5932,12813802,10809643,2004159,40.0832,15.794,1.989,5314765,4755050,559715,11.1943,14.7689,20.3971,40.5733,163.73
server_009,1.0679,28693688,27619069,1074619,21.4924,3.7914,12844173,10598591,2245582,44.9116,15.4708,1.3301,5564332,5027392,536940,10.7388,13.1226,17.8657,33.2365,154.659
server_010,1.28581,23541947,22348035,1193912,23.8782,4.15742,12005115,10386938,1618177,32.3635,17.1426,1.2587,5533086,4931378,601708,12.0342,12.9604,20.5273,31.1312,152.428
server_011,1.56566,15884578,14652264,1232314,24.6463,6.5212,10975937,10343280,632657,12.6531,17.0908,1.877,4852481,4234810,617671,12.3534,14.1813,38.0109,36.9482,154.92
server_012,1.75291,17516942,16153160,1363782,27.2756,4.63402,10773832,10137746,636086,12.7217,18.9775,1.3391,5508538,4820741,687797,13.7559,12.7473,36.5274,30.5443,149.969
server_013,1.67913,17150133,15728669,1421464,28.4293,4.82836,10752897,10105869,647028,12.9406,20.538,1.5868,5491651,4784945,706706,14.1341,13.0185,38.8088,31.6489,151.48
server_014,1.41717,32546475,31058698,1487777,29.7555,0.41272,14988167,14926699,61468,1.2294,1.3087,0.9953,6664818,5773490,891328,17.8266,10.4954,319.358,314.101,386.722
server_015,1.48474,31518488,29980445,1538043,30.7609,0.1603,15179640,15179238,402,0.008,0.003,0.0013,6724039,5827528,896511,17.9302,10.0336,41.4527,87.5608,156.547
server_016,1.80443,17788268,15569640,2218628,44.3726,2.93342,11584479,10755975,828504,16.5701,8.1951,0.5002,4744373,3593900,1150473,23.0095,9.73888,20.3707,30.9699,183.89
server_017,0.41412,24758883,22604638,2154245,43.0849,1.40518,12811555,11073756,1737799,34.756,32.8139,24.296,4860900,3576222,1284678,25.6936,11.77,234.655,241.682,299.434
server_018,0.423385,26752562,24365989,2386573,47.7315,0.731,13189116,11385064,1804052,36.081,33.9376,24.4291,5344355,3921103,1423252,28.465,11.6206,234.916,242.748,309.483
server_019,0.407116,24453961,22264189,2189772,43.7954,1.50294,12752546,10964013,1788533,35.7707,33.7262,25.4445,4783257,3492922,1290335,25.8067,12.0186,249.936,259.072,316.914
server_020,0.426589,26747163,24241174,2505989,50.1198,0.7223,13176772,11384175,1792597,35.8519,33.7466,24.2454,5344559,3866377,1478182,29.5636,11.5368,236.072,243.879,311.666
server_021,0.430361,26883740,24366082,2517658,50.3532,0.54834,13274945,11460896,1814049,36.281,34.1633,24.2946,5462865,3971269,1491596,29.8319,11.5595,235.787,243.368,314.148
server_022,0.431851,26789457,24350360,2439097,48.7819,0.53992,13288024,11469928,1818096,36.3619,34.23,24.2375,5465468,4005532,1459936,29.1987,11.5128,236.948,244.406,316.959
server_023,1.61626,19894644,17334097,2560547,51.2109,3.56958,12690276,11731415,958861,19.1772,9.1685,0.6679,5434442,4127405,1307037,26.1407,9.67985,22.2884,34.9263,207.933
server_024,1.58678,20033541,17369228,2664313,53.2863,3.67684,12935237,11945374,989863,19.7973,10.2188,0.7508,5536280,4155348,1380932,27.6186,9.53663,24.636,37.7169,245.963
server_025,1.5687,22542160,19958563,2583597,51.6719,3.71624,13299936,12399080,900856,18.0171,9.2176,0.3917,6179900,4879299,1300601,26.012,9.62738,19.235,27.7308,191.832
server_026,1.55098,20447447,17526677,2920770,58.4154,4.30844,13083010,12019034,1063976,21.2795,12.6078,0.414,5805918,4358785,1447133,28.9427,9.71237,19.9413,26.3761,208.011
server_027,1.54913,20580572,17636834,2943738,58.8748,4.3957,13133556,12115018,1018538,20.3708,11.304,0.4645,5845372,4379953,1465419,29.3084,9.74734,19.6271,27.6799,193.771
server_028,1.51817,22969236,19894826,3074410,61.4882,2.77038,12679014,11238741,1440273,28.8055,8.5808,0.5909,5882889,4225171,1657718,33.1544,9.8899,16.8509,29.6013,141.161
server_029,1.49644,23074445,19950328,3124117,62.4823,2.76066,12701759,11240216,1461543,29.2309,11.7213,0.6895,5872816,4208271,1664545,33.2909,10.2529,17.9792,28.7371,151.528
server_030,1.57136,23015834,19879653,3136181,62.7236,2.88134,12808156,11347815,1460341,29.2068,10.3281,0.1757,5976198,4298327,1677871,33.5574,9.97662,14.7621,21.8099,125.884
server_031,1.47492,23665990,20461343,3204647,64.0929,2.86178,12974234,11736284,1237950,24.759,7.9047,0.7271,6077114,4356067,1721047,34.4209,9.854,17.9618,33.0443,143.997
server_032,1.59832,24900137,21489626,3410511,68.2102,2.62182,13234029,12098456,1135573,22.7115,6.1173,0.0633,6385632,4565336,1820296,36.4059,9.64179,13.6354,20.7997,114.016
server_033,1.72627,28280084,24785363,3494721,69.8944,1.48748,12160935,11524871,636064,12.7213,3.7606,0.3628,6792015,4558817,2233198,44.664,10.0108,20.6452,34.6253,153.656
server_034,1.83109,27994571,24483788,3510783,70.2157,1.44176,12162296,11556522,605774,12.1155,1.1312,0.0959,6795493,4561866,2233627,44.6725,10.0192,13.2121,27.8526,98.917
server_035,1.33276,28598256,25048116,3550140,71.0028,1.40872,12093549,11451044,642505,12.8501,4.6286,3.5012,6780968,4436799,2344169,46.8834,10.5475,66.535,171.853,200.951
server_036,1.74406,30082166,26048053,4034113,80.6823,0.46774,13755272,13751352,3920,0.0784,0.0364,0.0313,6285331,3844924,2440407,48.8081,10.1772,55.7768,155.766,158.289
server_037,1.73995,28831019,24644593,4186426,83.7285,1.11424,12406061,11970099,435962,8.7192,3.2469,0.4487,6756277,4100321,2655956,53.1191,10.1823,26.0675,41.7194,157.717
server_038,1.74377,28906747,24727545,4179202,83.584,1.09692,12408531,11971285,437246,8.7449,3.365,0.4364,6756063,4085362,2670701,53.414,10.1552,25.9286,39.5165,151.297
server_039,1.66686,29469573,25033911,4435662,88.7132,0.6968,13605301,13554248,51053,1.0211,0.0002,0.0002,6542409,3890013,2652396,53.0479,10.078,11.0034,185.125,165.125
spec_gcc_001,1.48388,20966222,20738115,228107,4.5621,5.53558,11723314,10951387,771927,15.4385,3.5803,1.0453,4797447,4657540,139907,2.7981,15.543,24.4019,72.8499,181.151
spec_gcc_002,0.22834,18850237,18256846,593391,11.8678,0.64774,13416601,8403119,5013482,100.2696,104.3231,59.0787,3486503,3114895,371608,7.4322,38.7659,336.425,320.631,530.863
spec_gcc_003,0.260351,17923325,17186544,736781,14.7356,0.6953,12270230,6719425,5550805,111.0161,117.7506,72.9627,3332599,2856089,476510,9.5302,47.3356,452.796,427.469,657.589
spec_gobmk_001,1.42481,14135985,13770063,365922,7.3184,6.33326,9894203,9657567,236636,4.7327,1.7705,0.2917,3460447,3291902,168545,3.3709,8.3236,26.8825,45.3394,153.894
spec_gobmk_002,1.69103,16435552,15980355,455197,9.1039,6.95358,9987873,9914737,73136,1.4627,0.4798,0.3693,4744946,4534091,210855,4.2171,8.08304,55.8637,147.694,166.041
spec_perlbench_001,1.65549,20458114,20143062,315052,6.301,2.52452,12044680,11800641,244039,4.8808,2.3179,1.693,4666345,4499730,166615,3.3323,9.99422,67.8571,130.871,151.858
spec_x264_001,3.16921,7927622,7665871,261751,5.235,1.45046,6540720,6472519,68201,1.364,0.7255,0.5563,1227546,1164180,63366,1.2673,9.47152,93.0699,156.665,178.28
