Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53505,15939197,15657628,281569,5.6314,3.40556,11794944,11380767,414177,8.2835,5.0567,2.8026,3232733,3113910,118823,2.3765,13.3327,82.0861,128.357,195.572
client_002,1.79005,22194810,21695853,498957,9.9791,2.15772,12374798,12134012,240786,4.8157,4.2831,1.0929,5656930,5358068,298862,5.9772,11.3338,60.8116,68.5913,190.617
client_003,1.1005,16942490,16511971,430519,8.6104,2.76218,11367967,10960618,407349,8.147,7.2703,5.2733,4106482,3860371,246111,4.9222,12.9064,179.044,199.164,247.087
client_004,1.43973,14083882,13554523,529359,10.5872,9.95082,12407398,11879346,528052,10.561,4.8269,1.789,3167260,2879247,288013,5.7603,16.8561,30.5011,74.8895,148.267
client_005,1.34218,20910412,20274431,635981,12.7196,4.1875,12957321,12570027,387294,7.7459,6.6462,4.8531,5771813,5407517,364296,7.2859,12.6338,116.237,139.052,163.137
client_006,1.45918,16307293,15590353,716940,14.3388,2.64546,9530626,9027964,502662,10.0532,8.9701,5.186,3687174,3336500,350674,7.0135,12.303,114.368,129.411,189.313
client_007,1.53391,16302976,15448383,854593,17.0919,3.3586,12433532,11867963,565569,11.3114,3.5282,2.426,2991340,2569651,421689,8.4338,10.1784,52.4782,143.138,179.151
client_008,1.50856,18231328,17501636,729692,14.5938,5.76448,12207376,11338017,869359,17.3872,6.3942,2.891,4467607,4096636,370971,7.4194,10.1564,42.7149,93.3502,162.298
server_001,1.47512,19865765,19357273,508492,10.1698,1.77222,10789226,10379207,410019,8.2004,8.2907,4.4974,4494872,4258740,236132,4.7226,15.0285,141.48,150.159,239.993
server_002,1.38259,34163024,33453556,709468,14.1894,0.22302,14895054,14894670,384,0.0077,0.003,0.0015,6662369,6292870,369499,7.39,9.86791,41.987,96.1523,153.587
server_003,1.32594,14953822,14063321,890501,17.81,8.77336,11435863,10707924,727939,14.5588,14.6744,3.0942,4037147,3554777,482370,9.6474,16.4141,52.4469,61.3458,196.227
