Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53466,15937714,15656124,281590,5.6318,3.40776,11794911,11380736,414175,8.2835,5.0571,2.8036,3232597,3113916,118681,2.3736,13.3876,82.0813,128.035,194.932
client_002,1.80105,22247206,21747487,499719,9.9944,2.01602,12366404,12125620,240784,4.8157,4.313,1.0987,5670737,5368230,302507,6.0501,11.3166,60.2354,67.7709,187.73
client_003,1.0997,16932063,16502063,430000,8.6,2.76338,11366820,10959483,407337,8.1467,7.2896,5.2961,4106751,3861358,245393,4.9079,12.7923,178.167,197.711,244.678
client_004,1.44429,14047064,13517721,529343,10.5869,9.98,12410295,11882243,528052,10.561,4.8723,1.7986,3167246,2882243,285003,5.7001,16.6633,30.611,74.9167,148.949
client_005,1.34764,20886952,20252278,634674,12.6935,4.14816,12955255,12567961,387294,7.7459,6.6436,4.8585,5771658,5408109,363549,7.271,12.3076,116.328,139.337,163.281
client_006,1.4599,16298730,15581912,716818,14.3364,2.64406,9529125,9026478,502647,10.0529,8.9772,5.204,3686715,3335631,351084,7.0217,12.3997,114.702,130.097,189.99
client_007,1.53455,16308216,15455965,852251,17.045,3.36528,12433543,11867971,565572,11.3114,3.5255,2.4135,2990353,2563121,427232,8.5446,10.1731,52.1195,141.701,177.843
client_008,1.51014,18219459,17489699,729760,14.5952,5.77092,12208629,11339273,869356,17.3871,6.4142,2.8891,4466719,4095987,370732,7.4146,10.1237,42.7017,93.0529,162.249
server_001,1.48599,19931864,19423748,508116,10.1623,1.65892,10784379,10374359,410020,8.2004,8.2509,4.4953,4496016,4258486,237530,4.7506,15.0924,142.557,153.254,244.622
server_002,1.38261,34162107,33452556,709551,14.191,0.22346,14895071,14894687,384,0.0077,0.0032,0.0017,6662381,6292854,369527,7.3905,9.87079,41.9661,105.019,156.586
server_003,1.34149,14980255,14088129,892126,17.8425,8.57572,11428985,10701050,727935,14.5587,14.647,3.1131,4040387,3558683,481704,9.6341,16.2519,52.5376,61.8905,197.236
server_004,1.03365,27143299,26069004,1074295,21.4859,4.9858,12790215,10788130,2002085,40.0417,15.6703,1.995,5320071,4772522,547549,10.951,14.542,20.4404,40.9568,165.013
server_009,1.08493,28907916,27832558,1075358,21.5072,3.21548,12818108,10573086,2245022,44.9004,15.391,1.3274,5572775,5039227,533548,10.671,12.8792,17.8619,33.2899,154.799
server_010,1.3159,23796111,22598836,1197275,23.9455,3.45796,11972719,10354525,1618194,32.3639,17.0531,1.2626,5543589,4944594,598995,11.9799,12.7435,20.5412,31.2582,152.924
server_011,1.59483,16018716,14781354,1237362,24.7472,6.0383,10952887,10320217,632670,12.6534,17.1304,1.9248,4857606,4246635,610971,12.2194,14.1095,38.3341,37.4904,156.155
server_012,1.80655,17790693,16422805,1367888,27.3578,3.90428,10739998,10103896,636102,12.722,18.8801,1.3336,5520870,4835919,684951,13.699,12.5611,36.5333,30.6131,150.728
server_013,1.73242,17437998,16008643,1429355,28.5871,4.10116,10716368,10069327,647041,12.9408,20.5993,1.5763,5509839,4808120,701719,14.0344,13.0617,38.7221,31.5445,151.582
server_014,1.42023,32549657,31061822,1487835,29.7567,0.39332,14987475,14926006,61469,1.2294,1.3061,0.9928,6665322,5773804,891518,17.8304,10.4566,319.052,317.03,390.778
server_015,1.48474,31518180,29980117,1538063,30.7613,0.16054,15179643,15179241,402,0.008,0.0033,0.0016,6724028,5827507,896521,17.9304,10.0354,41.4502,95.7711,161.513
server_016,1.82566,18499281,16261888,2237393,44.7479,2.3242,11552919,10724455,828464,16.5693,8.0686,0.4967,4773309,3586121,1187188,23.7438,9.90094,20.4521,31.3398,188.327
server_017,0.414171,24772954,22618969,2153985,43.0797,1.40228,12811174,11073375,1737799,34.756,32.8139,24.2962,4861426,3577359,1284067,25.6813,11.8027,234.597,241.611,299.335
server_018,0.423444,26763375,24377371,2386004,47.7201,0.72798,13189069,11385030,1804039,36.0808,33.9375,24.4283,5344806,3922037,1422769,28.4554,11.6228,234.903,242.724,309.458
server_019,0.407075,24459798,22271217,2188581,43.7716,1.50016,12752005,10963480,1788525,35.7705,33.7268,25.445,4783737,3493673,1290064,25.8013,12.1063,250.063,259.235,317.129
server_020,0.426638,26762816,24257271,2505545,50.1109,0.71888,13176531,11383936,1792595,35.8519,33.7472,24.2442,5345156,3868056,1477100,29.542,11.5483,236.052,243.829,311.618
server_021,0.430343,26899325,24382214,2517111,50.3422,0.54464,13274685,11460639,1814046,36.2809,34.1625,24.2937,5463278,3971842,1491436,29.8287,11.5904,235.833,243.437,314.25
server_022,0.431902,26802082,24363459,2438623,48.7725,0.53654,13287726,11469628,1818098,36.362,34.2298,24.2379,5466001,4006411,1459590,29.1918,11.5279,236.894,244.382,316.916
server_023,1.638,20843253,18261515,2581738,51.6348,2.80038,12652732,11693898,958834,19.1767,9.1139,0.669,5464340,4103764,1360576,27.2115,9.89734,22.3059,35.0698,208.253
server_024,1.60751,21036996,18345699,2691297,53.8259,2.851,12894309,11904505,989804,19.7961,10.3184,0.7503,5574498,4144029,1430469,28.6094,9.80669,24.7238,37.612,247.293
server_025,1.59583,23745588,21118349,2627239,52.5448,2.72052,13253877,12353124,900753,18.0151,9.2613,0.3933,6211476,4847416,1364060,27.2812,10.0112,19.2558,27.6788,190.442
server_026,1.58168,21855120,18897404,2957716,59.1543,3.14962,13025285,11961315,1063970,21.2794,12.8889,0.3957,5855496,4336512,1518984,30.3797,10.0288,19.9129,25.9894,209.381
server_027,1.57921,22014700,19034912,2979788,59.5958,3.20176,13077810,12059185,1018625,20.3725,11.1449,0.4663,5891404,4363928,1527476,30.5495,10.0323,19.7137,27.9995,197.976
server_028,1.52897,23793579,20722561,3071018,61.4204,2.24526,12662176,11222255,1439921,28.7984,8.4937,0.5919,5948334,4293023,1655311,33.1062,9.991,16.867,29.7185,141.165
server_029,1.50866,23937693,20829292,3108401,62.168,2.22496,12689226,11228058,1461168,29.2234,11.4356,0.6831,5933865,4259373,1674492,33.4898,10.3839,17.8994,28.8501,151.225
server_030,1.58486,23929101,20773856,3155245,63.1049,2.26404,12789936,11329612,1460324,29.2065,10.387,0.1768,6013332,4305269,1708063,34.1613,10.1783,14.7975,21.8484,127.647
server_031,1.48765,24416313,21206751,3209562,64.1912,2.3219,12956239,11718659,1237580,24.7516,7.9372,0.7268,6141659,4432960,1708699,34.174,9.98765,18.0005,32.9995,144.143
server_032,1.60709,25625382,22193860,3431522,68.6304,2.0554,13211564,12075997,1135567,22.7113,6.0594,0.0636,6422588,4595500,1827088,36.5418,9.87686,13.6649,20.8009,113.612
server_033,1.72636,28439005,24950511,3488494,69.7699,1.43304,12155355,11519243,636112,12.7222,3.7574,0.362,6793785,4563695,2230090,44.6018,10.032,20.6221,34.5951,153.499
server_034,1.83073,28053005,24543299,3509706,70.1941,1.40266,12158357,11552583,605774,12.1155,1.1309,0.0969,6797003,4570495,2226508,44.5302,10.0311,13.2303,28.1208,100.915
server_035,1.33273,28625200,25077564,3547636,70.9527,1.37122,12091607,11449101,642506,12.8501,4.6287,3.5011,6782872,4447522,2335350,46.707,10.5596,66.5687,172.046,201.219
server_036,1.74457,30092936,25998519,4094417,81.8883,0.4662,13755241,13751321,3920,0.0784,0.0371,0.0315,6285328,3837879,2447449,48.949,10.1983,55.2288,162.646,168.215
server_037,1.73999,28832170,24645769,4186401,83.728,1.11412,12406040,11970078,435962,8.7192,3.2466,0.4485,6756314,4100281,2656033,53.1207,10.1826,26.0635,41.7007,157.65
server_038,1.74378,28907838,24728656,4179182,83.5836,1.09666,12408526,11971280,437246,8.7449,3.3655,0.4367,6756039,4085252,2670787,53.4157,10.1556,25.9302,39.5286,151.323
