Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
server_011,1.59863,16120721,14881519,1239202,24.784,5.90704,10948855,10316214,632641,12.6528,17.1097,1.8945,4853266,4239517,613749,12.275,14.2053,38.2836,37.2035,155.924
client_004,1.45112,14099998,13570277,529721,10.5944,9.80582,12400873,11872831,528042,10.5608,4.8423,1.7921,3167657,2878411,289246,5.7849,16.5934,30.8226,75.2945,149.569
server_013,1.73779,17550980,16118706,1432274,28.6455,4.02724,10715380,10068375,647005,12.9401,20.4686,1.5352,5504636,4804645,699991,13.9998,13.1576,38.523,31.2983,151.276
server_012,1.80019,17901846,16534656,1367190,27.3438,3.86318,10737631,10101513,636118,12.7224,18.7926,1.3375,5518788,4830689,688099,13.762,12.6844,36.4759,30.6583,150.222
server_003,1.34387,15110875,14217811,893064,17.8613,8.3451,11419438,10691518,727920,14.5584,14.7162,3.1219,4036019,3546675,489344,9.7869,16.3705,52.4682,61.5099,195.814
server_004,1.03746,27254277,26180342,1073935,21.4787,4.88444,12782792,10778636,2004156,40.0831,15.6684,1.9208,5313399,4761561,551838,11.0368,14.5908,20.3223,40.1274,164.545
server_010,1.31262,23875287,22679173,1196114,23.9223,3.43656,11971737,10353545,1618192,32.3638,17.0315,1.2707,5539405,4938595,600810,12.0162,12.8588,20.5995,31.3392,152.86
server_027,1.57544,22101039,19116424,2984615,59.6923,3.2145,13074143,12055572,1018571,20.3714,11.34,0.4688,5904132,4349433,1554699,31.094,10.1075,19.6119,27.7068,193.065
client_008,1.50962,18235134,17505486,729648,14.593,5.7533,12206932,11337572,869360,17.3872,6.3932,2.8898,4467884,4096778,371106,7.4221,10.1167,42.7117,93.3081,162.245
server_009,1.0875,28996268,27919924,1076344,21.5269,3.15978,12815498,10570518,2244980,44.8996,15.2467,1.2774,5570449,5032897,537552,10.751,12.934,17.8443,33.0039,155.726
