Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53552,15944592,15663048,281544,5.6309,3.40018,11794547,11380369,414178,8.2836,5.0553,2.8012,3232761,3113673,119088,2.3818,13.4454,82.2364,128.596,196.045
client_002,1.82167,22663052,22161075,501977,10.0395,1.60802,12349025,12108228,240797,4.8159,4.2602,1.0929,5697032,5382106,314926,6.2985,11.4121,61.3623,69.6431,193.714
client_003,1.10546,17097736,16663832,433904,8.6781,2.61604,11359788,10952433,407355,8.1471,7.2992,5.2698,4111374,3860865,250509,5.0102,12.8766,178.924,198.432,247.237
client_004,1.4465,14047873,13519548,528325,10.5665,10.0081,12409131,11881076,528055,10.5611,4.8496,1.7932,3166440,2877799,288641,5.7728,16.5205,30.7145,75.2962,149.687
client_005,1.36069,21122914,20479949,642965,12.8593,3.86868,12941586,12554281,387305,7.7461,6.6375,4.8587,5778427,5405333,373094,7.4619,12.3827,116.539,140.521,164.743
client_006,1.46408,16315514,15598189,717325,14.3465,2.6153,9527353,9024700,502653,10.0531,8.9776,5.2016,3685906,3333730,352176,7.0435,12.6165,115.266,131.815,193.05
client_007,1.532,16318584,15463605,854979,17.0996,3.3648,12431825,11866246,565579,11.3116,3.5336,2.4344,2991233,2556814,434419,8.6884,10.2177,53.1205,145.259,181.888
client_008,1.51408,18238245,17508244,730001,14.6,5.7281,12206657,11337308,869349,17.387,6.4114,2.8874,4468142,4096346,371796,7.4359,10.0671,42.7143,93.2581,162.731
server_001,1.51046,20132091,19622208,509883,10.1977,1.3908,10768433,10358406,410027,8.2005,8.2534,4.4711,4494334,4255233,239101,4.782,16.3016,144.98,158.113,254.991
server_002,1.38261,34163121,33453639,709482,14.1896,0.22288,14895057,14894673,384,0.0077,0.0029,0.0014,6662368,6292867,369501,7.39,9.86648,41.9349,94.6096,153.704
server_003,1.37298,15217691,14321410,896281,17.9256,7.98708,11399166,10671218,727948,14.559,14.5971,3.1116,4029418,3537768,491650,9.833,16.1758,52.4085,62.2553,198.343
server_004,1.06178,27877237,26791784,1085453,21.7091,3.87452,12735610,10733429,2002181,40.0436,15.7141,1.9515,5311814,4746259,565555,11.3111,15.0955,20.388,40.5184,165.57
server_009,1.1185,29833963,28748788,1085175,21.7035,1.98624,12763502,10517943,2245559,44.9112,15.1597,1.2599,5574912,5023511,551401,11.028,13.4289,17.8371,33.0702,157.828
