Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53485,15942645,15661176,281469,5.6294,3.40544,11794885,11380709,414176,8.2835,5.0561,2.8023,3232913,3113919,118994,2.3799,13.3265,82.1276,128.276,195.417
client_002,1.80568,22400838,21899379,501459,10.0292,1.90382,12362140,12121357,240783,4.8157,4.2953,1.0929,5678305,5372473,305832,6.1166,11.3297,60.4547,67.9892,188.792
client_003,1.10315,16991281,16561828,429453,8.5891,2.68572,11365225,10957874,407351,8.147,7.2675,5.2673,4108744,3860890,247854,4.9571,12.8062,178.943,199.073,247.157
client_004,1.45145,14093987,13565770,528217,10.5643,9.81942,12401997,11873958,528039,10.5608,4.833,1.7859,3167341,2878462,288879,5.7776,16.5644,30.6891,75.2315,149.633
client_005,1.35214,21035386,20395686,639700,12.794,4.03176,12950108,12562809,387299,7.746,6.6465,4.8559,5775195,5408542,366653,7.3331,12.4634,116.418,139.719,163.964
client_006,1.45986,16301427,15584620,716807,14.3361,2.6376,9528872,9026227,502645,10.0529,8.9765,5.2041,3686432,3334936,351496,7.0299,12.2781,114.753,130.136,190.04
client_007,1.53555,16313095,15459175,853920,17.0784,3.35342,12430289,11864716,565573,11.3115,3.5333,2.4228,2991375,2560058,431317,8.6263,10.1714,53.669,147.012,185.301
client_008,1.50985,18247813,17517562,730251,14.605,5.75128,12207196,11337835,869361,17.3872,6.3942,2.8901,4468279,4096606,371673,7.4335,10.1335,42.7477,93.4374,162.541
server_001,1.49058,19994810,19485704,509106,10.1821,1.58604,10779676,10369644,410032,8.2006,8.246,4.484,4496557,4257401,239156,4.7831,15.2426,143.039,153.64,245.802
server_002,1.38261,34162148,33452637,709511,14.1902,0.22362,14895075,14894691,384,0.0077,0.0032,0.0016,6662384,6292900,369484,7.3897,9.86899,42.0781,98.3025,155.427
server_003,1.355,15162223,14268250,893973,17.8795,8.21316,11411732,10683797,727935,14.5587,14.6725,3.0855,4035130,3543429,491701,9.834,16.3073,52.6948,61.7328,198.588
server_004,1.04529,27481055,26404234,1076821,21.5364,4.50872,12766701,10764607,2002094,40.0419,15.6689,1.93,5321008,4768470,552538,11.0508,14.6216,20.3992,40.277,164.955
server_009,1.09488,29215180,28137144,1078036,21.5607,2.8341,12801408,10556376,2245032,44.9006,15.2615,1.2769,5580630,5040710,539920,10.7984,12.9652,17.8502,32.9915,155.804
server_010,1.3285,24143630,22943940,1199690,23.9938,3.03228,11954131,10335952,1618179,32.3636,17.0355,1.2475,5546585,4939822,606763,12.1353,12.9491,20.5489,31.1452,153.136
server_011,1.60615,16239767,14999806,1239961,24.7992,5.67918,10935533,10302865,632668,12.6534,17.0459,1.9271,4851927,4232546,619381,12.3876,14.2939,38.3894,37.6204,156.344
server_012,1.82681,18142306,16773594,1368712,27.3742,3.4683,10720345,10084226,636119,12.7224,18.8021,1.3371,5526926,4834867,692059,13.8412,12.7464,36.5835,30.7074,151.038
server_013,1.7577,17726918,16295019,1431899,28.638,3.73296,10701247,10054206,647041,12.9408,20.4148,1.525,5502914,4796235,706679,14.1336,13.2281,38.4953,31.2815,151.65
server_014,1.42011,32553759,31065429,1488330,29.7666,0.3887,14987342,14925873,61469,1.2294,1.3069,0.9958,6665266,5773507,891759,17.8352,10.4733,323.404,321.586,395.831
