Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53552,15944592,15663048,281544,5.6309,3.40018,11794547,11380369,414178,8.2836,5.0553,2.8012,3232761,3113673,119088,2.3818,13.4454,82.2364,128.596,196.045
client_002,1.82134,22637962,22135201,502761,10.0552,1.63012,12349651,12108859,240792,4.8158,4.2718,1.0938,5695179,5381504,313675,6.2735,11.426,60.7831,68.8012,190.779
client_003,1.10384,17084630,16652077,432553,8.6511,2.55972,11356086,10948731,407355,8.1471,7.2821,5.2805,4112341,3860112,252229,5.0446,13.0786,179.125,199.639,247.823
client_004,1.45066,14149130,13619364,529766,10.5953,9.6959,12393559,11865520,528039,10.5608,4.8296,1.7871,3167401,2874833,292568,5.8514,16.6872,30.9037,75.5024,150.133
client_005,1.3529,21071694,20435201,636493,12.7299,3.90076,12942924,12555613,387311,7.7462,6.6396,4.8491,5778343,5404887,373456,7.4691,12.7669,116.499,140.031,164.454
client_006,1.46412,16315281,15598002,717279,14.3456,2.616,9527385,9024734,502651,10.053,8.9764,5.201,3685815,3333718,352097,7.0419,12.5895,115.26,131.691,192.831
client_007,1.53774,16333331,15478582,854749,17.095,3.33094,12430845,11865272,565573,11.3115,3.5267,2.4145,2991418,2556822,434596,8.6919,10.1991,53.0991,146.156,184.332
client_008,1.51122,18244445,17514475,729970,14.5994,5.73262,12206571,11337219,869352,17.387,6.4096,2.8866,4467773,4095827,371946,7.4389,10.1476,42.7038,93.0901,162.359
server_001,1.50587,20079190,19569049,510141,10.2028,1.44002,10772163,10362127,410036,8.2007,8.2392,4.4692,4494099,4254522,239577,4.7915,15.3886,144.05,156.253,251.226
server_002,1.38262,34163044,33453563,709481,14.1896,0.22292,14895058,14894674,384,0.0077,0.0029,0.0014,6662364,6292861,369503,7.3901,9.86601,41.6615,93.3517,152.229
server_003,1.36178,15386325,14488091,898234,17.9647,7.83298,11393108,10665177,727931,14.5586,14.6122,3.1092,4029214,3528582,500632,10.0126,16.5319,52.374,61.7125,196.153
server_004,1.04742,27782108,26697895,1084213,21.6843,4.18106,12750330,10748190,2002140,40.0428,15.7616,1.9619,5312449,4748686,563763,11.2753,15.2118,20.4167,40.3869,164.143
server_009,1.10818,29637486,28555730,1081756,21.6351,2.31772,12779297,10534332,2244965,44.8993,15.2196,1.2587,5571119,5020489,550630,11.0126,13.4103,17.8122,32.8205,155.591
server_010,1.34743,24597981,23393552,1204429,24.0886,2.47788,11931009,10315269,1615740,32.3148,16.98,1.2281,5540353,4923087,617266,12.3453,13.3099,20.5128,31.0327,153.434
server_011,1.6342,16801953,15558585,1243368,24.8674,5.01138,10905643,10272965,632678,12.6536,17.0033,1.9155,4848454,4217331,631123,12.6225,14.6456,38.4001,37.5166,155.98
