Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53552,15944593,15663049,281544,5.6309,3.4002,11794547,11380369,414178,8.2836,5.0553,2.8012,3232762,3113674,119088,2.3818,13.4454,82.2365,128.596,196.046
client_002,1.82106,22653174,22151050,502124,10.0425,1.61786,12349370,12108574,240796,4.8159,4.2614,1.0937,5696436,5381841,314595,6.2919,11.434,61.4251,69.7409,194.003
client_003,1.10476,17090023,16658454,431569,8.6314,2.57406,11358649,10951291,407358,8.1472,7.2701,5.2866,4111685,3861404,250281,5.0056,12.781,178.923,199.641,247.117
client_004,1.46068,14158042,13628632,529410,10.5882,9.55448,12390876,11862828,528048,10.561,4.8614,1.7897,3167993,2876243,291750,5.835,16.3946,30.7935,75.0737,149.768
client_005,1.35877,21113553,20469454,644099,12.882,3.87144,12943856,12556546,387310,7.7462,6.644,4.8523,5777920,5406371,371549,7.431,12.4742,116.448,139.936,164.324
client_006,1.46392,16314543,15597337,717206,14.3441,2.61638,9527452,9024799,502653,10.0531,8.9764,5.2013,3685868,3333683,352185,7.0437,12.5596,115.343,131.875,193.141
client_007,1.53473,16328398,15473741,854657,17.0931,3.33948,12431045,11865469,565576,11.3115,3.5279,2.4374,2991581,2558045,433536,8.6707,10.1415,53.3323,145.992,182.43
client_008,1.51331,18253146,17522741,730405,14.6081,5.72428,12206516,11337166,869350,17.387,6.4107,2.8868,4468211,4096365,371846,7.4369,10.0988,42.7539,93.3793,163.014
server_001,1.50939,20116373,19606095,510278,10.2056,1.40554,10768270,10358249,410021,8.2004,8.2576,4.474,4494314,4255066,239248,4.785,15.825,144.858,157.216,253.301
server_002,1.38261,34163121,33453639,709482,14.1896,0.22288,14895057,14894673,384,0.0077,0.0029,0.0014,6662368,6292867,369501,7.39,9.86648,41.9349,94.6096,153.704
server_003,1.37922,15342799,14446101,896698,17.934,7.70776,11388826,10660911,727915,14.5583,14.615,3.1223,4029766,3533670,496096,9.9219,16.2066,52.4902,62.1877,197.589
server_004,1.0643,28030707,26944101,1086606,21.7321,3.66368,12727537,10723362,2004175,40.0835,15.6676,1.921,5313810,4745755,568055,11.3611,15.0854,20.3667,40.2852,165.811
server_009,1.11452,29693475,28610387,1083088,21.6618,2.12236,12768237,10523211,2245026,44.9005,15.1874,1.2796,5574633,5023222,551411,11.0282,13.3751,17.8407,33.1555,156.689
server_010,1.36224,24908799,23701252,1207547,24.1509,2.0732,11914058,10298239,1615819,32.3164,16.9187,1.2159,5545793,4925309,620484,12.4097,13.449,20.5249,31.0801,155.04
server_011,1.66099,17053856,15806870,1246986,24.9397,4.63238,10889046,10256368,632678,12.6536,16.9381,1.8936,4850986,4216062,634924,12.6985,14.6575,38.3665,37.5005,157.052
server_012,1.90385,19006160,17628405,1377755,27.5551,2.3604,10673777,10037654,636123,12.7225,18.7378,1.3094,5522961,4811063,711898,14.238,13.2192,36.4703,30.5715,151.774
server_013,1.82743,18742086,17298166,1443920,28.8784,2.459,10646644,9999628,647016,12.9403,20.3861,1.5623,5502620,4774029,728591,14.5718,13.7019,38.813,31.7113,153.535
server_014,1.42372,32564973,31077204,1487769,29.7554,0.36296,14986539,14925073,61466,1.2293,1.3057,0.994,6665381,5773515,891866,17.8373,10.5086,324.788,327.558,404.009
server_015,1.48474,31518566,29980520,1538046,30.7609,0.16028,15179639,15179237,402,0.008,0.003,0.0013,6724039,5827517,896522,17.9304,10.0336,41.4527,86.66,156.547
server_016,1.85574,20877808,18591706,2286102,45.722,1.05108,11511545,10683124,828421,16.5684,7.8618,0.4913,4820720,3526061,1294659,25.8932,10.5167,20.3169,31.3267,186.244
server_017,0.414165,24781910,22627473,2154437,43.0887,1.3955,12810749,11072942,1737807,34.7561,32.8125,24.295,4861243,3576896,1284347,25.6869,11.8445,234.645,241.699,299.455
server_018,0.423425,26771800,24385197,2386603,47.7321,0.72038,13188448,11384400,1804048,36.081,33.9357,24.4269,5344466,3921659,1422807,28.4561,11.6603,234.937,242.796,309.56
server_019,0.407122,24474099,22284325,2189774,43.7955,1.4929,12751729,10963189,1788540,35.7708,33.7249,25.4437,4783512,3493726,1289786,25.7957,12.1345,250.039,259.22,317.108
server_020,0.426659,26773715,24267422,2506293,50.1259,0.71118,13176207,11383624,1792583,35.8517,33.7499,24.2444,5344836,3866980,1477856,29.5571,11.5933,236.147,243.925,311.774
server_021,0.430375,26910291,24392548,2517743,50.3549,0.53686,13274622,11460568,1814054,36.2811,34.1622,24.2925,5463004,3971440,1491564,29.8313,11.6019,235.829,243.429,314.252
server_022,0.431864,26815314,24375994,2439320,48.7864,0.52836,13287366,11469267,1818099,36.362,34.2294,24.237,5465646,4005982,1459664,29.1933,11.5675,236.979,244.463,317.04
server_023,1.6687,23506830,20870389,2636441,52.7288,1.29568,12602973,11644143,958830,19.1766,8.6291,0.6668,5525225,4041004,1484221,29.6844,10.4656,22.3417,36.0566,210.578
server_024,1.6367,23939381,21193901,2745480,54.9096,1.2545,12844027,11854247,989780,19.7956,9.9651,0.7448,5630716,4073900,1556816,31.1363,10.4728,24.6232,38.1626,248.24
server_025,1.62791,26539985,23877996,2661989,53.2398,1.16154,13204296,12303560,900736,18.0147,8.8423,0.3915,6271965,4769831,1502134,30.0427,10.5769,19.2314,28.0828,192.312
server_026,1.62345,25184222,22172390,3011832,60.2366,1.2937,12959215,11895206,1064009,21.2802,12.3347,0.3881,5929174,4253350,1675824,33.5165,10.7737,19.63,25.9939,205.134
server_027,1.61425,25258974,22227799,3031175,60.6235,1.34594,13013187,11994587,1018600,20.372,10.8708,0.4727,5956272,4268734,1687538,33.7508,10.7306,19.5669,28.017,191.54
server_028,1.53557,25899483,22748802,3150681,63.0136,1.42588,12646834,11206954,1439880,28.7976,8.359,0.5887,5969887,4229555,1740332,34.8066,10.5473,16.8314,29.7982,140.899
server_029,1.51549,26017671,22842409,3175262,63.5052,1.3838,12673874,11212754,1461120,29.2224,11.2295,0.6815,5956815,4158156,1798659,35.9732,10.8973,17.8807,28.9579,150.616
