Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.5408,19204106,18934619,269487,5.3897,2.19134,11785186,11371011,414175,8.2835,5.0303,2.7915,3919515,3790123,129392,2.5878,13.579,83.5644,131.723,201.387
client_002,1.8501,27378609,26884449,494160,9.8832,0.37918,12318454,12077655,240799,4.816,4.2042,1.0846,6233592,5914487,319105,6.3821,13.224,61.3882,70.2373,194.99
client_003,1.12749,19218810,18794449,424361,8.4872,1.34482,11329509,10922164,407345,8.1469,7.1937,5.2497,4254506,3994589,259917,5.1983,12.5277,179.194,202.801,250.574
client_004,1.63847,17710200,17193867,516333,10.3267,4.91446,12233886,11705869,528017,10.5603,4.8337,1.7543,3913780,3600510,313270,6.2654,12.6188,31.0995,78.4456,161.196
client_005,1.40828,23640290,23015256,625034,12.5007,2.106,12897310,12510012,387298,7.746,6.5311,4.8195,5910243,5523464,386779,7.7356,12.0024,117.237,145.021,169.522
client_006,1.47127,17075482,16394319,681163,13.6233,2.06008,9510492,9007835,502657,10.0531,8.9846,5.2006,3819596,3503878,315718,6.3144,13.0287,116.321,133.477,196.111
client_007,1.55472,23280894,22457860,823034,16.4607,0.9064,12396976,11831476,565500,11.31,3.4843,2.4209,4099821,3668670,431151,8.623,10.5662,52.6146,147.278,183.229
client_008,1.60441,23373369,22632458,740911,14.8182,1.65148,12084758,11215102,869656,17.3931,6.2759,2.8935,5209380,4705033,504347,10.0869,10.3794,43.0775,96.3878,165.743
server_001,1.52026,22753989,22246588,507401,10.148,0.20576,10748822,10338806,410016,8.2003,8.2127,4.4073,4962258,4718248,244010,4.8802,17.0545,145.46,158.379,257.902
server_002,1.38112,36700985,36023874,677111,13.5422,0.04584,14901923,14901539,384,0.0077,0.0028,0.0016,6684475,6322377,362098,7.242,9.94029,40.6953,108.921,158.342
server_003,1.47507,19574940,18676842,898098,17.962,3.46624,11287229,10559284,727945,14.5589,14.5361,3.122,4665477,4140926,524551,10.491,16.3225,53.5564,64.3749,206.765
server_004,1.1037,30990717,29890877,1099840,21.9968,1.4102,12671876,10669717,2002159,40.0432,15.4282,1.9281,5485069,4896816,588253,11.7651,15.7142,20.5272,41.7766,174.637
server_009,1.13289,33103565,32006856,1096709,21.9342,0.28104,12736217,10491139,2245078,44.9016,15.0825,1.2096,5711221,5134790,576431,11.5286,15.1275,17.8848,33.0769,163.58
server_010,1.37867,28506611,27286221,1220390,24.4078,0.2426,11875087,10259290,1615797,32.3159,16.5907,1.2739,5691295,5045205,646090,12.9218,15.2402,20.6677,32.4426,162.878
server_011,1.77314,21062985,19801886,1261099,25.222,1.7531,10789678,10156939,632739,12.6548,16.3425,1.812,5210126,4547072,663054,13.2611,15.2054,38.2794,38.2271,164.807
server_012,1.94589,23112401,21717670,1394731,27.8946,0.28294,10630157,9994036,636121,12.7224,18.4074,1.3007,5683013,4946421,736592,14.7318,14.9373,36.7337,31.1377,158.379
server_013,1.88256,22948658,21487559,1461099,29.222,0.30434,10625543,9978418,647125,12.9425,19.673,1.5133,5630388,4875968,754420,15.0884,15.1076,38.8941,32.2819,160.529
server_014,1.42029,33699000,32308400,1390600,27.812,0.1114,14999870,14938401,61469,1.2294,1.3067,0.9808,6683384,5822109,861275,17.2255,11.0216,318.801,320.565,400.447
server_015,1.47779,33291025,31817864,1473161,29.4632,0.01406,15201419,15201017,402,0.008,0.0025,0.0013,6731617,5838433,893184,17.8637,10.6361,40.296,99.688,155.641
server_016,1.86601,24400995,22029974,2371021,47.4204,0.2192,11468013,10639631,828382,16.5676,7.706,0.4967,4926057,3557076,1368981,27.3796,11.6523,20.6677,31.4511,184.466
server_017,0.414863,24999552,22848169,2151383,43.0277,1.0539,12806494,11068704,1737790,34.7558,32.8596,24.3882,4862149,3537875,1324274,26.4855,12.0041,235.016,241.855,298.962
server_018,0.425227,26959942,24571499,2388443,47.7689,0.3486,13188153,11384109,1804044,36.0809,33.8865,24.4811,5345217,3871128,1474089,29.4818,11.859,234.881,243.628,309.584
server_019,0.407974,24698163,22477251,2220912,44.4182,1.15448,12752298,10963740,1788558,35.7712,33.7742,25.5171,4783208,3429234,1353974,27.0795,12.3738,250.247,259.408,316.92
server_020,0.428584,27026702,24509540,2517162,50.3432,0.33912,13179467,11386886,1792581,35.8516,33.6712,24.1965,5345800,3788313,1557487,31.1497,11.6594,235.223,243.291,310.771
server_021,0.43208,27181567,24647220,2534347,50.6869,0.15514,13276677,11462593,1814084,36.2817,34.1348,24.2649,5463273,3885075,1578198,31.564,11.7916,237.321,245.365,317.083
server_022,0.432164,27079094,24637004,2442090,48.8418,0.14564,13285889,11467841,1818048,36.361,34.2288,24.3429,5467218,3962711,1504507,30.0901,11.8666,238.298,246.316,318.249
server_023,1.69354,27456263,24720971,2735292,54.7058,0.28262,12569229,11610494,958735,19.1747,8.8845,0.657,5642046,4067430,1574616,31.4923,11.6642,21.9354,35.3744,211.728
server_024,1.64817,28184263,25339832,2844431,56.8886,0.2441,12790255,11800261,989994,19.7999,10.1733,0.7483,5760394,4114289,1646105,32.9221,11.7004,24.7357,37.8136,246.578
server_025,1.64192,30484382,27713808,2770574,55.4115,0.1871,13172312,12271221,901091,18.0218,8.6906,0.3904,6385214,4776181,1609033,32.1807,11.7692,19.1057,28.2043,190.299
server_026,1.63149,29765253,26638263,3126990,62.5398,0.16388,12916558,11852544,1064014,21.2803,11.3683,0.3857,6064449,4267416,1797033,35.9407,11.7954,19.6314,26.7322,209.181
server_027,1.63934,29882588,26726382,3156206,63.1241,0.20008,12980083,11961580,1018503,20.3701,9.2769,0.4671,6101006,4287959,1813047,36.2609,11.6967,19.1249,29.3752,192.168
server_028,1.54694,30011480,26756497,3254983,65.0997,0.37274,12618001,11177844,1440157,28.8031,9.3137,0.5848,6093761,4174011,1919750,38.395,11.5549,16.9665,28.6292,140.843
server_029,1.52623,30118382,26831345,3287037,65.7407,0.36994,12622794,11160696,1462098,29.242,10.2739,0.6822,6084097,4142472,1941625,38.8325,11.7687,17.7779,29.8759,153.156
server_030,1.61623,30163356,26842957,3320399,66.408,0.16966,12715080,11254248,1460832,29.2166,12.6484,0.1672,6163049,4188209,1974840,39.4968,11.9,15.4414,21.412,126.206
server_031,1.50494,30912937,27520102,3392835,67.8567,0.4038,12893097,11654777,1238320,24.7664,6.9677,0.7309,6286696,4319550,1967146,39.3429,11.3328,17.8917,34.845,144.897
server_032,1.62785,32065628,28512625,3553003,71.0601,0.13636,13155538,12019511,1136027,22.7205,5.1496,0.0643,6582908,4493779,2089129,41.7826,11.0372,13.4381,20.8346,114.051
server_033,1.77221,31408728,27880624,3528104,70.5621,0.09234,12137628,11501806,635822,12.7164,3.9153,0.3681,6862188,4523287,2338901,46.778,10.5777,20.8374,34.2616,155.201
server_034,1.88789,31124673,27597870,3526803,70.5361,0.04786,12130564,11524846,605718,12.1144,1.0696,0.0988,6874452,4528832,2345620,46.9124,10.5548,13.3893,29.1303,103.3
