Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53508,15940068,15658615,281453,5.6291,3.4044,11794820,11380641,414179,8.2836,5.0549,2.8011,3232776,3113801,118975,2.3795,13.3436,82.1109,128.377,195.641
client_002,1.79296,22264580,21766209,498371,9.9674,2.04804,12372615,12131831,240784,4.8157,4.2725,1.0987,5666516,5366972,299544,5.9909,11.3371,60.9203,68.9497,190.547
client_003,1.10147,17005832,16569364,436468,8.7294,2.6916,11366467,10959121,407346,8.1469,7.2865,5.2685,4107899,3861286,246613,4.9323,12.6291,178.539,198.273,246.644
client_004,1.45383,14140478,13612609,527869,10.5574,9.5445,12403397,11875352,528045,10.5609,4.83,1.7679,3170981,2883650,287331,5.7466,15.2621,30.5373,74.7971,149.849
client_005,1.34446,20965248,20315310,649938,12.9988,4.08176,12956528,12569232,387296,7.7459,6.6355,4.8496,5772529,5404408,368121,7.3624,12.2567,116.673,139.734,163.927
client_006,1.45904,16304462,15587584,716878,14.3376,2.6438,9530217,9027560,502657,10.0531,8.9683,5.1846,3686730,3336202,350528,7.0106,12.4017,114.423,129.448,189.385
client_007,1.53501,16299852,15445332,854520,17.0904,3.35686,12432169,11866610,565559,11.3112,3.5284,2.4186,2989960,2569097,420863,8.4173,10.1716,53.032,144.878,182.246
client_008,1.50901,18249109,17518785,730324,14.6065,5.7479,12208152,11338901,869251,17.385,6.3931,2.8897,4468832,4098687,370145,7.4029,10.05,42.7276,93.4333,162.524
server_001,1.47269,19890824,19384601,506223,10.1245,1.74618,10790715,10380696,410019,8.2004,8.2745,4.4949,4497112,4260724,236388,4.7278,15.0336,141.695,150.455,240.206
server_002,1.3826,34162521,33452974,709547,14.1909,0.22316,14895049,14894665,384,0.0077,0.0035,0.0019,6662369,6292839,369530,7.3906,9.87448,41.9922,108.451,159.604
server_003,1.33491,15035761,14145640,890121,17.8024,8.45504,11433795,10705864,727931,14.5586,14.572,3.0874,4043281,3560512,482769,9.6554,15.7829,52.478,61.9648,198.187
server_004,1.01815,27013170,25941099,1072071,21.4414,5.33308,12818049,10815970,2002079,40.0416,15.7363,1.9687,5330097,4785215,544882,10.8976,14.3942,20.4286,40.591,164.948
server_009,1.07198,28714190,27643282,1070908,21.4182,3.70848,12850684,10605700,2244984,44.8997,15.2755,1.2663,5572650,5046628,526022,10.5204,12.8941,17.8217,32.8231,155.241
server_010,1.25508,24212216,23019824,1192392,23.8478,4.02492,12003864,10393128,1610736,32.2147,19.2194,1.2303,5541392,4947296,594096,11.8819,12.8317,21.9218,29.769,153.477
server_011,1.57194,15953769,14724768,1229001,24.58,6.28836,10974910,10342253,632657,12.6531,16.9908,1.8725,4865629,4254859,610770,12.2154,13.8068,38.1107,37.0838,155.523
server_012,1.75071,17575247,16213324,1361923,27.2385,4.504,10778866,10142760,636106,12.7221,18.8811,1.3366,5519226,4838974,680252,13.605,12.6666,36.4609,30.596,150.225
server_013,1.68043,17259808,15840341,1419467,28.3893,4.67658,10758035,10111005,647030,12.9406,20.4236,1.5551,5512421,4819792,692629,13.8526,12.9416,38.6617,31.5132,151.895
server_014,1.41787,32549960,31062161,1487799,29.756,0.39858,14988083,14926612,61471,1.2294,1.3067,0.9945,6665440,5774128,891312,17.8262,10.4736,319.076,314.44,386.879
