Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53476,15939822,15658359,281463,5.6293,3.40546,11794671,11380492,414179,8.2836,5.0552,2.8016,3232829,3113997,118832,2.3766,13.3865,82.0644,128.235,195.361
client_002,1.80886,22456101,21956834,499267,9.9853,1.81616,12359728,12118942,240786,4.8157,4.2811,1.0945,5685376,5379451,305925,6.1185,11.4015,60.579,68.4906,189.867
client_003,1.10438,17094585,16659689,434896,8.6979,2.56692,11360006,10952654,407352,8.147,7.2778,5.2801,4112558,3861850,250708,5.0142,12.4593,178.625,198.747,246.462
client_004,1.47611,14187595,13659734,527861,10.5572,9.2583,12387648,11859591,528057,10.5611,4.8731,1.7702,3170079,2881186,288893,5.7779,14.7704,30.8531,74.8015,151.016
client_005,1.3575,21070685,20418300,652385,13.0477,3.87022,12946580,12559273,387307,7.7461,6.6228,4.8433,5777844,5403546,374298,7.486,12.1573,116.35,140.046,164.255
client_006,1.46044,16303657,15586778,716879,14.3376,2.6361,9528788,9026140,502648,10.053,8.9762,5.2023,3686489,3335269,351220,7.0244,12.3636,114.874,130.418,190.586
client_007,1.53769,16316830,15462145,854685,17.0937,3.34412,12431624,11866045,565579,11.3116,3.5226,2.4105,2991641,2560178,431463,8.6293,10.1334,52.7217,144.364,181.801
client_008,1.51279,18252717,17522334,730383,14.6077,5.72358,12207542,11338193,869349,17.387,6.4106,2.8865,4468525,4096967,371558,7.4312,10.0276,42.7119,93.1748,162.579
server_001,1.49439,20011802,19503108,508694,10.1739,1.542,10779816,10369799,410017,8.2003,8.2439,4.4838,4495751,4257360,238391,4.7678,15.161,142.38,153.149,244.846
server_002,1.38259,34162846,33453338,709508,14.1902,0.22312,14895069,14894685,384,0.0077,0.0034,0.0018,6662376,6292877,369499,7.39,9.87163,41.987,104.213,162.409
server_003,1.377,15271908,14378496,893412,17.8682,7.74556,11398474,10670530,727944,14.5589,14.5684,3.0785,4037010,3546694,490316,9.8063,15.5865,52.5494,62.3021,200.306
server_004,1.0531,27582120,26503924,1078196,21.5639,4.1659,12757535,10753327,2004208,40.0842,15.686,1.9296,5324118,4765894,558224,11.1645,14.4214,20.3934,40.3975,166.196
server_009,1.09976,29302352,28225145,1077207,21.5441,2.63362,12795928,10550361,2245567,44.9113,15.2362,1.2834,5577793,5037634,540159,10.8032,13.0456,17.8552,33.125,156.369
server_010,1.33677,24271830,23071644,1200186,24.0037,2.81058,11947992,10332168,1615824,32.3165,16.9846,1.2233,5550788,4943981,606807,12.1361,13.0123,20.5177,31.0586,154.392
server_011,1.63267,16512790,15272748,1240042,24.8008,5.17562,10921938,10289262,632676,12.6535,17.0168,1.9015,4858201,4236649,621552,12.431,14.142,38.3755,37.5494,157.574
server_012,1.84826,18317449,16947878,1369571,27.3914,3.16358,10710910,10074801,636109,12.7222,18.7982,1.3274,5526806,4832027,694779,13.8956,12.8625,36.4767,30.6311,151.033
server_013,1.77485,18045418,16612491,1432927,28.6585,3.24668,10684210,10037151,647059,12.9412,20.4256,1.5703,5507949,4795857,712092,14.2418,13.3264,38.782,31.6619,152.4
server_014,1.42095,32555739,31068038,1487701,29.754,0.37858,14987350,14925881,61469,1.2294,1.3061,0.9958,6665823,5774284,891539,17.8308,10.4538,322.306,320.735,394.478
server_015,1.48473,31517864,29979807,1538057,30.7611,0.16048,15179642,15179240,402,0.008,0.0033,0.0016,6724039,5827501,896538,17.9308,10.0358,41.9229,99.3174,170.064
server_016,1.84063,19488668,17238572,2250096,45.0019,1.70226,11528653,10700233,828420,16.5684,8.0837,0.5015,4802749,3573442,1229307,24.5861,10.2258,20.2986,31.0957,183.37
server_017,0.414025,24781788,22627359,2154429,43.0886,1.39966,12810518,11072717,1737801,34.756,32.8158,24.3019,4861208,3576836,1284372,25.6874,11.8554,234.649,241.726,299.437
server_018,0.423395,26770734,24384091,2386643,47.7329,0.72452,13188747,11384696,1804051,36.081,33.9361,24.4276,5344520,3921712,1422808,28.4562,11.6547,234.947,242.828,309.598
server_019,0.407081,24468408,22278679,2189729,43.7946,1.49726,12751904,10963376,1788528,35.7706,33.7258,25.4449,4783549,3493776,1289773,25.7955,12.1089,250.072,259.261,317.156
server_020,0.426671,26769013,24262930,2506083,50.1217,0.71564,13176400,11383816,1792584,35.8517,33.7491,24.2446,5344827,3866983,1477844,29.5569,11.5772,236.1,243.89,311.715
server_021,0.430362,26907128,24389592,2517536,50.3507,0.54098,13274794,11460735,1814059,36.2812,34.1621,24.2926,5463085,3971654,1491431,29.8286,11.6032,235.827,243.42,314.238
server_022,0.431896,26812822,24373513,2439309,48.7862,0.533,13287460,11469373,1818087,36.3617,34.2294,24.2376,5465785,4006280,1459505,29.1901,11.5644,236.908,244.41,316.956
server_023,1.651,21799413,19210216,2589197,51.7839,2.10294,12624421,11665580,958841,19.1768,9.0457,0.6686,5494905,4081821,1413084,28.2617,10.1434,22.233,35.0392,206.605
server_024,1.62143,22219690,19516274,2703416,54.0683,2.08688,12867712,11877937,989775,19.7955,10.2087,0.7524,5607459,4126623,1480836,29.6167,10.1234,24.678,37.776,246.35
