Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.51419,10151593,9883100,268493,5.3699,3.46334,11806777,11392579,414198,8.284,5.0263,2.832,3222282,2968522,253760,5.0752,17.3164,82.5833,127.006,189.971
client_002,1.72205,13600927,13134416,466511,9.3302,2.49464,12419094,12178315,240779,4.8156,4.097,1.0565,5640393,5207107,433286,8.6657,13.4449,61.6204,70.4825,195.996
client_003,1.08285,11235524,10829810,405714,8.1143,2.9058,11399215,10991861,407354,8.1471,7.1474,5.226,4105507,3732778,372729,7.4546,15.7746,178.682,200.636,247.111
client_004,1.40474,9863092,9363257,499835,9.9967,9.64634,12443932,11915882,528050,10.561,4.718,1.7116,3159856,2710408,449448,8.989,19.4198,30.2991,74.1508,149.427
client_005,1.30408,13439142,12844154,594988,11.8998,4.34896,12995768,12608469,387299,7.746,6.5371,4.8142,5767682,5222313,545369,10.9074,15.444,115.769,138.808,161.434
client_006,1.43062,10130070,9444899,685171,13.7034,2.71464,9545495,9042823,502672,10.0534,8.9304,5.2018,3657640,2986006,671634,13.4327,16.0789,114.126,126.677,183.213
client_007,1.49881,10565176,9761776,803400,16.068,3.61276,12507636,11941993,565643,11.3129,3.5138,2.409,2980255,2219960,760295,15.2059,11.7657,52.5124,141.781,177.682
client_008,1.44965,11912055,11239733,672322,13.4464,6.2075,12300694,11431454,869240,17.3848,6.2748,2.8897,4451178,3830698,620480,12.4096,12.1215,42.8446,94.5881,162.052
server_001,1.38263,9663406,9165606,497800,9.956,2.22978,10830281,10420244,410037,8.2007,8.1691,4.4583,4491443,4012777,478666,9.5733,20.5319,141.469,148.453,235.415
server_002,1.3898,16472346,15684028,788318,15.7664,0.22324,14888527,14888143,384,0.0077,0.0026,0.0016,6616250,5845707,770543,15.4109,10.9727,41.2396,112.235,154.114
server_003,1.20656,9763269,8910623,852646,17.0529,9.29332,11546937,10818982,727955,14.5591,14.3598,3.0309,4044769,3263753,781016,15.6203,21.3672,52.5197,61.9793,199.02
server_004,0.92786,11890212,10865709,1024503,20.4901,6.3992,12952737,10948614,2004123,40.0825,15.336,1.923,5319159,4380500,938659,18.7732,18.6439,20.3655,40.6317,164.956
server_009,0.963929,11905541,10882102,1023439,20.4688,5.33466,13023051,10777403,2245648,44.913,14.9862,1.1759,5579045,4639612,939433,18.7887,16.4667,17.7433,32.316,157.637
server_010,1.11773,11442337,10305194,1137143,22.7429,5.8798,12203191,10587654,1615537,32.3107,16.4763,1.1877,5548663,4505971,1042692,20.8538,16.3761,20.395,30.9597,152.598
server_011,1.32308,10075889,8894743,1181146,23.6229,8.055,11169237,10536578,632659,12.6532,16.2097,1.8231,4892132,3812858,1079274,21.5855,17.6198,37.8684,37.4873,155.914
server_012,1.41155,10593995,9294267,1299728,25.9946,6.57666,10996573,10360566,636007,12.7201,18.4631,1.3234,5525933,4331326,1194607,23.8921,16.3853,36.3167,30.7355,150.495
server_013,1.35324,10478199,9120446,1357753,27.1551,6.92754,10988730,10341707,647023,12.9405,19.7145,1.4981,5547159,4299159,1248000,24.96,16.5691,38.3023,31.3583,150.095
server_014,1.41055,15639950,14146475,1493475,29.8695,0.55096,15004539,14943069,61470,1.2294,1.3035,0.9837,6591694,5112089,1479605,29.5921,11.5759,324.956,318.835,395.967
server_015,1.48363,15644904,14044138,1600766,32.0153,0.30628,15200654,15200252,402,0.008,0.0025,0.0012,6650972,5057891,1593081,31.8616,10.9243,38.6791,93.8,154.417
server_016,1.48842,10504579,8428227,2076352,41.527,6.18608,11883800,11055468,828332,16.5666,8.9619,0.4889,4728486,2867007,1861479,37.2296,11.709,21.1214,30.016,190.344
server_017,0.412074,12667111,10499013,2168098,43.362,1.7799,12830583,11092776,1737807,34.7561,32.7093,24.3122,4780324,2641479,2138845,42.7769,13.549,233.404,240.303,296.424
server_018,0.421153,13696974,11295048,2401926,48.0385,1.15054,13210219,11406124,1804095,36.0819,33.9234,24.3922,5254498,2887228,2367270,47.3454,13.4125,233.793,241.009,307.4
server_019,0.404365,12522900,10370917,2151983,43.0397,1.8719,12769687,10981138,1788549,35.771,33.6531,25.5344,4705476,2583775,2121701,42.434,14.0249,249.391,257.956,313.649
server_020,0.423678,13761014,11354530,2406484,48.1297,1.13434,13195253,11402658,1792595,35.8519,33.7746,24.3921,5259787,2887818,2371969,47.4394,13.2764,234.837,241.482,306.71
server_021,0.427864,14004891,11560205,2444686,48.8937,0.96744,13300640,11486590,1814050,36.281,34.1541,24.3225,5372075,2963336,2408739,48.1748,13.1882,236.094,242.872,312.999
server_022,0.428985,13993096,11544329,2448767,48.9753,0.97382,13309001,11490941,1818060,36.3612,34.2126,24.2343,5368212,2951322,2416890,48.3378,13.2356,234.417,241.263,312.389
server_023,1.31822,11387703,8989534,2398169,47.9634,7.26638,13053747,12095102,958645,19.1729,11.0372,0.6478,5434221,3285230,2148991,42.9798,11.9319,22.5483,32.0258,211.456
server_024,1.30309,11404137,8908749,2495388,49.9078,7.50678,13293586,12303954,989632,19.7926,9.8588,0.7486,5531596,3294883,2236713,44.7343,11.6017,24.4975,38.5626,249.622
server_025,1.28852,12628456,10199382,2429074,48.5815,7.45168,13669452,12768760,900692,18.0138,8.5898,0.3869,6176426,4015792,2160634,43.2127,11.3605,18.8391,28.4091,193.168
server_026,1.23417,11724124,8983022,2741102,54.822,8.448,13505423,12441651,1063772,21.2754,12.5286,0.3883,5812393,3370211,2442182,48.8436,11.8667,19.2198,26.3034,218.137
