Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.50582,10182388,9913904,268484,5.3697,3.5695,11815773,11401586,414187,8.2837,5.0257,2.8321,3221030,2970345,250685,5.0137,16.3257,82.2294,125.702,187.626
client_002,1.67983,13466564,12998913,467651,9.353,3.12676,12453108,12212314,240794,4.8159,4.098,1.0566,5607820,5184052,423768,8.4754,13.0525,61.3968,70.2258,195.036
client_003,1.06322,11217568,10810782,406786,8.1357,3.57342,11438404,11031047,407357,8.1471,7.1552,5.2295,4100088,3739801,360287,7.2057,15.2719,178.847,200.495,247.024
client_004,1.37091,9960591,9454718,505873,10.1175,10.3002,12481755,11953698,528057,10.5611,4.7978,1.7251,3170325,2729443,440882,8.8176,19.4484,30.4369,73.6082,149.263
client_005,1.2727,13713664,13117274,596390,11.9278,5.11654,13037408,12650103,387305,7.7461,6.5444,4.8167,5766799,5235774,531025,10.6205,15.0571,115.689,138.489,161.099
client_006,1.42167,10169005,9483578,685427,13.7085,2.80746,9551701,9049032,502669,10.0534,8.9303,5.2014,3660645,2991014,669631,13.3926,15.5786,113.986,125.991,182.051
client_007,1.45798,10575694,9772454,803240,16.0648,4.02916,12583412,12017624,565788,11.3158,3.5159,2.411,2979048,2245878,733170,14.6634,11.2706,52.4588,141.136,176.696
client_008,1.40234,12029224,11356617,672607,13.4521,6.98652,12390252,11520834,869418,17.3884,6.2785,2.893,4443852,3841270,602582,12.0516,11.6519,42.8235,94.5341,161.847
server_001,1.35399,9636714,9138608,498106,9.9621,2.68312,10853786,10443766,410020,8.2004,8.1794,4.4592,4499642,4029150,470492,9.4098,19.8352,141.015,147.619,234.138
server_002,1.38977,16670255,15881932,788323,15.7665,0.22414,14888548,14888164,384,0.0077,0.0026,0.0016,6616231,5845718,770513,15.4103,10.9721,41.2422,112.098,153.886
server_003,1.14077,9787582,8931778,855804,17.1161,10.8058,11629214,10901269,727945,14.5589,14.3994,3.0234,4078064,3320471,757593,15.1519,20.596,52.2806,61.333,196.99
server_004,0.87999,11866158,10839206,1026952,20.539,8.2167,13049491,11045152,2004339,40.0868,15.3686,1.9276,5354832,4447022,907810,18.1562,17.9851,20.3699,40.5898,164.576
server_009,0.909371,12030162,11005844,1024318,20.4864,7.25742,13123287,10878424,2244863,44.8973,15.0065,1.1788,5620086,4713241,906845,18.1369,15.7367,17.7342,32.2873,157.078
server_010,1.04153,11424616,10286413,1138203,22.7641,7.92882,12309634,10694154,1615480,32.3096,16.4523,1.1857,5592030,4584490,1007540,20.1508,15.6277,20.3708,30.9373,152.24
server_011,1.21169,10072294,8887759,1184535,23.6907,10.2641,11284837,10652193,632644,12.6529,16.217,1.815,4950280,3905481,1044799,20.896,16.9027,37.7459,37.2431,154.481
server_012,1.27559,10556247,9255321,1300926,26.0185,8.93974,11122160,10486237,635923,12.7185,18.4807,1.3188,5575443,4421729,1153714,23.0743,15.6289,36.2669,30.6602,150.091
server_013,1.21508,10456596,9096692,1359904,27.1981,9.52376,11129217,10482205,647012,12.9402,19.7314,1.4969,5604359,4398489,1205870,24.1174,15.7907,38.2612,31.3011,149.603
server_014,1.40556,14874962,13389084,1485878,29.7176,1.04826,14998097,14936623,61474,1.2295,1.3034,0.9837,6559029,5089773,1469256,29.3851,11.5157,323.448,316.632,393.054
server_015,1.48193,14978826,13382918,1595908,31.9182,0.74386,15195690,15195288,402,0.008,0.0024,0.0012,6601818,5020967,1580851,31.617,10.8806,38.2239,96.1833,152.7
server_016,1.23454,10378159,8301102,2077057,41.5411,11.0586,12241735,11413376,828359,16.5672,9.0147,0.4889,4760864,3024524,1736340,34.7268,10.9412,21.0845,29.9706,190.73
server_017,0.409458,12302508,10134570,2167938,43.3588,2.53146,12854281,11116455,1737826,34.7565,32.7098,24.3126,4792371,2682007,2110364,42.2073,12.9251,233.228,239.875,295.848
server_018,0.418052,13364285,10963578,2400707,48.0141,2.00044,13238681,11434582,1804099,36.082,33.9237,24.3921,5269863,2934864,2334999,46.7,12.8324,233.539,240.58,306.808
