Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53552,15944592,15663048,281544,5.6309,3.40018,11794547,11380369,414178,8.2836,5.0553,2.8012,3232761,3113673,119088,2.3818,13.4454,82.2364,128.596,196.045
client_002,1.82169,22661432,22159412,502020,10.0404,1.60912,12349039,12108241,240798,4.816,4.2604,1.0931,5696854,5382041,314813,6.2963,11.4254,61.3727,69.7138,193.975
client_003,1.10514,17089204,16656846,432358,8.6472,2.54576,11364417,10957059,407358,8.1472,7.291,5.2626,4113616,3861220,252396,5.0479,12.8813,179.408,199.51,248.785
client_004,1.45142,14163022,13633217,529805,10.5961,9.64594,12391699,11863631,528068,10.5614,4.8347,1.7931,3169185,2875660,293525,5.8705,16.6863,30.5615,75.0251,148.519
client_005,1.35565,21078831,20441415,637416,12.7483,3.87074,12942231,12554929,387302,7.746,6.6485,4.8489,5779790,5405408,374382,7.4876,12.5891,116.34,139.674,164.197
client_006,1.46428,16315969,15598699,717270,14.3454,2.61548,9527256,9024604,502652,10.053,8.9764,5.201,3685907,3333772,352135,7.0427,12.611,115.312,131.806,193.03
client_007,1.5374,16332778,15477942,854836,17.0967,3.33162,12430953,11865375,565578,11.3116,3.5272,2.4186,2991314,2556700,434614,8.6923,10.2077,52.955,145.7,183.381
client_008,1.51159,18256709,17526753,729956,14.5991,5.73244,12206345,11336991,869354,17.3871,6.4105,2.887,4467685,4095772,371913,7.4383,10.1457,42.7379,93.2454,162.701
server_001,1.51035,20132339,19622488,509851,10.197,1.39152,10768583,10358571,410012,8.2002,8.2546,4.4722,4494391,4255499,238892,4.7778,16.1644,144.844,157.764,254.325
server_002,1.38261,34163076,33453596,709480,14.1896,0.22292,14895058,14894674,384,0.0077,0.0029,0.0014,6662367,6292870,369497,7.3899,9.86645,41.6615,93.8904,152.225
server_003,1.36623,15429551,14530488,899063,17.9813,7.75966,11388709,10660776,727933,14.5587,14.6692,3.1154,4035538,3534060,501478,10.0296,16.479,52.3479,61.4792,195.439
server_004,1.05938,28023076,26936902,1086174,21.7235,3.77504,12733503,10729303,2004200,40.084,15.6959,1.9195,5316074,4748946,567128,11.3426,15.1845,20.415,40.2502,165.967
server_009,1.11134,29834383,28749419,1084964,21.6993,2.11166,12769536,10524502,2245034,44.9007,15.1541,1.2621,5578750,5025291,553459,11.0692,13.5649,17.8155,32.9108,155.587
server_010,1.36081,24919451,23710533,1208918,24.1784,2.08744,11914951,10299267,1615684,32.3137,16.914,1.2159,5546013,4924285,621728,12.4346,13.4856,20.516,31.0233,154.221
server_011,1.65209,16981062,15734293,1246769,24.9354,4.74262,10893481,10260811,632670,12.6534,16.982,1.9107,4852278,4215872,636406,12.7281,14.7066,38.4811,37.5943,156.906
server_012,1.90286,19026282,17647048,1379234,27.5847,2.36154,10674391,10038282,636109,12.7222,18.7427,1.3071,5523416,4809081,714335,14.2867,13.2572,36.3897,30.4772,150.749
server_013,1.82145,18719011,17271166,1447845,28.9569,2.52788,10651351,10004318,647033,12.9407,20.4428,1.5405,5504722,4773863,730859,14.6172,13.7034,38.6643,31.4374,152.499
server_014,1.42252,32560970,31073196,1487774,29.7555,0.37012,14986732,14925265,61467,1.2293,1.3062,0.995,6665395,5773633,891762,17.8352,10.4826,325.402,325.915,401.6
server_015,1.48474,31518511,29980473,1538038,30.7608,0.16032,15179635,15179233,402,0.008,0.003,0.0013,6724036,5827515,896521,17.9304,10.0335,41.4527,87.1074,156.547
